Sagte mal ein Dichter,Wenn der Abend kommt/Circulus,Holger Biege,197.0ø
Like A Weed,We've Been Had Again,Huffamoose,220.7ø
James,We've Been Had Again,Huffamoose,298.0ø
Enigmatic,We've Been Had Again,Huffamoose,272.6ø
Buy You a Ring,We've Been Had Again,Huffamoose,257.2ø
You're A Hero,Riot Zone,Patric C,276.5ø
Sex With Annemone,The Horrible Plans Of Flex Busterman,Patric C,271.9ø
Battle Flag,The Sopranos - Music From The HBO Original Series - Peppers & Eggs,Pigeon hed,356.7ø
Soma La Macia,Made In Italy,Mau Mau,237.7ø
Cuckoo,Suikerspin,Melys,344.5ø
When I Reach the Age of Shaving,Jumps_ Giggles and Shouts,Astream,149.1ø
Try Again,Jumps_ Giggles and Shouts,Astream,99.4ø
Suspicious Minds,Jumps_ Giggles and Shouts,Astream,127.4ø
Relationshit,Jumps_ Giggles and Shouts,Astream,137.2ø
No Poet In Misery,Jumps_ Giggles and Shouts,Astream,87.0ø
Meeting by the Crossroads,Jumps_ Giggles and Shouts,Astream,167.8ø
Girlfriends,Jumps_ Giggles and Shouts,Astream,104.5ø
Creation of the Devil,Jumps_ Giggles and Shouts,Astream,136.0ø
Baldy,Jumps_ Giggles and Shouts,Astream,138.4ø
...And Then There Was Nothing,Jumps_ Giggles and Shouts,Astream,167.9ø
Drums Of Africa,2 Heavyweight: Another Blood & Fire Sampler,Prince Jammy | The Aggrovators,217.6ø
When The Light Is Gone live mix,Fusion,Ubar Tmar,442.1ø
Welcome To Our Space,Fusion,Ubar Tmar,51.3ø
VS,Fusion,Ubar Tmar,569.5ø
Transformer Synthesizer,Fusion,Ubar Tmar,381.4ø
The Tale Of Taketori,Fusion,Ubar Tmar,452.4ø
The Prophecy,Fusion,Ubar Tmar,403.4ø
Flying Saucer Landing,Fusion,Ubar Tmar,512.9ø
Eternal Return,Fusion,Ubar Tmar,438.3ø
Electric Voodoo Man,Fusion,Ubar Tmar,544.1ø
3D Heaven,Fusion,Ubar Tmar,472.7ø
Audio Liner Notes,Back Bop! Unreleased '82 Sessions,Bugs Henderson,118.0ø
You Don't Wont None A Dis,Troubled Mind,Young Dre D,296.5ø
Troubled Mind,Troubled Mind,Young Dre D,323.9ø
Thrill Kill,Troubled Mind,Young Dre D,226.2ø
Sucka Free,Troubled Mind,Young Dre D,382.5ø
So Much Madness,Troubled Mind,Young Dre D,345.7ø
Slangin' Area,Troubled Mind,Young Dre D,292.4ø
Same Ass N*gga,Troubled Mind,Young Dre D,223.4ø
My Pistola,Troubled Mind,Young Dre D,254.6ø
Meat Rack,Troubled Mind,Young Dre D,355.2ø
Gimme The Kat,Troubled Mind,Young Dre D,247.4ø
Feel The Power,Troubled Mind,Young Dre D,284.0ø
Dirt By My Lonely,Troubled Mind,Young Dre D,316.3ø
Beware Of Da Kreep,Troubled Mind,Young Dre D,297.6ø
Battle Field,Troubled Mind,Young Dre D,288.9ø
Turbulent Mirror,Toward The Margins,Evan Parker Electro-Acoustic Ensemble,353.3ø
Toward The Margins,Toward The Margins,Evan Parker Electro-Acoustic Ensemble,273.0ø
The Regenerative Landscape (For AMM),Toward The Margins,Evan Parker Electro-Acoustic Ensemble,215.8ø
The Hundred Books (For Idries Shah),Toward The Margins,Evan Parker Electro-Acoustic Ensemble,248.3ø
Shadow Without An Object: (1) Engagement_ (2) Reversal_ (3) Displacement,Toward The Margins,Evan Parker Electro-Acoustic Ensemble,361.7ø
Philipp's Pavilion,Toward The Margins,Evan Parker Electro-Acoustic Ensemble,452.2ø
Field And Figure,Toward The Margins,Evan Parker Electro-Acoustic Ensemble,425.9ø
Epanados,Toward The Margins,Evan Parker Electro-Acoustic Ensemble,269.3ø
Contra-Dance,Toward The Margins,Evan Parker Electro-Acoustic Ensemble,218.6ø
Chain Of Chance,Toward The Margins,Evan Parker Electro-Acoustic Ensemble,258.8ø
Born Cross-Eyed (Remebering Fuller),Toward The Margins,Evan Parker Electro-Acoustic Ensemble,171.0ø
Big City,Take Warning: The Songs of Operation Ivy,My Superhero,220.4ø
Pretty Green Eyes,Hardcore - The Classics 1994-2009,Force & Styles,409.7ø
Pacific Sun,Hardcore - The Classics 1994-2009,Force & Styles,311.7ø
Fantasy Real,All The Hits,Phil Fearon & Galaxy,240.4ø
An American in Paris,Beethoven: Piano Sonata No. 21 - Handel: Organ Concertos Nos. 13 & 16_ et. al,David Rose & His Orchestra_ David Rose,192.3ø
Groove Thang,Anthems Electronic 80s,B.E.F.,245.6ø
6x6,Sugarless,Puller,311.4ø
#1 Fan,Sugarless,Puller,184.4ø
Neutron Force,Incubation Time,Controlled Fusion,547.9ø
Impact - R142,Incubation Time,Controlled Fusion,472.1ø
Diversion Operation,Incubation Time,Controlled Fusion,314.9ø
Conspiracy,Incubation Time,Controlled Fusion,535.9ø
Assassination,Incubation Time,Controlled Fusion,472.8ø
Funkbwithu,First Class Ticket To Telos,Buckfunk 3000,328.9ø
3000,First Class Ticket To Telos,Buckfunk 3000,337.2ø
Sanctus and Benedictus,Hilliard Live 3,Antoine Brumel,463.2ø
Mater Patris,Hilliard Live 3,Antoine Brumel,203.3ø
Kyrie and Gloria (Missa Victimae paschali laudes),Hilliard Live 3,Antoine Brumel,553.2ø
Agnus Dei,Hilliard Live 3,Antoine Brumel,391.5ø
Poor Wayfaring Stranger,I Saw the Light: White Spirituals & Country Gospel - Roots Collection Vol. 12,Almeda Riddle,181.5ø
Jesse James,Murder_ Theft and Devilish Deals,Almeda Riddle,41.6ø
Start the Rumba,Henry Street Music Volume 15,Furious George,301.4ø
How Important Can It Be,Teen Dreams 1955,Joni James,151.7ø
Slightly More Than Flight,Transient Waves,Transient Waves,377.7ø
Ride Home,Transient Waves,Transient Waves,392.6ø
Murk,Transient Waves,Transient Waves,203.8ø
Who Decides,Evolve,Pulse Legion,292.0ø
Wasted Redemption,Evolve,Pulse Legion,240.0ø
The Fear,Evolve,Pulse Legion,245.0ø
Remains,Evolve,Pulse Legion,293.3ø
Never Over,Evolve,Pulse Legion,248.7ø
Maelstrom,Evolve,Pulse Legion,394.0ø
Hideaway,Evolve,Pulse Legion,248.0ø
Evolve,Evolve,Pulse Legion,287.0ø
Disillusion,Evolve,Pulse Legion,272.7ø
Before the Punishment,Evolve,Pulse Legion,262.7ø
Velvet Claws,Majestic Nothingness,Carpe Tenebrum,315.0ø
Temptress Luna,Majestic Nothingness,Carpe Tenebrum,417.7ø
Requim Spell,Majestic Nothingness,Carpe Tenebrum,276.0ø
Drain The Labyrinth,Majestic Nothingness,Carpe Tenebrum,441.5ø
Blood Dance,Majestic Nothingness,Carpe Tenebrum,420.8ø
Wake Up And Start Dreaming,Waking Up Is Hard To Do!,Rip Van Hippy,403.7ø
Surf Mars,Waking Up Is Hard To Do!,Rip Van Hippy,392.1ø
Oops_ Wrong Comet,Waking Up Is Hard To Do!,Rip Van Hippy,361.8ø
No Beginning_ No End,Waking Up Is Hard To Do!,Rip Van Hippy,348.4ø
I Couldn't Talk,Waking Up Is Hard To Do!,Rip Van Hippy,415.1ø
How Hip Is A Computer,Waking Up Is Hard To Do!,Rip Van Hippy,330.7ø
Dumbeka,Waking Up Is Hard To Do!,Rip Van Hippy,355.1ø
Dude Descending A Staircase,Waking Up Is Hard To Do!,Rip Van Hippy,402.5ø
Diabet,Waking Up Is Hard To Do!,Rip Van Hippy,367.2ø
Ya No Te Quiero,Greta Y Los Garbo,Greta Y Los Garbo,285.8ø
Todo (New York Remix. English Version),Greta Y Los Garbo,Greta Y Los Garbo,325.1ø
Todo,Greta Y Los Garbo,Greta Y Los Garbo,310.7ø
Llueve,Greta Y Los Garbo,Greta Y Los Garbo,346.1ø
En Tus Brazos,Greta Y Los Garbo,Greta Y Los Garbo,257.0ø
Donde Acaba El Sol,Greta Y Los Garbo,Greta Y Los Garbo,303.4ø
Despues De La Tormenta,Greta Y Los Garbo,Greta Y Los Garbo,325.0ø
Busco Un Angel,Greta Y Los Garbo,Greta Y Los Garbo,426.1ø
Ana,Greta Y Los Garbo,Greta Y Los Garbo,312.5ø
My Heart,Dootone Doo Wop Vol 2,The Cuff Links,241.4ø
Delphinium Blue,Of Foreign Lands and People,Mandible Chatter,322.1ø
Por Retenerte,Merengue y Mas,Zafra Negra,281.3ø
Como Me Duele El Amor,Merengue y Mas,Zafra Negra,296.7ø
Andar De Fiesta,Merenboom Navideno Vol. 2,Zafra Negra,291.4ø
Ajena,Merengue y Mas,Zafra Negra,274.4ø
Osiris,Danzon-Son,Orquesta America,286.3ø
Flauta Magica,Danzon-Son,Orquesta America,262.3ø
Central Constancia,Danzon-Son,Orquesta America,466.9ø
Boda de Oro,Danzon-Son,Orquesta America,353.7ø
Eh Cumpari,Jukebox-Hits (Vol. 5),Julius La Rosa,145.0ø
Who Is Not On Death Row?,Split,Mumia Abu-Jamal,32.4ø
May 13th Remembered,Split,Mumia Abu-Jamal,254.4ø
Legalized Crime,Split,Mumia Abu-Jamal,181.7ø
Black August,Split,Mumia Abu-Jamal,285.7ø
A House Is Not A Home,Split,Mumia Abu-Jamal,207.8ø
Tripping (Trip Out Dub),Tripping,Smooth Touch,502.8ø
Tripping (Get Your Swerve On Loop),Tripping,Smooth Touch,205.5ø
Tripping ('More' Nunez Mix),Tripping,Smooth Touch,513.2ø
So Tired,Hit Club_ The Hits 1949,Russ Morgan,198.8ø
2001 Ultrasound,My Third Husband,Deborah Conway,257.5ø
Slipping Around,Columbia Country Classics Vol. II: Honky Tonk Heroes,Floyd Tillman,163.6ø
The Wild Wagoner,Kentucky Mountain Music_ Part 4,J.W. Day,194.6ø
Zone,Emo Diaries - Chapter One - What's Mine Is Yours,Pave The Rocket,246.6ø
It's A Pleasure,Capitol Rare: Volume 2,Sheree Brown,243.6ø
Only The Bones (will Show),My Third Husband,Deborah Conway,228.7ø
It's Only A Dream,My Third Husband,Deborah Conway,314.6ø
It's A Girl Thing,My Third Husband,Deborah Conway,177.4ø
Here In My Arms,My Third Husband,Deborah Conway,317.2ø
Feathers In My Mouth,My Third Husband,Deborah Conway,203.1ø
Everything You Want It To Be,My Third Husband,Deborah Conway,233.4ø
Bag Of Sweets,My Third Husband,Deborah Conway,294.5ø
All Of The Above,My Third Husband,Deborah Conway,288.7ø
Twilight Time,Sail Along Silv'ry Moon,Billy Vaughn And His Orchestra,142.5ø
Tumbling Tumbleweeds,Sail Along Silv'ry Moon,Billy Vaughn And His Orchestra,123.0ø
Raunchy,Sail Along Silv'ry Moon,Billy Vaughn And His Orchestra,134.1ø
La Paloma,Sail Along Silv'ry Moon,Billy Vaughn And His Orchestra,150.0ø
Come September,Sail Along Silv'ry Moon,Billy Vaughn And His Orchestra,147.8ø
Blueberry Hill,Sail Along Silv'ry Moon,Billy Vaughn And His Orchestra,116.0ø
Had A Dream,The Excellence Of - Piano Blues,Cripple Clarence Lofton,168.9ø
1 X 0 (Um A Zero),Na Cadencia Do Samba,Arranco De Varsovia,179.3ø
Cumberland Gap,Skiffle At It's Best,Vipers Skiffle Group,116.4ø
La Colegiala,Musica Tropical De Colombia 5,Rodolfo Y Su Tipica Ra7,223.1ø
Summershines,Stratospheric,Buddha on the moon,314.6ø
Of The Clouds,Stratospheric,Buddha on the moon,186.8ø
Now That You're A Star,Stratospheric,Buddha on the moon,254.0ø
My Own Private Undoing,Stratospheric,Buddha on the moon,273.0ø
Judas Iscariot,Stratospheric,Buddha on the moon,332.9ø
Coastal Hwys,Stratospheric,Buddha on the moon,307.5ø
As You Said,Stratospheric,Buddha on the moon,272.1ø
I Need A Real Man,Come Get Your Love,E.C. Scott,241.6ø
Where There's Mods There's Rockers,Quo Vardis,Vardis,283.8ø
Together Tonight,Quo Vardis,Vardis,232.2ø
Situation Negative,100 mph,Vardis,214.4ø
Do I Stand Accused?,Quo Vardis,Vardis,202.7ø
Dirty Money,100 mph,Vardis,151.0ø
Boogie Blitz,Quo Vardis,Vardis,218.5ø
100 mph,100 mph,Vardis,451.6ø
Lonesome Man Blues,Chicago Down Home Blues Volume 1,John Brim,171.9ø
Perfect World,Perfect World,Richi M.,513.9ø
Without Letting Go (2006 Remastered Album Version),Heads & Tales,Laurie Sargent,198.7ø
Laat Me Alleen,Als De Dag Van Toen - Het Beste Van,Mama's Jasje,219.1ø
Een Nacht Alleen,Als De Dag Van Toen - Het Beste Van,Mama's Jasje,202.4ø
Als De Dag Van Toen,Als De Dag Van Toen - Het Beste Van,Mama's Jasje,240.9ø
You Must Have Faith,Songs of Inspiration,Jim Nabors,136.2ø
When The Roll Is Called Up Yonder,Songs of Inspiration,Jim Nabors,167.1ø
The Old Rugged Cross,Songs of Inspiration,Jim Nabors,189.3ø
Sunrise_ Sunset,Songs of Inspiration,Jim Nabors,208.4ø
Softly And Tenderly,Songs of Inspiration,Jim Nabors,253.2ø
Mansion Over The Hilltop,Songs of Inspiration,Jim Nabors with The Jordanaires,178.0ø
In The Garden,Songs of Inspiration,Jim Nabors,213.9ø
Crying In The Chapel,Songs of Inspiration,Jim Nabors with The Jordanaires,152.9ø
Battle Hymn Of The Republic,Songs of Inspiration,Jim Nabors,190.6ø
Amazing Grace,Songs of Inspiration,Jim Nabors,150.1ø
Stalled Angel,Straight To The Krankenhaus,Secret Oyster,237.2ø
Charleston,The Roaring Twenties: Dance Music Of The Charleston Era,The California Ramblers,219.0ø
Daughter of Zion,Culture Grooves 2,Winston Reedy,188.8ø
The Rhythm,Techno Bass Phase 2,Beat Dominator,322.0ø
Strange Behaviour,Road Rockets,Rita Chiarelli,258.6ø
Shrewsbury Blues,King of the Stroll,Tommy Ridgley,181.5ø
Ma Che Uomo Sei,Napoli Centrale,Napoli Centrale,494.7ø
Epitaffio,Napoli Centrale,Napoli Centrale,593.7ø
E La Vita Continua,Napoli Centrale,Napoli Centrale,445.4ø
Corri Uomo Corri,Napoli Centrale,Napoli Centrale,455.7ø
Amore Che Fu,Napoli Centrale,Napoli Centrale,462.9ø
Abbasso Lo Zio Tom,Napoli Centrale,Napoli Centrale,588.7ø
I'll Be There,The Very Best Of,Damita Jo,168.7ø
Yiri Yiri Bon,Shall We Salsa,Ricardo Lemvo,292.1ø
What Should I Do,Every Shade of Blue,Roy Roberts,295.6ø
I Got a Gypsy Woman,Every Shade of Blue,Roy Roberts,221.0ø
Jamie's Kisses,No Doy,Pep Squad,166.7ø
Out On The Floor,Take Me In Your Arms And Love Me,Frances Nero,233.6ø
You're Laughing Now,Jazz Gillum Vol. 1 1936-1938,Jazz Gillum,165.9ø
Uncertain Blues,Jazz Gillum Vol. 1 1936-1938,Jazz Gillum,177.7ø
Sweet Sweet Woman,Jazz Gillum Vol. 1 1936-1938,Jazz Gillum,174.9ø
Sarah Jane,Take One More Chance With Me,Jazz Gillum,188.5ø
My Old Lizzie,Jazz Gillum Vol. 1 1936-1938,Jazz Gillum,204.3ø
Jockey Blues,Jazz Gillum Vol. 1 1936-1938,Jazz Gillum,171.3ø
I'm That Man Down In The Mine,Jazz Gillum Vol. 1 1936-1938,Jazz Gillum,170.2ø
I'm Gonna Get It,Harmonica and washboard blues 1937-1940,Bill Jazz Gillum,161.1ø
Gillum's Windy Blues,Take One More Chance With Me,Jazz Gillum,149.0ø
Boar Hog Blues,Jazz Gillum Vol. 1 1936-1938,Jazz Gillum,171.0ø
Kings Do Not Have Watches,Emo Diaries - Chapter One - What's Mine Is Yours,Only Airplanes Count,299.7ø
Save Our Souls,Urban Chemistry,sea of sin,340.7ø
Under Virgo's Sun,Beyond The Maybe Machine,Melting Euphopria,274.7ø
Wide Load,Down Home,Joey Baron feat. Arthur Blythe_ Ron Carter & Bill Frisell,515.2ø
The Crock Pot,Down Home,Joey Baron feat. Arthur Blythe_ Ron Carter & Bill Frisell,307.1ø
Supposing,Down Home,Joey Baron feat. Arthur Blythe_ Ron Carter & Bill Frisell,64.0ø
Little Boy,Down Home,Joey Baron feat. Arthur Blythe_ Ron Carter & Bill Frisell,533.7ø
Listen To The Woman,Down Home,Joey Baron feat. Arthur Blythe_ Ron Carter & Bill Frisell,107.4ø
Aren't We All?,Down Home,Joey Baron feat. Arthur Blythe_ Ron Carter & Bill Frisell,401.0ø
I'll Never Break These Chains,The Best of Tommy Overstreet,Tommy Overstreet,157.0ø
Walking Carson Blues,An Introduction To Chico Hamilton Vol 3,Chico Hamilton Quintet,373.7ø
Topsy,An Introduction To Chico Hamilton Vol 3,Chico Hamilton Quintet,294.7ø
The Wind,An Introduction To Chico Hamilton Vol 3,Chico Hamilton Quintet,219.1ø
The Squimp,Sweet Smell Of Success,Chico Hamilton Quintet,109.0ø
The Sage,Sweet Smell Of Success,Chico Hamilton Quintet,214.4ø
The Morning After,Sweet Smell Of Success,Chico Hamilton Quintet,129.5ø
Taking A Chance On Love,An Introduction To Chico Hamilton Vol 2,Chico Hamilton Quintet,256.6ø
Siete-Cuatro,Classical Katz,The Chico Hamilton Quintet With Fred Katz_ Paul Horn_ John Pisano_ Carson Smith,296.1ø
September Song,Classical Katz,The Chico Hamilton Quintet With Fred Katz_ Paul Horn_ John Pisano_ Carson Smith,218.5ø
Reflections,An Introduction To Chico Hamilton Vol 3,Chico Hamilton Quintet,331.1ø
My Funny Valentine,An Introduction To Chico Hamilton Vol 2,Chico Hamilton Quintet,263.5ø
Mr. Jo Jones,Classical Katz,The Chico Hamilton Quintet With Fred Katz_ Paul Horn_ John Pisano_ Carson Smith,198.1ø
Lillian,Classical Katz,The Chico Hamilton Quintet With Fred Katz_ Paul Horn_ John Pisano_ Carson Smith,312.2ø
Jonalah,An Introduction To Chico Hamilton Vol 3,Chico Hamilton Quintet,142.3ø
Gone Lover (When Your Lover Has Gone),An Introduction To Chico Hamilton Vol 2,Chico Hamilton Quintet,235.8ø
Drums West,An Introduction To Chico Hamilton Vol 3,Chico Hamilton Quintet,264.3ø
Chanel #5,An Introduction To Chico Hamilton Vol 2,Chico Hamilton Quintet,283.4ø
Buddy Boo,Sweet Smell Of Success,Chico Hamilton Quintet,322.7ø
Beanstalk,An Introduction To Chico Hamilton Vol 2,Chico Hamilton Quintet,320.2ø
A Nice Day,An Introduction To Chico Hamilton Vol 3,Chico Hamilton Quintet,180.1ø
They Say,The Golden Age of Northern Soul Vol. 2,The Ovations,124.3ø
Poor Boy Blues,Ramblin' Thomas & The Dallas Blues Singers (1928-1932),Ramblin' Thomas & The Dallas Blues Singers,149.1ø
Singles At Church,Everybody's Dead (Oh_ No),Wckr Spgt,126.3ø
Making Love In The Pew,Everybody's Dead (Oh_ No),Wckr Spgt,85.3ø
Daphne Stepping Sideways,Everybody's Dead (Oh_ No),Wckr Spgt,104.1ø
Capricorn One,Everybody's Dead (Oh_ No),Wckr Spgt,155.5ø
Tell You A Lie,Arewehavinganotherinhereorwhat?,The Amber Squad,149.5ø
I Can't Put My Finger On You,Arewehavinganotherinhereorwhat?,The Amber Squad,195.3ø
One O'Clock Jump,Jazz Masters,The Count Basie Orchestra,226.4ø
World Of Cushions,Room Seven,S.U.P,295.5ø
The Fall Is Too Long,Room Seven,S.U.P,303.2ø
The Calling,Room Seven,S.U.P,146.9ø
Snake-Eyes,Room Seven,S.U.P,300.1ø
Room Seven,The Holy Bible 1992-2002,S.U.P,262.8ø
Real Nature,Room Seven,S.U.P,277.9ø
My Heart On My Tongue,Room Seven,S.U.P,168.5ø
Imaginary Life,Room Seven,S.U.P,203.5ø
Fallacy,Room Seven,S.U.P,296.7ø
Bangs In My Head,Room Seven,S.U.P,258.2ø
A Blue Sweetness,Room Seven,S.U.P,302.1ø
Something You Said,Under The Influence Of Bad People,Screw 32,112.7ø
Responsibility,Under The Influence Of Bad People,Screw 32,135.9ø
Paint This Town Red,Under The Influence Of Bad People,Screw 32,107.8ø
Painless,Under The Influence Of Bad People,Screw 32,192.7ø
One Time Angels,Under The Influence Of Bad People,Screw 32,168.7ø
My Crazy Life,Under The Influence Of Bad People,Screw 32,148.9ø
Misunderstood,Under The Influence Of Bad People,Screw 32,144.0ø
Don't Let Them Take You Alive,Under The Influence Of Bad People,Screw 32,181.4ø
Broken,Under The Influence Of Bad People,Screw 32,157.7ø
Black Marker,Under The Influence Of Bad People,Screw 32,128.0ø
K.C.Loving,The Birth of R&B,Little Willie Littlefield,160.2ø
Chora Tua Tristeza,Instrumental Bossa Nova,Oscar Castro Neves,96.3ø
Serenade in Blue,The Jazz in You,Gloria Lynne,163.1ø
Out Of This World,Love Songs,Gloria Lynne,279.5ø
I Should Care,The Jazz in You,Gloria Lynne,178.0ø
Fly Me To The Moon,Love Songs,Gloria Lynne,225.6ø
Sifting Through Remains,10 Years Nuclear Blast,sacred denial,261.6ø
Think,I'll Shut Up When You Fuck Off,The Almighty Trigger Happy,174.6ø
Tango,I'll Shut Up When You Fuck Off,The Almighty Trigger Happy,181.6ø
Shit for Dessert,I'll Shut Up When You Fuck Off,The Almighty Trigger Happy,144.4ø
In Hate,I'll Shut Up When You Fuck Off,The Almighty Trigger Happy,86.5ø
Human Racist,I'll Shut Up When You Fuck Off,The Almighty Trigger Happy,139.8ø
Grrrilla,I'll Shut Up When You Fuck Off,The Almighty Trigger Happy,165.5ø
Fingers,I'll Shut Up When You Fuck Off,The Almighty Trigger Happy,131.0ø
Better Brain,I'll Shut Up When You Fuck Off,The Almighty Trigger Happy,148.2ø
Under Construction,Music While You Work,1.000 Mexicans,328.7ø
What Is This Thing Called Love?,The Sorcerer,Gabor Szabo,315.5ø
Stronger Than Us,The Sorcerer,Gabor Szabo,253.6ø
Space,The Sorcerer,Gabor Szabo,402.5ø
Lou-ise,The Sorcerer,Gabor Szabo,257.9ø
Little Boat,The Sorcerer,Gabor Szabo,263.1ø
Your Family,Turn Up The Heat,Detroit Junior,210.5ø
Orrio To Fengo,Riza of Ghetonia,Ghetonia,332.9ø
Agapiso,Taranta Nights 2,Ghetonia,161.6ø
Your Father And I Have Been Talking,The Box Under The Bed,D.C. Anderson,124.1ø
You're Driving Me Crazy/Undecided,The Box Under The Bed,D.C. Anderson,100.4ø
Wake Up Screaming,The Box Under The Bed,D.C. Anderson,122.5ø
That Lonesome Road,The Box Under The Bed,D.C. Anderson,106.0ø
Sister Clarissa,The Box Under The Bed,D.C. Anderson,202.4ø
Paralyzed,The Box Under The Bed,D.C. Anderson,151.1ø
Pajamas,The Box Under The Bed,D.C. Anderson,95.0ø
Orbiting Jupiter,The Box Under The Bed,D.C. Anderson,194.1ø
New Words,The Box Under The Bed,D.C. Anderson,140.6ø
Moonbathing,The Box Under The Bed,D.C. Anderson,188.5ø
Mississippi Mud,The Box Under The Bed,D.C. Anderson,83.5ø
If I Only Had A Brain,The Box Under The Bed,D.C. Anderson,117.1ø
I'm Pretty Mad,The Box Under The Bed,D.C. Anderson,108.0ø
Bonny Portmore,The Box Under The Bed,D.C. Anderson,160.8ø
Bird On A Wire,The Box Under The Bed,D.C. Anderson,196.1ø
75 Septembers,The Box Under The Bed,D.C. Anderson,207.6ø
Oh Paranoia,Pure Sound_ Pure Hogwash_ Pure Amphetamines,Gangster Fun,174.4ø
Date With Density,Pure Sound_ Pure Hogwash_ Pure Amphetamines,Gangster Fun,176.4ø
You and Me Together,Every Shade of Blue,Roy Roberts,263.2ø
Why You Didn't Come Home,Every Shade of Blue,Roy Roberts,327.2ø
Sweet As a Honey Bee,Every Shade of Blue,Roy Roberts,338.8ø
My Baby Left Me,Every Shade of Blue,Roy Roberts,183.3ø
Let's Wrap Up,Every Shade of Blue,Roy Roberts,189.9ø
I'll Understand,Every Shade of Blue,Roy Roberts,204.1ø
Have You Seen My Baby,Every Shade of Blue,Roy Roberts,210.2ø
Hard To Find a Woman,Every Shade of Blue,Roy Roberts,211.8ø
Comin' Through the Back Door,Every Shade of Blue,Roy Roberts,237.4ø
A Woman Needs Love,Every Shade of Blue,Roy Roberts,261.3ø
Weird Monkey,Green Dreams,Bypass Unit,471.3ø
Helium,Green Dreams,Bypass Unit,299.4ø
Green Dreams,Green Dreams,Bypass Unit,531.6ø
