Someone To Love,I Wanna Be Around,Tony Bennett,117.7ø
Letters From A Porcupine,Nico,Blind Melon,114.1ø
John Sinclair,Nico,Blind Melon,216.3ø
Hell,Nico,Blind Melon,122.8ø
Glitch,Nico,Blind Melon,200.3ø
All That I Need,Nico,Blind Melon,169.0ø
You Turn Me On I'm A Radio (LP Version),Hits,Joni Mitchell,159.9ø
Woodstock (LP Version),Hits,Joni Mitchell,326.9ø
Urge For Going (LP Version),Hits,Joni Mitchell,308.0ø
Raised On Robbery (LP Version),Hits,Joni Mitchell,187.8ø
Free Man In Paris  (LP Version),Hits,Joni Mitchell,183.6ø
Carey (LP Version),Hits,Joni Mitchell,182.9ø
California (LP Version),Hits,Joni Mitchell,230.2ø
Big Yellow Taxi (Tribal Dub),Big Yellow Taxi,Joni Mitchell,461.6ø
Big Yellow Taxi (Original A Cappella With Guitar),Big Yellow Taxi,Joni Mitchell,136.0ø
Big Yellow Taxi (LP Version),Big Yellow Taxi,Joni Mitchell,239.4ø
Big Yellow Taxi (Double Espresso Nrg Mix),Big Yellow Taxi,Joni Mitchell,277.7ø
Don't Need A Gun (Meltdown Mix),so80s (So Eighties) Volume 2 - Pres. By Blank & Jones,Billy Idol,571.7ø
Transmigration Macabre,Black Earth,Arch Enemy,249.2ø
Time Capsule,Black Earth,Arch Enemy,68.7ø
The Ides Of March,Black Earth,Arch Enemy,103.7ø
Losing Faith,Black Earth,Arch Enemy,183.6ø
Idolatress,Black Earth,Arch Enemy,294.4ø
Fields Of Desolation,Black Earth,Arch Enemy,330.0ø
Eureka,Black Earth,Arch Enemy,283.9ø
Dark Insanity,Black Earth,Arch Enemy,195.9ø
Cosmic Retribution,Black Earth,Arch Enemy,238.4ø
Bury Me An Angel,Black Earth,Arch Enemy,220.4ø
Single - Bilingual (2001 Digital Remaster),Bilingual,Pet Shop Boys,228.0ø
Video (Live),Underground #1,Ben Folds Five,250.9ø
Underground (Live),Naked Baby Photos,Ben Folds Five,282.4ø
Underground (Edit),Underground #1,Ben Folds Five,217.3ø
Tom & Mary,Naked Baby Photos,Ben Folds Five,154.5ø
Song For The Dumped,Whatever And Ever Amen (Remastered Edition),Ben Folds Five,304.0ø
Satan Is My Master (Live),Naked Baby Photos,Ben Folds Five,93.2ø
Jackson Cannery (Live),Underground #2,Ben Folds Five,245.0ø
Emaline,Naked Baby Photos,Ben Folds Five,202.0ø
Trade In (LP Version),Set The Twilight Reeling,Lou Reed,299.2ø
NYC Man,NYC Man - The Greatest Hits,Lou Reed,295.5ø
Egg Cream (LP Version),Set The Twilight Reeling,Lou Reed,317.8ø
Memphis,New Moon Daughter,Cassandra Wilson,305.5ø
Harvest Moon,Closer To You: The Pop Side,Cassandra Wilson,300.4ø
1-2-3 Slam,Live At The House Of Blues,Guttermouth,306.4ø
Phoenix City,Greetings From Skamania,The Skatalites,396.9ø
Old Devil Moon,Things are Swingin'/Jump for Joy,Peggy Lee,178.3ø
Music! Music! Music!,Things are Swingin'/Jump for Joy,Peggy Lee,150.2ø
Lullaby In Rhythm,Things are Swingin'/Jump for Joy,Peggy Lee,134.6ø
Ain't We Got Fun,Things are Swingin'/Jump for Joy,Peggy Lee,130.7ø
Wrong,Walking Wounded,Everything But The Girl,276.5ø
Walking Wounded (Omni Trio Remix),Walking Wounded,Everything But The Girl,402.5ø
Walking Wounded (Main Vocal Mix),Original Hits - Nineties,Everything But The Girl,316.0ø
Mirrorball,Walking Wounded,Everything But The Girl,206.6ø
Flipside,Walking Wounded,Everything But The Girl,272.8ø
Before Today (Chicane Remix),Like The Deserts Miss The Rain,Everything But The Girl,383.0ø
Before Today,The 90s Collection,Everything But The Girl,256.7ø
Vrij,Petra,Petra,465.1ø
Vertrauen Alles Sternen,Thanks For The Ether,Rasputina,246.0ø
The Donner Party,Thanks For The Ether,Rasputina,121.1ø
Stumpside,Thanks For The Ether,Rasputina,241.5ø
Sister Sleep,Thanks For The Ether,Rasputina,179.7ø
Rusty The Skatemaker,Transylvanian Regurgitations,Rasputina,219.0ø
Nozzle,Thanks For The Ether,Rasputina,115.8ø
My Little Shirtwaist Fire,Thanks For The Ether,Rasputina,151.6ø
Mr. E. Leon Rauis,Thanks For The Ether,Rasputina,207.4ø
Kate Moss,Thanks For The Ether,Rasputina,92.8ø
Howard Hughes,Thanks For The Ether,Rasputina,196.6ø
Five Fleas,Thanks For The Ether,Rasputina,65.1ø
Endomorph,Thanks For The Ether,Rasputina,160.0ø
Dig Ophelia,Thanks For The Ether,Rasputina,180.8ø
Crybabies,Thanks For The Ether,Rasputina,200.7ø
Brand New Key,Transylvanian Regurgitations,Rasputina,132.6ø
Any Old Actress,Thanks For The Ether,Rasputina,234.2ø
Memories Of Blue,Oceanic,Vangelis,340.4ø
Aquatic Dance,Oceanic,Vangelis,223.9ø
Love And Greed,Travelogue: Blues Traveler Classics,Blues Traveler,255.6ø
It's Been A Long Long Time,He's My Guy,Peggy Lee,136.6ø
Cheek To Cheek,Jump For Joy,Peggy Lee,167.1ø
The Difference,Bringing Down The Horse,The Wallflowers,230.2ø
One Headlight,Bringing Down The Horse,The Wallflowers,312.6ø
Laughing Out Loud,Bringing Down The Horse,The Wallflowers,219.5ø
Josephine,Bringing Down The Horse,The Wallflowers,309.1ø
Invisible City,Bringing Down The Horse,The Wallflowers,287.7ø
I Wish I Felt Nothing,Bringing Down The Horse,The Wallflowers,302.4ø
God Don't Make Lonely Girls,Bringing Down The Horse,The Wallflowers,289.0ø
Bleeders,Bringing Down The Horse,The Wallflowers,221.5ø
Angel On My Bike,Bringing Down The Horse,The Wallflowers,261.7ø
6th Avenue Heartache,Bringing Down The Horse,The Wallflowers,337.4ø
Got My Mojo Workin',Breakin' It Up_ Breakin' It Down,Muddy Waters;Johnny Winter;James Cotton,299.5ø
What's The Matter Baby,Live At The Cafe Au Go Go (And Soledad Prison),John Lee Hooker,224.7ø
Lucille,Live At The Cafe Au Go Go (And Soledad Prison),John Lee Hooker,402.2ø
Portrait in black and white,Live In Rosenheim - Chet Baker's Last Recording As Quartet 1988,Chet Baker,432.4ø
Lament,But Not For Me,Chet Baker,414.8ø
Fine And Dandy,Lonely Star,Chet Baker,442.0ø
Chabootie,Stairway To The Stars,Chet Baker,414.1ø
Carpsie's Groove,Stairway To The Stars,Chet Baker,394.7ø
Wizard Of The Ghetto,Mutilation Mix,Insane Clown Posse,69.9ø
Telephone Skit 2,Mutilation Mix,Insane Clown Posse,195.9ø
Telephone Skit 1,Mutilation Mix,Insane Clown Posse,55.1ø
Southwest Strangle,Mutilation Mix,Insane Clown Posse,155.2ø
Hybrid,Exploiting Dysfuntion,Cephalic Carnage,259.0ø
Analytical,Conforming to Abnormality,Cephalic Carnage,268.4ø
The Return Of The Jedi,Underground Vibes,Dj Cam,332.9ø
Meera (feat. Kakoli Sengupta),Substances,Dj Cam,434.5ø
Innervisions,Substances,Dj Cam,284.6ø
Hip Hop Pionners,Substances,Dj Cam,269.1ø
Friends And Ennemies,Substances,Dj Cam,388.4ø
Essence Part Four,Substances,Dj Cam,37.9ø
Angel Dust,Substances,Dj Cam,384.8ø
Worried All The Time,I'm The Wolf,Howlin' Wolf,158.9ø
Back To Living Again (Album Version),New World Order,Curtis Mayfield,311.0ø
You Got What You Wanted,Best of Ike & Tina Turner,Ike & Tina Turner,146.0ø
Tell The Truth,The Complete Soul Essentials,Ike & Tina Turner,143.2ø
Somebody somewhere needs you,It Is All Over,Ike & Tina Turner,156.8ø
I Can't Stop Loving You,The Great Ike & Tina Vol.3,Ike & Tina Turner,226.7ø
I Found My Smile Again,Ultimate D'Angelo,D'Angelo,372.9ø
Girl You Need A Change Of Mind,Ultimate D'Angelo,D'Angelo,248.3ø
Islands Of The Orient,Oceanic,Vangelis,444.2ø
To Remake The Young Flyer,Under The Bushes Under The Stars,Guided By Voices,103.4ø
Rhine Jive Click,Under The Bushes Under The Stars,Guided By Voices,94.2ø
No Sky,Under The Bushes Under The Stars,Guided By Voices,123.8ø
Man Called Aerodynamics,Under The Bushes Under The Stars,Guided By Voices,121.1ø
Lord Of Overstock,Under The Bushes Under The Stars,Guided By Voices,154.5ø
Burning Flag Birthday Suit,Under The Bushes Under The Stars,Guided By Voices,142.2ø
Forbidden Fruit,Volume - The Best of Paul van Dyk,Paul Van Dyk,558.6ø
Le Soir,Nuages,Django Reinhardt,176.7ø
Impromptu,Django On The Radio - Transcribed Broadcasts (CD E - 1948-1953),Django Reinhardt,315.7ø
The Pointless_ Yet Poignant_ Crisis Of A Co-Ed,Mortal City,Dar Williams,192.6ø
The Ocean,Out There Live,Dar Williams,320.8ø
The Christians And The Pagans,Mortal City,Dar Williams,184.5ø
Southern California Wants To Be Western New York,Mortal City,Dar Williams,250.1ø
Mortal City,Mortal City,Dar Williams,436.3ø
February,Mortal City,Dar Williams,232.6ø
Family,Mortal City,Dar Williams,203.5ø
As Cool as I Am,Out There Live,Dar Williams,227.6ø
This is your life,Angry Machines (Re-Release),Dio,204.1ø
Institutional Man,Angry Machines (Re-Release),Dio,309.0ø
Hunter of the heart,Angry Machines (Re-Release),Dio,253.5ø
Dying in America,Angry Machines (Re-Release),Dio,278.9ø
Double monday,Angry Machines (Re-Release),Dio,175.9ø
Don't tell the kids,Angry Machines (Re-Release),Dio,259.0ø
Black,Angry Machines (Re-Release),Dio,190.6ø
So In Love,Sugar 'N' Spice/I Like Men,Peggy Lee,142.4ø
You're Mine,The Light at the End of the World,A Flock Of Seagulls,312.8ø
Walking in the Garden,The Light at the End of the World,A Flock Of Seagulls,302.2ø
The Light at the End of the World,The Light at the End of the World,A Flock Of Seagulls,321.4ø
Setting Sun,The Light at the End of the World,A Flock Of Seagulls,375.1ø
Say You Love Me,The Light at the End of the World,A Flock Of Seagulls,310.0ø
Rainfall,I Ran: The Best Of,Flock Of Seagulls,364.1ø
Ordinary Man,The Light at the End of the World,A Flock Of Seagulls,298.8ø
Magic,The Light at the End of the World,A Flock Of Seagulls,313.7ø
Life is Easy,The Light at the End of the World,A Flock Of Seagulls,301.8ø
Hearts on Fire,The Light at the End of the World,A Flock Of Seagulls,273.6ø
Burning Up,The Light at the End of the World,A Flock Of Seagulls,306.0ø
Telephone Skit 6,Mutilation Mix,Insane Clown Posse,62.4ø
Superballs,Mutilation Mix,Insane Clown Posse,192.4ø
Ya Se Que Dices,Muy Dentro De Mi Corazon,Alejandro Fernandez,198.5ø
Me Llevaras En Ti,Muy Dentro De Mi Corazon,Alejandro Fernandez,223.1ø
Como Puede Ser,Muy Dentro De Mi Corazon,Alejandro Fernandez,226.0ø
Barbados,Chet Is Back,Chet Baker;Bobby Jaspar;Rene Thomas;Amadeo Thommasi;Benoit Quersin;Daniel Humair,504.4ø
'k Beloof Jou,Petra,Petra,210.3ø
Por Un Beso,La Historia,Intocable,210.6ø
No Te Vayas,Super #1's,Intocable,205.5ø
Miedo,Historia Y Tradicion- Llevame Contigo,Intocable,175.8ø
Romantic Love,Underground Vibes,Dj Cam,280.5ø
Essence Part Two,Substances,Dj Cam,47.2ø
She Sends Me,No Doy,moe.,237.3ø
Saint August,No Doy,moe.,224.5ø
Moth,No Doy,moe.,340.7ø
Buster,No Doy,moe.,514.2ø
Bring You Down,No Doy,moe.,229.8ø
32 Things,No Doy,moe.,386.3ø
Raining Teardrops,Broke And Lonely,Johnny Winter,142.7ø
Dirty,Saints & Sinners,Johnny Winter,242.4ø
Word Up (live),Nasty,Cameo,403.9ø
Why Have I Lost You (live),Nasty,Cameo,370.7ø
Sparkle (live),Nasty,Cameo,263.4ø
Skin I'm In (live),Nasty,Cameo,309.4ø
She's Strange (live),Nasty,Cameo,157.7ø
Shake Your Pants (live),Nasty,Cameo,240.0ø
Nasty (live),Nasty,Cameo,223.9ø
Mega Mix (live),Nasty,Cameo,387.0ø
Keep It Hot (live),Nasty,Cameo,312.6ø
Intro (live),Nasty,Cameo,63.1ø
I Just Want To Be (live),Nasty,Cameo,98.4ø
Candy (live),Nasty,Cameo,285.0ø
Back & Forth (live),Nasty,Cameo,354.3ø
