Lizard Point,Shutter Island [Music From The Motion Picture],Brian Eno,273.6ø
The History Of The World,A Brief History Of The 20th Century,Gang Of Four,278.8ø
Of The Instant,Songs Of The Free,Gang Of Four,295.9ø
Muscle For Brains,Songs Of The Free,Gang Of Four,197.4ø
Life_ It's A Shame,Songs Of The Free,Gang Of Four,246.8ø
It Is Not Enough,Songs Of The Free,Gang Of Four,207.0ø
I Will Be A Good Boy,Songs Of The Free,Gang Of Four,233.4ø
I Love A Man In A Uniform,A Brief History Of The 20th Century,Gang Of Four,246.5ø
History's Bunk!,Solid Gold/Another Day_ Another Dollar,Gang Of Four,180.5ø
Call Me Up (If I'm Home),Songs Of The Free,Gang Of Four,216.7ø
The Decline and Fall of Me,Angst In My Pants,Sparks,177.2ø
Nicotina,Angst In My Pants,Sparks,206.8ø
Moustache,Angst In My Pants,Sparks,209.8ø
MIckey Mouse,Angst In My Pants,Sparks,196.9ø
Instant Weight Loss,Angst In My Pants,Sparks,207.9ø
I Predict,Angst In My Pants,Sparks,171.3ø
Eaten By the Monster of Love,Angst In My Pants,Sparks,178.8ø
Angst In My Pants,Angst In My Pants,Sparks,209.2ø
Sirius,The Definitive Collection,The Alan Parsons Project,117.4ø
Silence And I,The Essential Alan Parsons Project,The Alan Parsons Project,440.0ø
Mammagamma,The Essential Alan Parsons Project,The Alan Parsons Project,215.1ø
Gemini,Eye In The Sky,The Alan Parsons Project,130.1ø
Eye Pieces,Eye In The Sky,The Alan Parsons Project,471.3ø
Children Of The Moon,Eye In The Sky,The Alan Parsons Project,291.3ø
You Remind Me Of Gold,Fascination!,The Human League,215.6ø
Mirror Man,Fascination!,The Human League,230.2ø
Twilight Zone,80s Hits Live!,Golden Earring,392.4ø
Race With the Devil,Great Rockabilly - Just About As Good As It Gets!_ Vol. 4,Gene Vincent & The Blue Caps,122.8ø
Lotta Lovin',Be Bop A Lula,Gene Vincent,131.9ø
Dance To The Bop,Gene Vincent - The Collection,Gene Vincent,135.3ø
Peek A Boo,The What Of Whom,Daniel Johnston,290.1ø
Peace & Tranquility,The What Of Whom,Daniel Johnston,167.6ø
Never Before Never Again,The What Of Whom,Daniel Johnston,108.3ø
My Yoke Is Heavy,Don't Be Scared,Daniel Johnston,353.4ø
Lost Without A Dame,Don't Be Scared,Daniel Johnston,178.8ø
Harley Man,Don't Be Scared,Daniel Johnston,123.6ø
Cold Hard World,Don't Be Scared,Daniel Johnston,190.9ø
Ride On Love,DREAM ON,George Duke,324.8ø
Positive Energy,DREAM ON,George Duke,214.5ø
Let Your Love Shine,DREAM ON,George Duke,266.9ø
Sharing Love (Album Version),Tongue In Chic,Chic,161.1ø
I Feel Your Love Comin' On (Album Version),Tongue In Chic,Chic,412.6ø
Hey Fool (Album Version),Tongue In Chic,Chic,178.8ø
Chic (Everybody Say) (LP Version),Tongue In Chic,Chic,286.7ø
