Wham Bam Thank You Mam,Singles Collection,Small Faces,203.3ø
Morning Song To Sally,Vanguard Visionaries,Jerry Jeff Walker,263.5ø
Janet Says (LP Version),Five Years Gone,Jerry Jeff Walker,292.2ø
Help Me Now (LP Version),Five Years Gone,Jerry Jeff Walker,200.0ø
Dead Men Got No Dreams (LP Version),Five Years Gone,Jerry Jeff Walker,127.6ø
Born To Sing a Dancin' Song (LP Version),Five Years Gone,Jerry Jeff Walker,125.0ø
Blues In Your Mind (LP Version),Five Years Gone,Jerry Jeff Walker,221.7ø
A Letter Sung To Friends (LP Version),Five Years Gone,Jerry Jeff Walker,199.7ø
Time And Love,Time And Love: The Essential Masters,Laura Nyro,260.9ø
The Man Who Sends Me Home,New York Tendaberry,Laura Nyro,174.0ø
Save The Country,New York Tendaberry,Laura Nyro,272.2ø
New York Tendaberry,New York Tendaberry,Laura Nyro,333.2ø
Gibsom Street,Stoned Soul Picnic: The Best Of Laura Nyro,Laura Nyro,284.7ø
Captain For Dark Mornings,New York Tendaberry,Laura Nyro,277.8ø
St Thomas,Nice,The Nice,148.6ø
Rondo (69),Nice,The Nice,475.3ø
Diary Of An Empty Day,Five Bridges,The Nice,238.3ø
Why Don't You Come Home Blues,Masters Of Memphis Blues_ CD A,Furry Lewis,166.0ø
My World Is Empty Without You,Soul Legends,Smokey Robinson & The Miracles,202.8ø
California Soul,Soul Legends,Smokey Robinson & The Miracles,193.9ø
Laissons Entrer Le Soleil,Utile(S),Julien Clerc,224.5ø
Mustang Cor De Sangue,Meus Momentos: Wilson Simonal,Wilson Simonal,190.1ø
Adieu Monsieur Le Professeur,Le Meilleur De,Hugues Aufray,227.9ø
Waitin' For The Wind,Nomad Poets - Live In Germany 2004,Spooky Tooth,303.3ø
That Was Only Yesterday,Nomad Poets - Live In Germany 2004,Spooky Tooth,214.6ø
Lost In My Dream,That Was Only Yesterday - An Introduction To,Spooky Tooth,305.9ø
Hangman Hang My Shell On A Tree,That Was Only Yesterday - An Introduction To,Spooky Tooth,345.4ø
Feelin' Bad,Nomad Poets - Live In Germany 2004,Spooky Tooth,230.8ø
Evil Woman,That Was Only Yesterday - An Introduction To,Spooky Tooth,545.8ø
Pange Lingua,40 Grandes Exitos,Mocedades,231.2ø
El Arriero,40 Grandes Exitos,Mocedades,209.5ø
Poor Boy,Bataan!,Joe Bataan,229.7ø
