Hard to Say I'm Sorry,My One and Only Love,Fausto Papetti,242.7ø
Come Back Darling,Road Block,Sammy Dread,209.7ø
Bad Company,Road Block,Sammy Dread,199.2ø
Wild Heart Of The Young,The Best Of Karla Bonoff: All My Life,Karla Bonoff,293.3ø
Please Be The One,Wild Heart Of The Young,Karla Bonoff,247.9ø
Personally,Wild Heart Of The Young,Karla Bonoff,218.0ø
Just Walk Away,Wild Heart Of The Young,Karla Bonoff,254.2ø
It Just Takes One (To Say Goodbye),Wild Heart Of The Young,Karla Bonoff,281.1ø
I Don't Want To Miss You,Wild Heart Of The Young,Karla Bonoff,268.0ø
Gonna Be Mine,Wild Heart Of The Young,Karla Bonoff,242.2ø
Even If,Wild Heart Of The Young,Karla Bonoff,246.1ø
Dream,Wild Heart Of The Young,Karla Bonoff,233.1ø
Underworld Paths (Bonus Track),Voyage,Brainticket,441.8ø
Skyline (Analog 1970) (Bonus Track),Voyage,Brainticket,492.3ø
Nebula (Bonus Track),Voyage,Brainticket,286.7ø
Tom Drunk,Hi-Yo_ Silver_ Away!,Lone Ranger,225.5ø
The Clock,Hi-Yo_ Silver_ Away!,Lone Ranger,236.0ø
Solomon,Hi-Yo_ Silver_ Away!,Lone Ranger,251.1ø
Rub 'n' Scrub,Hi-Yo_ Silver_ Away!,Lone Ranger,232.0ø
Love Affair Problem,Hi-Yo_ Silver_ Away!,Lone Ranger,214.3ø
Lone Ranger & Tonto,Hi-Yo_ Silver_ Away!,Lone Ranger,223.2ø
Living As A Poor,Hi-Yo_ Silver_ Away!,Lone Ranger,230.2ø
Johnny Make You Bad So,Hi-Yo_ Silver_ Away!,Lone Ranger,184.4ø
Gunshot Mek Daughter Drop,Hi-Yo_ Silver_ Away!,Lone Ranger,231.5ø
Automatic,Studio One Classics,Lone Ranger,183.0ø
Why Must Babylon,Chip In,Wayne Jarrett,190.7ø
Skank And Come In,Chip In,Wayne Jarrett,243.8ø
Saturday Night Jamboree,Chip In,Wayne Jarrett,243.3ø
Ranny And Lou,Chip In,Wayne Jarrett,259.9ø
Money Problems,Chip In,Wayne Jarrett,273.4ø
Magic In The Air,Showcase Vol. 1,Wayne Jarrett,490.6ø
Love In Mi Heart,Chip In,Wayne Jarrett,261.7ø
Jah Jah I,Chip In,Wayne Jarrett,196.5ø
Got To Be Sure,Chip In,Wayne Jarrett,129.4ø
Every Tongue Shall Tell,Showcase Vol. 1,Wayne Jarrett,318.3ø
Chip In,Chip In,Wayne Jarrett,259.8ø
Bubble Up,Showcase Vol. 1,Wayne Jarrett,445.9ø
Umamm,Liliput (2xCD),Kleenex,142.1ø
Tschik-mo,Liliput (2xCD),Kleenex,214.5ø
Tong tong,Liliput (2xCD),Kleenex,176.7ø
Outburst,Liliput (2xCD),Kleenex,237.8ø
Might Is Right,Live Recordings_ TV-Clips & Roadmovie (Audio Version),Liliput,160.7ø
Like Or Lump It,Live Recordings_ TV-Clips & Roadmovie (Audio Version),Liliput,159.7ø
In a mess,Liliput (2xCD),Kleenex,227.4ø
Ichor,Liliput (2xCD),Kleenex,158.5ø
Do you mind my dream,Liliput (2xCD),Kleenex,235.2ø
Birdy,Liliput (2xCD),Kleenex,174.8ø
We Move Through The Plateau Phase,The Plateau Phase,Crispy Ambulance,350.8ø
Notausgang,Alles Gute (Best Of),Spliff,170.2ø
Heut' Nacht,Alles Gute (Best Of),Spliff,261.2ø
Duett Komplett,The Best Of,Spliff,134.3ø
Deja Vu,85555,Spliff,249.5ø
Damals,85555,Spliff,442.2ø
Computer Sind Doof,Alles Gute (Best Of),Spliff,178.6ø
Carbonara,Alles Gute (Best Of),Spliff,237.1ø
You And Me Against The World,Going West,The Members,264.9ø
The Model,Going West,The Members,314.5ø
The Family,Going West,The Members,254.0ø
Radio,Going West,The Members,227.2ø
Going West,Going West,The Members,272.3ø
Chairman Of The Board,Going West,The Members,248.5ø
Boys Like Us,Going West,The Members,266.5ø
Ring of Fire,The Best of Country Joe McDonald,Country Joe McDonald,150.0ø
Love Is A Fire,Classics,Country Joe McDonald,317.7ø
Holy Roller,Paradise With An Ocean View,Country Joe McDonald,264.7ø
Coyote,Classics,Country Joe McDonald,377.1ø
Breakfast For Two,Classics,Country Joe McDonald,284.7ø
What We Want Is Free,Complete Vol. 1,Articles Of Faith,147.4ø
My Father's Dreams,Complete Vol. 1,Articles Of Faith,134.0ø
False Security,Complete Vol. 1,Articles Of Faith,263.6ø
Buried Alive,Complete Vol. 1,Articles Of Faith,127.1ø
Send Me Energy,Gowan,Gowan,233.4ø
Keep Up The Fight,Gowan,Gowan,249.3ø
I'm Not Involved,Gowan,Gowan,272.1ø
I Was Only Looking,Gowan,Gowan,254.0ø
When You Smile,The Days Of Wine And Roses,The Dream Syndicate,255.8ø
Too Little_ Too Late,The Days Of Wine And Roses,The Dream Syndicate,205.8ø
Then She Remembers,The Days Of Wine And Roses,The Dream Syndicate,247.7ø
The Days Of Wine And Roses,The Days Of Wine And Roses,The Dream Syndicate,450.9ø
That's What You Always Say,The Days Of Wine And Roses,The Dream Syndicate,193.0ø
Tell Me When It's Over,The Days Of Wine And Roses,The Dream Syndicate,213.0ø
Definitely Clean,The Days Of Wine And Roses,The Dream Syndicate,210.2ø
Rotting Geraniums,The Early Years 1981-1982,Moev,290.9ø
Remembrance Day,The Early Years 1981-1982,Moev,323.2ø
Madhatter,The Early Years 1981-1982,Moev,290.5ø
In Your Head,The Early Years 1981-1982,Moev,275.1ø
Feline Frauline,The Early Years 1981-1982,Moev,166.0ø
Common House,The Early Years 1981-1982,Moev,207.3ø
Cocoon,The Early Years 1981-1982,Moev,285.4ø
90 Minutes,The Early Years 1981-1982,Moev,314.9ø
Happily Unemployed,Collections,Gruppo Sportivo,147.6ø
MIDDLE CLASS AND BLUE EYES,Essential,TC Matic,251.3ø
LE JAVA,Essential,TC Matic,184.1ø
LA-BAS,Essential,TC Matic,211.4ø
Military Man,Live Bootleg,Rez Band,312.6ø
Area 312,Live Bootleg,Rez Band,242.3ø
When Your Dream Of Perfect Beauty Comes True,The Love That Whirls,Bill Nelson,216.6ø
The Passion,The Love That Whirls,Bill Nelson,189.9ø
The October Man,The Love That Whirls,Bill Nelson,402.9ø
The Bride Of Christ In Autumn,The Love That Whirls,Bill Nelson,144.9ø
Portrait Of Jan With Flowers,The Love That Whirls,Bill Nelson,132.7ø
Haunting In My Head,The Love That Whirls,Bill Nelson,267.5ø
Flesh,The Love That Whirls,Bill Nelson,209.4ø
Flaming Desire,The Love That Whirls,Bill Nelson,293.6ø
Eros Arriving,The Love That Whirls,Bill Nelson,214.2ø
A Private View,The Love That Whirls,Bill Nelson,328.8ø
The Sniper,Waving Not Drowning,Rupert Hine,330.3ø
The Set Up,Waving Not Drowning,Rupert Hine,267.9ø
The Outsider,Waving Not Drowning,Rupert Hine,328.9ø
The Curious Kind,Waving Not Drowning,Rupert Hine,287.6ø
Surface Tension,Immunity,Rupert Hine,261.1ø
Samsara,Immunity,Rupert Hine,309.7ø
Psycho Surrender,Immunity,Rupert Hine,251.1ø
One Man's Poison,Waving Not Drowning,Rupert Hine,121.4ø
Make A Wish,Immunity,Rupert Hine,375.0ø
Kwok's Quease,Waving Not Drowning,Rupert Hine,126.6ø
Innocents In Paradise,Waving Not Drowning,Rupert Hine,205.2ø
Immunity,Immunity,Rupert Hine,233.0ø
I Think A Man Will Hang Soon,Immunity,Rupert Hine,265.1ø
I Hang On To My Vertigo,Immunity,Rupert Hine,301.8ø
House Arrest,Waving Not Drowning,Rupert Hine,258.0ø
Eleven Faces,Waving Not Drowning,Rupert Hine,226.9ø
Dark Windows,Waving Not Drowning,Rupert Hine,207.8ø
Another Stranger,Immunity,Rupert Hine,289.1ø
Psychopathia Sexualis,The Lenny Bruce Originals_ Volume 1,Lenny Bruce,146.1ø
Non Skeddo Flies Again,The Lenny Bruce Originals_ Volume 1,Lenny Bruce,479.5ø
How To Relax Your Colored Friends At Parties,The Lenny Bruce Originals_ Volume 2,Lenny Bruce,199.4ø
Father Flotski's Triumph,The Lenny Bruce Originals_ Volume 1,Lenny Bruce,472.9ø
DJinni In The Candy Store,The Lenny Bruce Originals_ Volume 1,Lenny Bruce,113.3ø
Commercials,The Lenny Bruce Originals_ Volume 2,Lenny Bruce,60.7ø
Airplane Glue,The Lenny Bruce Originals_ Volume 2,Lenny Bruce,103.9ø
Who Do You Love,Changes,Keni Burke,327.9ø
Shakin',Changes,Keni Burke,362.7ø
Risin' To The Top,Changes,Keni Burke,316.1ø
One Minute More,Changes,Keni Burke,288.9ø
Hang Tight,Changes,Keni Burke,253.4ø
Can't Get Enough (Do It All Night),Changes,Keni Burke,290.5ø
All Night,Changes,Keni Burke,277.1ø
War In The Asteroid Belt,Destroys The Invaders,Prince Jammy,277.7ø
The Great Red Spot,Destroys The Invaders,Prince Jammy,247.2ø
Saturn Bombardment,Destroys The Invaders,Prince Jammy,249.0ø
Martian Encounter,Destroys The Invaders,Prince Jammy,272.5ø
Life On Uranus,Destroys The Invaders,Prince Jammy,273.3ø
Final Destruction,Destroys The Invaders,Prince Jammy,260.1ø
Conspiracy On Neptune,Destroys The Invaders,Prince Jammy,259.5ø
Attack On Ganymede,Destroys The Invaders,Prince Jammy,272.8ø
You Move Me (LP Version),Face To Face,Gino Soccio,359.6ø
Who Dunnit? (LP Version),Face To Face,Gino Soccio,354.4ø
Remember (LP Version),Face To Face,Gino Soccio,395.2ø
Look At Yourself (LP Version),Face To Face,Gino Soccio,335.8ø
It's Alright (LP Version),Face To Face,Gino Soccio,458.0ø
Dream On (LP Version),Face To Face,Gino Soccio,364.7ø
Vegas El Bandito,Seven Songs,23 Skidoo,165.0ø
Tearing Up the Plans Pt 2,Seven Songs,23 Skidoo,284.2ø
Tearing Up the Plans Pt 1,Seven Songs,23 Skidoo,450.8ø
Quiet Pillage,Seven Songs,23 Skidoo,322.6ø
New Testament,Seven Songs,23 Skidoo,280.2ø
Lock Groove,Seven Songs,23 Skidoo,31.8ø
"Last Words (Edit) (7"" Edit)",Seven Songs,23 Skidoo,218.9ø
Kundalini,Seven Songs,23 Skidoo,308.7ø
