You Don't Know What It's Like,Brand New History,Econoline Crush,245.7ø
La Tuffatrice,L'Impazienza,Yo Yo Mundi,244.0ø
L'Uomo Che Aveva Catturato Il Senso Del Tempo,L'Impazienza,Yo Yo Mundi,184.3ø
L'Impazienza,L'Impazienza,Yo Yo Mundi,229.5ø
Il Sud E Il Nord,L'Impazienza,Yo Yo Mundi,315.3ø
Quello Che Vale,Lampo,Gianmaria Testa,185.5ø
Polvere di gesso,Solo dal vivo,Gianmaria Testa,273.8ø
Petite Reine,Lampo,Gianmaria Testa,218.0ø
Non Ti Aspetto Piu,Lampo,Gianmaria Testa,151.9ø
Lucia Di Notte,Lampo,Gianmaria Testa,297.3ø
Lampo,Lampo,Gianmaria Testa,193.8ø
La tua voce,Lampo,Gianmaria Testa,177.3ø
L'Albero Del Pane,Lampo,Gianmaria Testa,270.5ø
Gli Amanti Di Roma,La valse d'un jour (Il valzer di un giorno),Gianmaria Testa,167.6ø
Comete,Lampo,Gianmaria Testa,306.5ø
Canzone Del Tempo Che Passa,Lampo,Gianmaria Testa,85.1ø
Biancaluna,Solo dal vivo,Gianmaria Testa,230.4ø
Zostrah,Terra Infernalis,Ah Cama-Sotz,260.8ø
Vio-lence And Vivi-section,Terra Infernalis,Ah Cama-Sotz,371.9ø
Rite And Belief,Terra Infernalis,Ah Cama-Sotz,398.0ø
Narbukh,Terra Infernalis,Ah Cama-Sotz,333.4ø
Ill-lektrik,Terra Infernalis,Ah Cama-Sotz,279.8ø
Walking On Water,Island Sanctuary,Wayne Gratz,271.6ø
Seagulls Flocking,Island Sanctuary,Wayne Gratz,293.3ø
Florida,Island Sanctuary,Wayne Gratz,282.5ø
Departure,Island Sanctuary,Wayne Gratz,312.6ø
By The Sea,A Gift Of The Sea,Wayne Gratz,343.1ø
Blue Heron,Island Sanctuary,Wayne Gratz,235.8ø
you carry this with you,A Week Away (Special Edition),Spearmint,249.6ø
you are still my brother,A Week Away (Special Edition),Spearmint,233.7ø
we're going out,A Week Away (Special Edition),Spearmint,278.8ø
start again,A Week Away (Special Edition),Spearmint,227.6ø
it won't be long now,A Week Away (Special Edition),Spearmint,158.0ø
best ballroom,A Week Away (Special Edition),Spearmint,134.9ø
a week away,A Week Away (Special Edition),Spearmint,180.8ø
Straight Edge In Your Face,Boston Drops The Gloves: A Tribute To Slapsh,Ten Yard Fight,143.4ø
Punakka humppa,Werbung Baby,Elakelaiset,157.3ø
Lierohumppa,Werbung Baby,Elakelaiset,151.4ø
Humppauhraus,Werbung Baby,Elakelaiset,184.5ø
Humppatarzan,Werbung Baby,Elakelaiset,161.9ø
Humppakummitus,Werbung Baby,Elakelaiset,155.6ø
Humppabarbi,Werbung Baby,Elakelaiset,130.5ø
NOCHES ETERNAS,30 Pegaditas De Oro,Pastor Lopez,73.1ø
EL GAVILAN POLLERO,30 Pegaditas De Oro,Pastor Lopez,54.1ø
CUALQUIERA VA,30 Pegaditas De Oro,Pastor Lopez,159.9ø
CORAZON APASIONADO,30 Pegaditas De Oro,Pastor Lopez,55.9ø
CARMENZA,30 Pegaditas De Oro,Pastor Lopez,83.0ø
A MEDELLIN,30 Pegaditas De Oro,Pastor Lopez,79.6ø
I Wanna Be Your Toy,Are You Ready,2 Eivissa,227.5ø
Eins Zwei Polizei,Eins Zwei Polizei,Mo-do,307.6ø
I Feel,Swerve,Fresh Moods,467.4ø
S.L.Y.,Atomic Rooster,Atomic Rooster,281.9ø
Play the Game,Atomic Rooster,Atomic Rooster,284.2ø
Fools Gold,1_000 Dreams,Mouthwash,204.1ø
Maria Domingas,Bolivia Under Fire,Gato Barbieri,573.0ø
Na Srazu,Soubor kretenu,Tri Sestry,135.2ø
Mexiko,Soubor kretenu,Tri Sestry,232.9ø
Luvstruck,Ibiza,Southside Spinners,207.8ø
Everybody's Free (To Wear Sunscreen),Everybody's Free (To Wear Sunscreen),Quindon Tarver,309.2ø
Let The Healing Begin,Album 95,Tony Joe White,283.3ø
You Said What??,#447,Marshall Crenshaw,197.8ø
West of Bald Knob,#447,Marshall Crenshaw,204.9ø
Tell Me About It,#447,Marshall Crenshaw,220.8ø
Television Light,#447,Marshall Crenshaw,284.4ø
Right There In Front of Me,#447,Marshall Crenshaw,244.1ø
Ready Right Now,#447,Marshall Crenshaw,288.2ø
Opening,#447,Marshall Crenshaw,47.9ø
Glad Goodbye,#447,Marshall Crenshaw,243.6ø
Eydie's Tune,#447,Marshall Crenshaw,196.8ø
Dime a Dozen Guy,#447,Marshall Crenshaw,245.5ø
Superman,20th Century Masters: The Millennium Collection: Best of Donna Fargo,Donna Fargo,147.0ø
Millenium Bug,Timeless Tunes,Accuface,475.6ø
Lucky,Treatment 5,Osker,126.4ø
Splinters,Eyelash,Big Electric Cat,274.3ø
Trapped,Life of Dreams,Crumbsuckers,139.7ø
Super Tuesday,Life of Dreams,Crumbsuckers,61.5ø
Shot Down,Life of Dreams,Crumbsuckers,54.2ø
Shits Creek,Life of Dreams,Crumbsuckers,132.3ø
Return To The Womb,Life of Dreams,Crumbsuckers,95.5ø
Prelude Intro,Life of Dreams,Crumbsuckers,161.3ø
Moments of Silence / Mr. Hyde,Life of Dreams,Crumbsuckers,234.4ø
Longest War,Life of Dreams,Crumbsuckers,115.3ø
Live To Work,Life of Dreams,Crumbsuckers,87.7ø
Life of Dreams,Life of Dreams,Crumbsuckers,141.5ø
Just Sit There,Life of Dreams,Crumbsuckers,65.0ø
Hubrun,Life of Dreams,Crumbsuckers,142.9ø
Face of Death,Life of Dreams,Crumbsuckers,89.0ø
Bullshit Society,Life of Dreams,Crumbsuckers,124.8ø
Brainwashed,Life of Dreams,Crumbsuckers,192.6ø
Working Girl,Amor_ Humor,Nacho Cano,183.7ø
Relato De Un Secuestro,Vivimos Siempre Juntos,Nacho Cano,246.6ø
Lo Mejor De Ser Artista,Amor_ Humor,Nacho Cano,217.1ø
La Acera De Calcuta,Amor_ Humor,Nacho Cano,263.0ø
El Presente Junto A Ti,Vivimos Siempre Juntos,Nacho Cano,220.2ø
Kenia,African Rhythms And Blues,Mombasa,404.6ø
Perfect Sky,This is Illumination,Illumination featuring Erot,507.9ø
4:00 AM,This is Illumination,Illumination,395.0ø
Los Canos De Meca,Flamenco Chillin',Madrid De Los Austrias,318.4ø
Poulina,Tea In Marrakech,Orchestre National De Barbes,244.0ø
Nabina,Sortie D'Usine,Orchestre National De Barbes,165.5ø
You're Carrying a Coffin,Pictures From Life's Other Side,Johnny Dowd,129.5ø
Vietnam,Pictures From Life's Other Side,Johnny Dowd,197.2ø
No Woman's Flesh But Hers,Pictures From Life's Other Side,Johnny Dowd,257.7ø
Just Because,Pictures From Life's Other Side,Johnny Dowd,172.3ø
Greasy Hands,Pictures From Life's Other Side,Johnny Dowd,74.9ø
Ballad of Lonnie Wolf,Pictures From Life's Other Side,Johnny Dowd,216.5ø
Bad Memories,Pictures From Life's Other Side,Johnny Dowd,178.3ø
A Picture From Life's Other Side,Pictures From Life's Other Side,Johnny Dowd,199.4ø
Where I Belong,IZZ Live at NEARfest,IZZ,414.7ø
Take It Higher,Sliver of a Sun,IZZ,194.0ø
She Walked Out The Door,Sliver of a Sun,IZZ,179.6ø
Razor,Sliver of a Sun,IZZ,420.2ø
Lornadoone,Sliver of a Sun,IZZ,254.0ø
Just A Girl,Sliver of a Sun,IZZ,256.4ø
Endless Calling,Sliver of a Sun,IZZ,307.1ø
Double Bass,Sliver of a Sun,IZZ,143.1ø
Warp Factor,Trax Classix,Armando,329.7ø
Trance Dance,Trax Classix,Armando,229.3ø
Here We Go,Trax Classix,Armando,310.8ø
The Amendment (Album Version),New Parade,The Sheila Divine,242.3ø
Sweep The Leg (Album Version),New Parade,The Sheila Divine,124.0ø
Spacemilk (Album Version),New Parade,The Sheila Divine,229.3ø
Opportune Moment (Album Version),New Parade,The Sheila Divine,223.0ø
New Parade (Album Version),New Parade,The Sheila Divine,291.7ø
Modern Log (Album Version),New Parade,The Sheila Divine,292.8ø
Like A Crminal (Album Version),New Parade,The Sheila Divine,228.8ø
I'm A Believer (Album Version),New Parade,The Sheila Divine,163.3ø
Hum (Album Version),New Parade,The Sheila Divine,158.9ø
Awful Age (Album Version),New Parade,The Sheila Divine,211.7ø
Automatic Buffalo (Album Version),New Parade,The Sheila Divine,308.7ø
Entering Zion,30 - en samling,Kalle Baah,208.1ø
We've Got The Mood - Matt's Mood '90,The Best Of Matt Bianco,Matt Bianco,348.0ø
Fire In The Blood - 7,The Best Of Matt Bianco,Matt Bianco,207.1ø
Fire In The Blood - 12,The Best Of Matt Bianco,Matt Bianco,291.4ø
It Never Entered My Mind,Windows,Marian McPartland,239.6ø
Uva,Oh Jim,Gay Dad,267.0ø
Us Roach,To Earth With Love,Gay Dad,271.5ø
To Earth With Love (Extended Version),Leisure Noise,Gay Dad,304.8ø
Soft Return,To Earth With Love,Gay Dad,298.2ø
Pathfinder,Leisure Noise,Gay Dad,236.7ø
Oh Jim (Single Version),Oh Jim,Gay Dad,169.6ø
Oh Jim,Leisure Noise,Gay Dad,166.1ø
My Son Mystic,Leisure Noise,Gay Dad,205.9ø
Joy !,Leisure Noise,Gay Dad,300.0ø
Jesus Christ,Leisure Noise,Gay Dad,259.8ø
Dimstar,Leisure Noise,Gay Dad,314.2ø
Different Kind Of Blue,Leisure Noise,Gay Dad,289.4ø
Dateline,Leisure Noise,Gay Dad,283.3ø
Black Ghost,Leisure Noise,Gay Dad,455.4ø
Bingo Nation,Oh Jim,Gay Dad,209.8ø
51 Pegasus,To Earth With Love,Gay Dad,258.3ø
Love And Affection,Hits+ Collection 86 - 09 Right Back Where We Started From,Sinitta,249.9ø
G.T.O.,Hits+ Collection 86 - 09 Right Back Where We Started From,Sinitta,211.8ø
Why Do You Do Things Like That,On The Edge,Patrick Rondat,552.3ø
Our Paths Crossed,On The Edge,Patrick Rondat,338.8ø
On The Edge,On The Edge,Patrick Rondat,355.8ø
Into The Wild,On The Edge,Patrick Rondat,270.3ø
If Ever I Come Back,On The Edge,Patrick Rondat,372.5ø
Duality Part III,On The Edge,Patrick Rondat,80.8ø
Duality Part II,On The Edge,Patrick Rondat,91.4ø
Duality Part I,On The Edge,Patrick Rondat,256.5ø
Duality Intro,On The Edge,Patrick Rondat,37.7ø
Destinies,On The Edge,Patrick Rondat,265.8ø
Cloudy Mountain,On The Edge,Patrick Rondat,291.1ø
Burn Out (Acoustic Version),On The Edge,Patrick Rondat,340.4ø
Tapis Rouge,Tapis Rouge +,Svinkels,343.0ø
Mappe Monde,Tapis Rouge +,Svinkels,319.9ø
Le Twist,Tapis Rouge +,Svinkels,272.1ø
Le Punk,Bois Mes Paroles,Svinkels,280.3ø
Krevard,Tapis Rouge +,Svinkels,346.0ø
H,Tapis Rouge +,Svinkels,546.2ø
Front Contre Front,Tapis Rouge +,Svinkels,278.9ø
Cuitas,Tapis Rouge +,Svinkels,60.4ø
Calmos,Tapis Rouge +,Svinkels,61.6ø
Boule Puante,Tapis Rouge +,Svinkels,276.0ø
Bois Mes Paroles,Tapis Rouge +,Svinkels,267.1ø
On Mission,Rawkus Presents Soundbombing II,Reflection Eternal,256.9ø
Bis ans Ende der Welt,Zwischen Null und Zero,Rio Reiser,225.0ø
(Ich bin irgendwo) Zwischen Null und Zero,Zwischen Null und Zero,Rio Reiser,208.9ø
Bad Houses,myohioactionpalboygoldgod300,Dianogah,190.0ø
Thinkin' Of Me,Southern Fried,Mickey Gilley,100.9ø
Where We Wanna (feat. Goodie Mobb),Bossalinie,C-Murder|Goodie Mobb,232.1ø
Street Keep Callin' (feat. Dez),Bossalinie,C-Murder|Dez,191.5ø
Still Makin' Moves (feat. Master P),Bossalinie,C-Murder|Master P,159.9ø
Still Makin' Moves,Bossalinie,C-Murder|Master P,160.0ø
Skit,Bossalinie,C-Murder,40.1ø
Ride on Dem Bustas,Bossalinie,C-Murder,275.3ø
Piano Skit,Bossalinie,C-Murder,153.9ø
Phone Call,Bossalinie,C-Murder,44.4ø
Outro (Instrumental),Bossalinie,C-Murder,97.2ø
On My Enemies,Best Of C-Murder,C-Murder,189.5ø
Nasty Chick,Bossalinie,C-Murder,189.1ø
Money Talks (feat. Master P_ Silk and Fiend),Bossalinie,C-Murder|Master P|Silkk The Shocker And Fiend,199.8ø
Lord Help Us,Bossalinie,C-Murder,281.3ø
Livin' Legend (feat. Master P),Bossalinie,C-Murder|Master P,170.4ø
Lil Nigga (feat. Master P),Bossalinie,C-Murder|Master P,195.7ø
I Remember,Bossalinie,C-Murder,226.2ø
Ghetto Millionaire (feat. Snoop Dogg_ Kurupt and Nate Dogg),Bossalinie,C-Murder|Snoop Dogg|Kurupt Featuring Nate Dogg,254.4ø
Ghetto Boy (Explicit),Bossalinie,C-Murder,268.1ø
Gangsta Walk (feat. Snoop Dogg),Bossalinie,C-Murder | Snoop Dogg,194.4ø
Don't Wanna Be Alone (feat. Jazz),Bossalinie,C-Murder|Jazz,157.9ø
Closin' Down Shop,Bossalinie,C-Murder | Soulja Slim | Magic,173.5ø
Can't Hold Me Back,Bossalinie,C-Murder,119.2ø
Bitch Niggas,Bossalinie,C-Murder,52.4ø
M'Innamoro Davvero,La Storia 1978 - 2003,Fabio Concato,274.5ø
The Black Vagabond And The Swan Of Two Heads,The Symmetry Of I_ The Circle Of O,...And Oceans,292.9ø
Stained,The Symmetry Of I_ The Circle Of O,...And Oceans,235.0ø
Spasms,The Symmetry Of I_ The Circle Of O,...And Oceans,185.9ø
Playground,The Symmetry Of I_ The Circle Of O,...And Oceans,329.9ø
Molecules,The Symmetry Of I_ The Circle Of O,...And Oceans,101.1ø
Mental Traffic,The Symmetry Of I_ The Circle Of O,...And Oceans,255.7ø
Injected With Silence,The Symmetry Of I_ The Circle Of O,...And Oceans,381.1ø
I Wish I Was Pregnant,The Symmetry Of I_ The Circle Of O,...And Oceans,398.1ø
Chess,The Symmetry Of I_ The Circle Of O,...And Oceans,95.7ø
Cacophonous Ballet,The Symmetry Of I_ The Circle Of O,...And Oceans,311.5ø
Baby Blue Doll - Merry Go Mind,The Symmetry Of I_ The Circle Of O,...And Oceans,389.8ø
Aquarium Of Children - Ajatusten Merenpinta,The Symmetry Of I - The Circle Of O,...And Oceans,279.2ø
Step Off,Artantica / Paris Live 1999,Urban Dance Squad,348.1ø
Music Entertainment,Artantica / Paris Live 1999,Urban Dance Squad,318.2ø
Limousine,Artantica / Paris Live 1999,Urban Dance Squad,263.5ø
Happy Go Fucked Up,Artantica / Paris Live 1999,Urban Dance Squad,335.7ø
Fearless,Artantica / Paris Live 1999,Urban Dance Squad,251.1ø
Craftmatic Adjustable Girl,Artantica / Paris Live 1999,Urban Dance Squad,248.5ø
Artantica,Artantica / Paris Live 1999,Urban Dance Squad,254.1ø
Sexy magazin,The Ultimate Collection,Psihomodo Pop,218.1ø
Ultra Obscene,Ultra Obscene,Breakbeat Era,303.5ø
Time 4 Breaks,Ultra Obscene,Breakbeat Era,260.3ø
Terrible Funk,Ultra Obscene,Breakbeat Era,339.0ø
Sex Change,Ultra Obscene,Breakbeat Era,222.1ø
Past Life,Ultra Obscene,Breakbeat Era,323.8ø
Our Disease,Ultra Obscene,Breakbeat Era,352.2ø
Max,Ultra Obscene,Breakbeat Era,48.5ø
Life Is My Friend,Ultra Obscene,Breakbeat Era,479.2ø
Late Morning,Ultra Obscene,Breakbeat Era,371.3ø
Control Freak,Ultra Obscene,Breakbeat Era,344.4ø
Breakbeat Era,Ultra Obscene,Breakbeat Era,323.0ø
Anti-Everything,Ultra Obscene,Breakbeat Era,326.3ø
Animal Machine,Ultra Obscene,Breakbeat Era,183.5ø
Living 4 U,Back From The Future,Den Harrow,263.4ø
Let Me Go,Back From The Future,Den Harrow,232.2ø
Give You My Love,Back From The Future,Den Harrow,210.9ø
Den Harrow Megamix,Back From The Future,Den Harrow,270.0ø
Darlin',Back From The Future,Den Harrow,260.1ø
Waiting For God,Hepburn,Hepburn,197.2ø
Out Of Sight,Hepburn,Hepburn,237.2ø
Next Life,Hepburn,Hepburn,207.8ø
My Old Love,Hepburn,Hepburn,203.1ø
I Quit,The Pop years 1998 - 1999,Hepburn,234.3ø
I Got The News,Hepburn,Hepburn,218.3ø
I Can't Cry,Hepburn,Hepburn,212.6ø
Here Comes Napoleon,Hepburn,Hepburn,221.1ø
Deep Deep Down,Hepburn,Hepburn,207.4ø
Bugs,Hepburn,Hepburn,185.9ø
The Thrill is Gone,You Belong To Me,Patti Page,167.4ø
My Sin,You Belong To Me,Patti Page,100.8ø
Croce Di Oro,75 Jukebox Hits (MP3 Compilation),Patti Page,182.3ø
Vingar,Gott och blandat,Caramell,212.9ø
Telefon,Gott och blandat,Caramell,213.3ø
Som en saga,Gott och blandat,Caramell,209.1ø
Skattjakt,Gott och blandat,Caramell,203.0ø
Simsalabim,Gott och blandat,Caramell,201.5ø
Om du var min -pippi radio mix,Gott och blandat,Caramell,212.3ø
Mr.Cowboy,Gott och blandat,Caramell,181.5ø
Luftballong,Gott och blandat,Caramell,201.2ø
Kom och ta mig,Gott och blandat,Caramell,195.7ø
Expolodera (som dynamit),Gott och blandat,Caramell,218.4ø
Efter plugget,Gott och blandat,Caramell,190.0ø
You Can't Stop It,Crime In the City,Kojak,325.8ø
Time to Teach,Crime In the City,Kojak,92.7ø
The Truth,Crime In the City,Kojak,268.2ø
Stupid Jack,Crime In the City,Kojak,281.0ø
Paradise,Crime In the City,Kojak,284.5ø
Nasty Crew,Crime In the City,Kojak,31.9ø
My Futomaki,Crime In the City,Kojak,74.9ø
Keep Me On Fire,Crime In the City,Kojak,276.0ø
Funkt Head,Crime In the City,Kojak,275.6ø
Funkintroduction,Crime In the City,Kojak,194.2ø
Everybody Wants a Toy,Compilation Trax_ Vol. 1,Kojak,250.7ø
Deadly Affair,Crime In the City,Kojak,247.7ø
Cold Blood (LP edit),Crime In the City,Kojak,120.2ø
Bad Movies,Crime In the City,Kojak,290.6ø
Genesis,Quah,Jorma Kaukonen,258.2ø
Non Ci Perderemo Mai,I Consigli Del Cuore-Raccolta 1994-2006,Massimo Di Cataldo,261.3ø
MAM OBE RUCE LEVY,MegaHu,Kabat,115.4ø
Rekkamies,Tilinteon Hetki,Timo Rautiainen & Trio Niskalaukaus,232.5ø
Alavilla Mailla,Tilinteon Hetki,Timo Rautiainen & Trio Niskalaukaus,387.4ø
World Stands Still (Album Version),So Far From Home,Reach The Sky,161.3ø
World Stands Still,Open Roads and Broken Dreams,Reach The Sky,173.2ø
Tonight (Album Version),So Far From Home,Reach The Sky,157.7ø
The Chase Is On (Album Version),So Far From Home,Reach The Sky,126.4ø
Sometimes The Things You Say (Album Version),So Far From Home,Reach The Sky,126.2ø
So Far From Home (Album Version),So Far From Home,Reach The Sky,118.9ø
She Really Loved You (Album Version),So Far From Home,Reach The Sky,118.5ø
Seems Like Forever (Album Version),So Far From Home,Reach The Sky,148.4ø
My Last Known Address,Open Roads and Broken Dreams,Reach The Sky,162.0ø
Maybe Next Year (Album Version),So Far From Home,Reach The Sky,130.7ø
Last Glories (Album Version),So Far From Home,Reach The Sky,169.2ø
Everybody's Hero (Album Version),So Far From Home,Reach The Sky,126.1ø
At Your Doorstep (Album Version),So Far From Home,Reach The Sky,133.1ø
Plaid,La Chanson De Roland,Nova Nova,379.3ø
Omnibus,La Chanson De Roland,Nova Nova,74.6ø
Middle,La Chanson De Roland,Nova Nova,339.2ø
La Chanson De Roland,La Chanson De Roland,Nova Nova,329.3ø
Close Of Day,La Chanson De Roland,Nova Nova,212.2ø
Bewildered (Mas 1982 Dub),La Chanson De Roland,Nova Nova,377.0ø
The Gleaming Red Serpent,The Early Years,The Meads of Asphodel,350.0ø
Pale Dread Hunger,The Early Years,The Meads of Asphodel,338.5ø
Just Another Time to Kill,The Early Years,The Meads of Asphodel,298.6ø
Portrait of a Cigarette,Singles #2,Discount,65.4ø
History is History,Singles #2,Discount,124.5ø
Total Warfare (Sea Serpent Remix),Blood Must Be Shed - EP,Zyklon-B,356.4ø
Trip the Stairs,DA Live,Daryll-Ann,239.6ø
Surely Justice,Surely Justice - Single,Daryll-Ann,211.5ø
Everybody's Cool,DA Live,Daryll-Ann,167.2ø
Desmond Don't Go,DA Live,Daryll-Ann,158.6ø
All By Myself,DA Live,Daryll-Ann,165.4ø
Radioland,Radioland,Nicolette Larson,188.1ø
Ooo-Eee,Radioland,Nicolette Larson,208.9ø
Hearing Things,Emo Diaries - Chapter Three - The Moment Of Truth,Cross My Heart,198.9ø
Just My Luck,Give It Up (Turn It Loose): The Very Best Of The Columbia Years,Tyrone Davis,290.6ø
The writing of Tipperary /  It's a long way to Tipperary,A Quiet Eye,June Tabor,578.3ø
Pharaoh,A Quiet Eye,June Tabor,363.0ø
Out of winter / waltzing's for dreamers,A Quiet Eye,June Tabor,357.2ø
I will put my ship in order,A Quiet Eye,June Tabor,373.1ø
a place called England,A Quiet Eye,June Tabor,282.3ø
You Got It,Relocation,Plankeye,160.8ø
You Are For Me,Relocation,Plankeye,276.8ø
Indivisible,Wings To Fly,Plankeye,293.4ø
I Can't Complain,Relocation,Plankeye,276.4ø
Call Me Liar,Relocation,Plankeye,243.4ø
Break Of Dawn,Relocation,Plankeye,245.6ø
Break My Fall,Wings To Fly,Plankeye,271.7ø
King Of Norway,Tung_ Tung Politisk Rock,Black Debbath,329.5ø
Eventuelt,Tung_ Tung Politisk Rock,Black Debbath,78.2ø
Dagsorden,Tung_ Tung Politisk Rock,Black Debbath,222.9ø
Face In The Mirror,In The Groove,Sheavy,339.8ø
Prelude # 1,Life On Mars + What The World Is Coming To,Dexter Wansel,81.8ø
Dance With Me Tonight,Life On Mars + What The World Is Coming To,Dexter Wansel,339.6ø
Musa del alba,Mal de amores,El Barrio,228.2ø
Mi morena,Mal de amores,El Barrio,219.7ø
Mal de amores,Mal de amores,El Barrio,196.2ø
"20 ""palbarrio",Mal de amores,El Barrio,264.3ø
Sweet Like Chocolate,The Pop years 1998 - 1999,Shanks & Bigfoot,209.0ø
Vertango,Le fou et la balance,Weepers Circus,114.2ø
Oyez ma vie de tonnelier,Le fou et la balance,Weepers Circus,279.4ø
Optcha,Je suis noble - EP,Weepers Circus,256.4ø
La belle injure,Je suis noble - EP,Weepers Circus,281.1ø
Il popolo canta da solo,Le fou et la balance,Weepers Circus,304.6ø
Danse le feu,Le fou et la balance,Weepers Circus,221.1ø
Autumn Leaves,Blues Everywhere,Shirley Scott,376.7ø
"Walk Like A Panther (7"" Version)",Pickled Eggs And Sherbet,The All Seeing I,267.8ø
Sweet Music,Pickled Eggs And Sherbet,The All Seeing I,439.6ø
Stars On Sunday,Pickled Eggs And Sherbet,The All Seeing I,231.2ø
Plastic Diamond,Pickled Eggs And Sherbet,The All Seeing I,323.6ø
No Return,Pickled Eggs And Sherbet,The All Seeing I,248.3ø
I Walk,Pickled Eggs And Sherbet,The All Seeing I,315.0ø
Drive Safely Darlin',Pickled Eggs And Sherbet,The All Seeing I,172.9ø
Big Pecker,Pickled Eggs And Sherbet,The All Seeing I,273.8ø
Sweepin' The Clouds Away,LOUISE,Maurice Chevalier,164.1ø
Paris Je T'aime D'Amour,Le plus grandes chansons,Maurice Chevalier,136.5ø
Nouveau Bonheur,The Essential_ Vol. 2,Maurice Chevalier,148.6ø
Gonna Get A Girl,LOUISE,Maurice Chevalier,135.3ø
C'est Ma Bonne,Maurice Chevalier Vol. 1: 1919-1930,Maurice Chevalier,163.1ø
Avec Le Sourire,Heritage - 60 Ans De Chansons_ Vol.1 - 1965,Maurice Chevalier,164.5ø
We Must Believe (Album version),Value Driven,Better Than A Thousand,120.1ø
Twelve (Album version),Value Driven,Better Than A Thousand,93.2ø
Twelve,Value Driven,Better Than A Thousand,93.3ø
Transformation (Album version),Value Driven,Better Than A Thousand,84.0ø
Self Worth,Value Driven,Better Than A Thousand,107.4ø
Power Within (Album version),Value Driven,Better Than A Thousand,130.3ø
Poison In Your Brain,Value Driven,Better Than A Thousand,68.1ø
Once Again (Album version),Value Driven,Better Than A Thousand,150.3ø
Like the Wind (Album version),Value Driven,Better Than A Thousand,130.4ø
I'll Not Resist,Value Driven,Better Than A Thousand,149.2ø
Demand Independence,Value Driven,Better Than A Thousand,143.8ø
Crisis Of Man,Value Driven,Better Than A Thousand,106.8ø
Born To Give,Value Driven,Better Than A Thousand,101.7ø
Unknown Happiness,From A Summer To Another Summer,Maher Shahal Hash Baz,135.2ø
Countdown,El Nino,Def Squad | Jamal,237.6ø
Sonnet,A Collection: Past_ Present and Future,Prayer For Cleansing,275.2ø
What's Wrong With Me (That Shits Wild Mix),Twenty First Century Skin - The Remixes,Praga Khan,244.7ø
What's Wrong With Me,Twenty First Century Skin,Praga Khan,255.7ø
Visions And Imagination,Twenty First Century Skin,Praga Khan,256.6ø
Supersonic Lovetoy (Sonic Dub),Twenty First Century Skin - The Remixes,Praga Khan,285.5ø
One Foot In The Grave (Artificial Life Mix),Twenty First Century Skin - The Remixes,Praga Khan,334.8ø
One Foot In The Grave,Twenty First Century Skin,Praga Khan,251.2ø
Lonely (21st Century Album mix),Twenty First Century Skin,Praga Khan,332.4ø
Lonely,Khantastic,Praga Khan,230.7ø
Lady Alcohol,Twenty First Century Skin,Praga Khan,265.8ø
Far Beyond The Sun,Twenty First Century Skin,Praga Khan,328.5ø
Bored Out Of My Mind (Original Mix),Twenty First Century Skin,Praga Khan,287.5ø
Bored Out Of My Mind (Laurent Barbier Mix),Twenty First Century Skin - The Remixes,Praga Khan,221.1ø
Begin To Move (Dark Zone Mix),Twenty First Century Skin - The Remixes,Praga Khan,301.6ø
Adult Entertainment (Here Comes The Whip Mix),Twenty First Century Skin - The Remixes,Praga Khan,201.1ø
Treason,Warm,Velvet Chain,255.1ø
Strong,Warm,Velvet Chain,202.4ø
Er geht mir rundum auf den Geist,17 Millimeter,Hildegard Knef,322.5ø
Salon A Sunday,Escalator Records_ Tokyo,Cubismo Grafico,234.7ø
Mississippi One,Escalator Records_ Tokyo,Cubismo Grafico,290.8ø
I'm Still Sleeping,Escalator Records_ Tokyo,Cubismo Grafico,117.7ø
I Was Made To Love Her,For Once In My Life,Trijntje Oosterhuis,244.8ø
For Once In My Life,For Once In My Life,Trijntje Oosterhuis,197.7ø
Don't You Worry 'Bout A Thing,The Essential Total Touch & Trijntje Oosterhuis,Trijntje Oosterhuis,257.4ø
Tennis Shoes,You Come and Go Like a Pop Song,Bicycle Thief,192.9ø
Off Street Parking,You Come and Go Like a Pop Song,Bicycle Thief,257.8ø
Max_ Jill Called,You Come and Go Like a Pop Song,Bicycle Thief,184.2ø
MacArthur Park Revisited,You Come and Go Like a Pop Song,Bicycle Thief,204.2ø
L.A. Country (Hometown Blues),You Come and Go Like a Pop Song,Bicycle Thief,266.7ø
It's Rainin' (4am),You Come and Go Like a Pop Song,Bicycle Thief,217.2ø
Hurt,You Come and Go Like a Pop Song,Bicycle Thief,165.9ø
Everyone Asks,You Come and Go Like a Pop Song,Bicycle Thief,273.1ø
Cereal Song,You Come and Go Like a Pop Song,Bicycle Thief,266.0ø
Boy at a Bus Stop,You Come and Go Like a Pop Song,Bicycle Thief,155.7ø
Spirit In Your Soul,Famous When Dead 2,Weekender,343.5ø
Tyrantanic,In Search Of Sunrise 2,Breeder,573.2ø
Vuelve A Mi,Lo Basico,Gary Hobbs,159.1ø
Voy A Enloquecer,Despues De Ti,Gary Hobbs,243.6ø
Vivir Sin Aire,Despues De Ti,Gary Hobbs,255.3ø
Recuerdos Inolvidables,Despues De Ti,Gary Hobbs,222.0ø
Prefiero,Despues De Ti,Gary Hobbs,215.1ø
Perdi Un Amor,Despues De Ti,Gary Hobbs,216.1ø
Morena De Mis Amores,Despues De Ti,Gary Hobbs,200.4ø
Mi Muchachita,Despues De Ti,Gary Hobbs,180.5ø
