Trouble,thrall-demonsweatlive,Danzig,201.7ø
No Way to Deny It,PROVE YOU WRONG,Prong,281.1ø
Hell If I Could,PROVE YOU WRONG,Prong,240.1ø
Get A Grip (On Yourself),PROVE YOU WRONG,Prong,185.8ø
Contradictions,PROVE YOU WRONG,Prong,250.5ø
From The Plains To Mexico,Cube E Live Vol. 1,The Residents,265.5ø
A Stranger In My Arms,Unforgettable,Patsy Cline,149.6ø
If Loving You Is Wrong,When A Man Loves A Woman,Percy Sledge,235.8ø
I've Been Loving You Too Long,Warm And Tender Love,Percy Sledge,177.6ø
When You Don't See Me (Remix),A Merciful Release,Sisters Of Mercy,283.8ø
Promise You The Moon,Inside Life,Incognito,333.0ø
Your Mirror,Stars Collectors Edition,Simply Red,239.6ø
Thrill Me,90's Dance Hits,Simply Red,204.8ø
Model,Stars Collectors Edition,Simply Red,226.8ø
For Your Babies,Stars Collectors Edition,Simply Red,257.8ø
Drama,Archives Vol. 2,Delerium,455.9ø
Awakenings,Archives Vol. 2,Delerium,493.2ø
Salamandra,Salamandra,Miguel Bose,243.7ø
Love To Hate You,Hits The Very Best Of Erasure,Erasure,236.5ø
Home,Chorus,Erasure,253.8ø
Chorus,Hits The Very Best Of Erasure,Erasure,268.4ø
Breath Of Life,Chorus,Erasure,246.8ø
Moldavia,Re:Boot (+ bonus tracks),Front 242,241.7ø
Oomingmak (Instrumental),Cocteau Twins Singles Collection,Cocteau Twins,164.1ø
Today Your Love Tomorrow The World (Live),Loco Live,The Ramones,102.5ø
Pet Semetary,Brain Drain,The Ramones,210.2ø
Summer Babe,Quarantine The Past: The Best Of Pavement,Pavement,195.2ø
Krell Vid-User,Westing (By Musket and Sextant),Pavement,86.9ø
Heckler Spray,Westing (By Musket and Sextant),Pavement,66.4ø
From Now On,Westing (By Musket and Sextant),Pavement,123.7ø
Debris Slide,Westing (By Musket and Sextant),Pavement,117.2ø
Never Stop,Live in London,The Brand New Heavies,331.3ø
Travelin' Blues,Piano Blues - A Film By Clint Eastwood,Dave Brubeck,201.6ø
Stompin' For Mili,Time Signatures: A Career Retrospective,Dave Brubeck,320.7ø
Pennies From Heaven,Vintage Jazz Collection Vol 5,Dave Brubeck,389.5ø
Love Walked In,Interchanges '54,Dave Brubeck,531.7ø
Keepin' Out Of Mischief Now,Interchanges '54,Dave Brubeck,307.1ø
Audrey,Interchanges '54,Dave Brubeck,215.4ø
Shot Of Poison,Greatest Hits Live!,Lita Ford,224.5ø
Little Black Spider,Platinum & Gold Collection,Lita Ford,106.4ø
Larger Than Life,Greatest Hits Live!,Lita Ford,260.0ø
Holy Man,Greatest Hits Live!,Lita Ford,287.7ø
Black Widow,Greatest Hits Live!,Lita Ford,226.8ø
Bad Love,Platinum & Gold Collection,Lita Ford,261.5ø
Spell Of Destruction,Aske,Burzum,339.5ø
Lost Wisdom,Anthology,Burzum,278.7ø
Feeble Screams From Forests Unknown,Aske,Burzum,448.4ø
Channelling The Power Of Souls Into A New God,Aske,Burzum,206.8ø
Black Stallion,Summer,George Winston,219.4ø
Who's Gonna Take The Weight? (Explicit),Step In The Arena,Gang Starr,236.1ø
Street Ministry,Step In The Arena,Gang Starr,85.6ø
Say Your Prayers,Step In The Arena,Gang Starr,84.6ø
Precisely The Right Rhymes,Step In The Arena,Gang Starr,205.5ø
Name Tag (Premier & The Guru),Step In The Arena,Gang Starr,36.4ø
Just To Get A Rep,Original Hits - Rap & Soul,Gang Starr,159.0ø
Form Of Intellect,Step In The Arena,Gang Starr,220.1ø
Execution Of A Chump (Explicit),Step In The Arena,Gang Starr,162.0ø
Check The Technique (Explicit),Step In The Arena,Gang Starr,238.8ø
Beyond Comprehension,Step In The Arena,Gang Starr,193.6ø
Breaking Down The Walls Of Heartache,The Projected Passion Revue,Dexys Midnight Runners,245.4ø
You and I,Glenn Miller from A to Z_ vol.4,Glenn Miller,152.3ø
When You Wish Upon a Star,Jazz In the Village (The Swing's Master),Glenn Miller,171.3ø
Moments In the Moonlight,Glenn Miller from A to Z_ vol.3,Glenn Miller,187.0ø
You Be The Dam_ I'll Be The Water,Bone Against Steel,38 Special,264.6ø
Treasure,Bone Against Steel,38 Special,340.0ø
The Sound Of Your Voice,Bone Against Steel,38 Special,297.7ø
Tear It Up,Bone Against Steel,38 Special,278.1ø
Signs Of Love,Bone Against Steel,38 Special,289.3ø
Rebel To Rebel,Bone Against Steel,38 Special,332.3ø
Last Thing I Ever Do,Bone Against Steel,38 Special,320.9ø
Jimmy Gillum,Bone Against Steel,38 Special,306.1ø
Don't Wanna Get It Dirty,Bone Against Steel,38 Special,275.2ø
Can't Shake It,Bone Against Steel,38 Special,207.4ø
Burning Bridges,Bone Against Steel,38 Special,284.9ø
Bone Against Steel,Bone Against Steel,38 Special,323.6ø
You Taught My Heart to Sing,The Best Of Dianne Reeves,Dianne Reeves,378.5ø
How High the Moon,I Remember,Dianne Reeves,248.1ø
Song For Antarctica,Devotion: The Best of Yanni,Yanni,263.6ø
New Town,In The Beginning,The Slits,244.7ø
God Is Alone,Trinity,My Dying Bride,290.5ø
Tito on timbales,Salsa Legende - Best of Tito Puente,Tito Puente,355.9ø
Take All The Time You Need,Like Never Before,Taj Mahal,262.2ø
Christmas Present,The Doris Day Christmas Album,Doris Day,172.0ø
You Definitely Got Me,Bone Against Steel,38 Special,312.4ø
The Reason For The Season,Greatest Hits Remixed,Gloria Gaynor,255.8ø
Feelings,Ten Best / The Millennium Versions,Gloria Gaynor,214.6ø
Can't Take My Eyes Off You,Greatest Hits Remixed,Gloria Gaynor,312.5ø
Music For Boys,Alternative,Pet Shop Boys,214.6ø
Bet She's Not Your Girlfriend,Alternative,Pet Shop Boys,267.1ø
YMCA,YMCA,Village People,286.3ø
Why Me Baby? (LP Version),Keep It Comin',Keith Sweat,328.0ø
Ten Commandments Of Love (LP Version),Keep It Comin',Keith Sweat,229.1ø
Spend A Little Time (LP Version),Keep It Comin',Keith Sweat,262.3ø
Let Me Love You (LP Version),Keep It Comin',Keith Sweat,243.7ø
Keep It Comin' (Smooth Version),Keep It Comin',Keith Sweat,322.9ø
I'm Going For Mine (LP Version),Keep It Comin',Keith Sweat,300.9ø
I Really Love You (LP Version),Keep It Comin',Keith Sweat,234.9ø
Give Me What I Want (LP Version),Keep It Comin',Keith Sweat,317.5ø
(There You Go) Tellin' Me No Again (LP Version),Keep It Comin',Keith Sweat,309.5ø
Vuelo,Ricky Martin,Ricky Martin,228.0ø
Te Voy A Conquistar (Vou Te Conquistar),Ricky Martin,Ricky Martin,298.2ø
Susana,Ricky Martin,Ricky Martin,254.9ø
Ser Feliz,Ricky Martin,Ricky Martin,197.8ø
Popotitos,Ricky Martin,Ricky Martin,295.7ø
Fuego Contra Fuego,Ricky Martin,Ricky Martin,256.0ø
Dime Que Me Quieres (Bring A Little Lovin),Ricky Martin,Ricky Martin,196.9ø
Lacrima Mosa,Angst,Lacrimosa,318.0ø
Perpetual Dawn,The BBC Sessions 1991 - 2001,The Orb,479.7ø
Outlands,Live '93,The Orb,542.9ø
Back Side Of The Moon,The Orb's Adventures Beyond The Ultraworld - Deluxe Edition,The Orb,522.6ø
Seven Days,Different World,Uriah Heep,212.2ø
Powers Of Addiction,Different World,Uriah Heep,251.0ø
One On One,Different World,Uriah Heep,241.3ø
First Touch,Different World,Uriah Heep,231.2ø
All God's Children,Different World,Uriah Heep,256.8ø
All For One,Different World,Uriah Heep,263.8ø
All the Things You Are,Jazz In the Village (The Be Bop's Birth),Charlie 'Bird' Parker,170.5ø
Paris_ Tennessee  (LP Version),Sticks And Stones,Tracy Lawrence,143.6ø
I Hope Heaven Has A Honky Tonk  (LP Version),Sticks And Stones,Tracy Lawrence,152.9ø
Froze Over  (LP Version),Sticks And Stones,Tracy Lawrence,214.6ø
Dancin' To Sweet 17 (LP Version),Sticks And Stones,Tracy Lawrence,193.8ø
Between Us (LP Version),Sticks And Stones,Tracy Lawrence,203.2ø
April's Fool (LP Version),Sticks And Stones,Tracy Lawrence,233.8ø
Why Don't You Smile Now?,The Complete Works Vol. 1,Spiritualized,345.0ø
Run,Lazer Guided Melodies,Spiritualized,231.0ø
Luminescence (Stay With Me),The Complete Works Vol. 1,Spiritualized,308.3ø
I Want You,Lazer Guided Melodies,Spiritualized,226.2ø
Feel So Sad (Glides And Chimes),The Complete Works Vol. 1,Spiritualized,393.0ø
Effervescent (Chimes),The Complete Works Vol. 1,Spiritualized,434.7ø
Where Angels Play,The Stone Roses (20th Anniversary Legacy Edition),The Stone Roses,196.4ø
Madame Oscar,King Of Bongo,Mano Negra,157.9ø
Mad Man's Dead,Best Of,Mano Negra,121.2ø
Long Long Nite,Best Of,Mano Negra,255.8ø
When You Sleep,Loveless,My Bloody Valentine,252.0ø
What You Want,Loveless,My Bloody Valentine,333.4ø
Touched,Loveless,My Bloody Valentine,56.7ø
To Here Knows When,Loveless,My Bloody Valentine,331.2ø
Sometimes,Loveless,My Bloody Valentine,319.5ø
Only Shallow,Loveless,My Bloody Valentine,259.7ø
Loomer,Loveless,My Bloody Valentine,158.3ø
I Only Said,Loveless,My Bloody Valentine,334.4ø
Honey Power,Just Say Anything,Just Say Yes,259.0ø
Come In Alone,Loveless,My Bloody Valentine,238.4ø
Blown A Wish,Loveless,My Bloody Valentine,216.5ø
The Money Will Roll Right In,Live At El Sol,Mudhoney,166.3ø
Into The Drink,Live At El Sol,Mudhoney,136.2ø
Hard Times,Tracks 3,Wishbone Ash,320.5ø
Where'd You Go?,Clueless / Original Motion Picture Soundtrack,Mighty Mighty Bosstones,195.3ø
Sweet Emotion,Where'd You Go,Mighty Mighty Bosstones,172.2ø
Do Something Crazy,Where'd You Go,Mighty Mighty Bosstones,133.0ø
Ain't Talkin' 'Bout Love,Where'd You Go,Mighty Mighty Bosstones,146.1ø
Imaginary Lines,Help Yourself,Julian Lennon,312.1ø
Here Today_ Gone Tomorrow,Step In The Arena,Gang Starr,138.7ø
The Road Behind,The Road Behind,GWAR,330.1ø
The Morality Squad,America Must Be Destroyed,GWAR,217.0ø
Rock N Roll Never Felt So Good,America Must Be Destroyed,GWAR,257.8ø
Pussy Planet,America Must Be Destroyed,GWAR,171.2ø
Poor Ole Tom,America Must Be Destroyed,GWAR,306.9ø
Krak-Down,The Road Behind,GWAR,229.0ø
Have You Seen Me?,America Must Be Destroyed,GWAR,286.5ø
Ham On The Bone,America Must Be Destroyed,GWAR,124.8ø
Gor-Gor,America Must Be Destroyed,GWAR,261.6ø
Gilded Lily,America Must Be Destroyed,GWAR,215.2ø
Crack In The Egg,America Must Be Destroyed,GWAR,217.0ø
Blimey,America Must Be Destroyed,GWAR,192.7ø
America Must Be Destoyed,America Must Be Destroyed,GWAR,284.8ø
I Get High On You,The Essential Sly & The Family Stone,Sly & The Family Stone,193.7ø
Ain't That Lovin' You Babe,It Takes All Kinds,Sly & The Family Stone,145.2ø
My Life Is Starting Over,Artistic Vice,Daniel Johnston,125.8ø
Laurie,Artistic Vice,Daniel Johnston,139.2ø
Honey I Sure Miss You,Frankenstein Love,Daniel Johnston,136.7ø
Shut Em Down,Power To The People And The Beats - Public Enemy's Greatest Hits,Public Enemy,259.5ø
Rebirth,Apocolypse '91  The Enemy Strikes Back,Public Enemy,59.9ø
Move!,Apocolypse '91  The Enemy Strikes Back,Public Enemy | Sister Souljah,299.8ø
More News At 11,Apocolypse '91  The Enemy Strikes Back,Public Enemy,159.2ø
Lost At Birth,Apocolypse '91  The Enemy Strikes Back,Public Enemy,229.1ø
How To Kill A Radio Consultant,Apocolypse '91  The Enemy Strikes Back,Public Enemy,189.5ø
By The Time I Get To Arizona,Apocolypse '91  The Enemy Strikes Back,Public Enemy,288.6ø
A Letter To The New York Post,Apocolypse '91  The Enemy Strikes Back,Public Enemy,165.2ø
1 Million Bottlebags,Apocolypse '91  The Enemy Strikes Back,Public Enemy,246.3ø
Junkie's Runnin' Dry,Operation Ivy,Operation Ivy,125.6ø
Bankshot,Operation Ivy,Operation Ivy,93.4ø
Ultimo Amore,L'indispensabile,Vinicio Capossela,408.9ø
Solo Per Me,Modi,Vinicio Capossela,289.6ø
Pasionaria,Modi,Vinicio Capossela,239.3ø
Notte Newyorkese,Modi,Vinicio Capossela,183.3ø
Notte Di Provincia,Modi,Vinicio Capossela,145.2ø
La Regina Del Florida,Modi,Vinicio Capossela,242.4ø
25 Aprile,Modi,Vinicio Capossela,219.5ø
Things to Do in Denver When You're Dead,Mr. Bad Example,Warren Zevon,172.7ø
Searching For A Heart,Mr. Bad Example,Warren Zevon,256.4ø
Renegade,Mr. Bad Example,Warren Zevon,290.8ø
Mr. Bad Example,Mr. Bad Example,Warren Zevon,201.6ø
Heartache Spoken Here,Mr. Bad Example,Warren Zevon,228.3ø
Angel Dressed In Black,Mr. Bad Example,Warren Zevon,264.4ø
Count It Off,Too Legit To Quit,MC Hammer (Featuring The Home Boy Choir),307.6ø
Addams Groove,U Can't Touch This - The Collection,MC Hammer,238.9ø
Mr. Coleman To You,Meant To Be,John Scofield,366.3ø
Lost In Space,Meant To Be,John Scofield,392.9ø
Keep Me In Mind,Meant To Be,John Scofield,364.5ø
Go Blow,Meant To Be,John Scofield,502.4ø
French Flics,Meant To Be,John Scofield,332.2ø
Just Get Up And Dance,The Very Best of Euphoric Dance Breakdown 2009,Afrika Bambaataa,226.2ø
Frozen Terror,Let Us Pray,Vital Remains,347.5ø
Train Kept A Rollin',Live At BB King Blues Club,The Yardbirds,219.6ø
The Train Kept A Rollin',Beckology,The Yardbirds,206.1ø
The Sun Is Shining (LIVE),Beckology,The Yardbirds,164.9ø
Open House,California Jazz,Lionel Hampton,183.7ø
Jack the Bellboy,Ring Dem Bells,Lionel Hampton,189.1ø
I've Found a New Baby,Ring Dem Bells,Lionel Hampton,173.2ø
Altitude,The Classic Years,Lionel Hampton,182.7ø
Simple Song Of Freedom,Live! At The Desert Inn,Bobby Darin,262.1ø
Who Can I Count On,100 Country Classics,Patsy Cline,134.7ø
Life's Railway To Heaven,Rhinestone Cowboy,PATSY CLINE & WILLIE NELSON,175.4ø
If I Could Only Stay Asleep,Her Original Four Star Hits,Patsy Cline,157.8ø
I Don't Wanta,Walkin' After Midnight - The Original Sessions Vol. I,Patsy Cline,144.6ø
Honky Tonk Merry Go Round,Just A Closer Walk With Thee,Patsy Cline,143.7ø
Temptation,More Than You Know - The Best Of Martika,Martika,286.6ø
Safe In The Arms Of Love,Toy Soldiers: The Best Of Martika,Martika,305.7ø
Martika's Kitchen,Toy Soldiers: The Best Of Martika,Martika,251.2ø
Don't Say U Love Me,More Than You Know - The Best Of Martika,Martika,263.0ø
Coloured Kisses,More Than You Know - The Best Of Martika,Martika,248.3ø
Wonderland,Ceremony,The Cult,369.8ø
Wild Hearted Son,Ceremony,The Cult,341.6ø
Sweet Salvation,Ceremony,The Cult,325.6ø
Sunrise,Love (Expanded Edition),The Cult,311.4ø
If,Ceremony,The Cult,325.0ø
Heart Of Soul,Ceremony,The Cult,355.7ø
Full Tilt,Ceremony,The Cult,292.0ø
Earth Mofo,Ceremony,The Cult,282.9ø
Ceremony,Ceremony,The Cult,387.6ø
Bankgog Rain,Ceremony,The Cult,347.3ø
All Souls Avenue,Love (Expanded Edition),The Cult,285.6ø
Summertime,Seasons 4 U,Lou Rawls,198.5ø
A Natural Man,Natural Man / Classic Lou,Lou Rawls,222.0ø
She's Dead,Separations,Pulp,309.1ø
Is This House?,My Legendary Girlfriend,Pulp,507.2ø
Death Goes To The Disco,Countdown (Rare Single),Pulp,344.0ø
Voodoo Priestess,Black Music For White People,Screamin' Jay Hawkins,298.6ø
Is You Is Or Is You Ain't My Baby,Black Music For White People,Screamin' Jay Hawkins,174.1ø
Ignant and Shit,Best Of Bizarre Sessions,Screamin' Jay Hawkins,364.0ø
Ice Cream Man,Black Music For White People,Screamin' Jay Hawkins,208.3ø
I Want Your Body,Best Of Bizarre Sessions,Screamin' Jay Hawkins,249.3ø
I Put A Spell On You (Dance Version),Black Music For White People,Screamin' Jay Hawkins,223.3ø
I Hear You Knockin',Black Music For White People,Screamin' Jay Hawkins,193.4ø
I Feel Allright,Black Music For White People,Screamin' Jay Hawkins,273.3ø
Welcome to Hell,Abominations Of Desolation,Morbid Angel,296.7ø
Unholy Blasphemies,Abominations Of Desolation,Morbid Angel,240.3ø
The Invocation - Chapel Of Ghouls,Abominations Of Desolation,Morbid Angel,431.3ø
The Gate - Lord Of All Fevers,Abominations Of Desolation,Morbid Angel,354.7ø
The Ancient Ones,Blessed Are The Sick,Morbid Angel,353.5ø
Rebel Lands,Blessed Are The Sick,Morbid Angel,161.2ø
In Remembrance,Blessed Are The Sick,Morbid Angel,85.0ø
Fall From Grace,Blessed Are The Sick,Morbid Angel,313.4ø
Doomsday Celebration,Blessed Are The Sick,Morbid Angel,109.1ø
Desolate Ways,Blessed Are The Sick,Morbid Angel,100.9ø
Demon Seed,Abominations Of Desolation,Morbid Angel,131.8ø
Day Of Suffering,Hellspawn,Morbid Angel Vs The Berzerker,159.1ø
Brainstorm,Blessed Are The Sick,Morbid Angel,155.0ø
Blessed Are The Sick - Leading The Rats,Blessed Are The Sick,Morbid Angel,287.0ø
Azagthoth,Abominations Of Desolation,Morbid Angel,349.5ø
Angel Of Disease,Covenant,Morbid Angel,375.3ø
No Necesito Verte (Para Saberlo) (Krupa Mix),Rex-Mix,Soda Stereo,325.3ø
No Necesito Verte (Para Saberlo),Rex-Mix,Soda Stereo,378.1ø
En Camino - Viva La Patria Mix,Rex Mix,Soda Stereo,363.0ø
Tearing Down,World Outside,The Psychedelic Furs,322.9ø
In My Head,World Outside,The Psychedelic Furs,210.8ø
Better Days,World Outside,The Psychedelic Furs,272.0ø
Let Freedom Ring,America's Country,Charlie Daniels,303.2ø
Tumble Down,Jah Kingdom,Burning Spear,217.9ø
Jah Kingdom,Jah Kingdom,Burning Spear,239.7ø
Call On Jah,Jah Kingdom,Burning Spear,259.8ø
Syringe Mouth,The Complete Peel Sessions,Mercury Rev,194.9ø
Sweet Oddysee Of A Cancer Cell T' Th' Center Of Yer Heart,Yerself Is Steam,Mercury Rev,461.6ø
Frittering,The Complete Peel Sessions,Mercury Rev,287.1ø
Continuous Trucks And Thunder Under A Mother's Smile,Yerself Is Steam,Mercury Rev,43.7ø
Coney Island Cyclone (4-track demo version),Car Wash Hair,Mercury Rev,245.0ø
Coney Island Cyclone,The Complete Peel Sessions,Mercury Rev,165.7ø
Chasing A Bee (4-track demo version),Car Wash Hair,Mercury Rev,543.3ø
Chasing A Bee,Yerself Is Steam,Mercury Rev,431.7ø
Car Wash Hair (Full Pull),Car Wash Hair,Mercury Rev,402.3ø
Blue And Black,Yerself Is Steam,Mercury Rev,360.3ø
This Is Radio Etienne,Foxbase Beta,Saint Etienne,53.3ø
Stoned To Say The Least,Foxbase Beta,Saint Etienne,365.2ø
Spring,Only Love Can Break Your Heart,Saint Etienne,303.3ø
She's The One,Foxbase Beta,Saint Etienne,218.3ø
London Belongs To Me,Foxbase Beta,Saint Etienne,248.5ø
Like The Swallow,Foxbase Alpha,Saint Etienne,459.4ø
Girl VII,Foxbase Beta,Saint Etienne,275.9ø
Carnt Sleep,Foxbase Alpha,Saint Etienne,283.7ø
The Fool,King Of Bongo,Mano Negra,170.3ø
King Of Bongo,King Of Bongo,Mano Negra,218.4ø
Don't Want You No More,In The Hell Of Patchinko,Mano Negra,184.3ø
Bring The Fire,In The Hell Of Patchinko,Mano Negra,209.3ø
It Could've Been So Good,All I Can Be,Collin Raye,262.6ø
If I Were You (And She Were Mine),All I Can Be,Collin Raye,171.8ø
If I Were You,Super Hits,Collin Raye,244.8ø
Every Second,All I Can Be,Collin Raye,146.5ø
Blue Magic,All I Can Be,Collin Raye,182.8ø
Eight Piece Box,Peckin' Party,Southern Culture On The Skids,278.2ø
Cicada Rock,Doublewide and Live,Southern Culture On The Skids,169.0ø
Hole In The Wall (LP Version),Flight Of The Cosmic Hippo,Bela Fleck And The Flecktones,279.1ø
I'm Going Home (Live),The Essential Ten Years After,Ten Years After,597.5ø
Good Morning Little Schoolgirl (Live),Live At The Filmore East,Ten Years After,446.7ø
Too Romantic,Glenn Miller from A to Z_ Vol.1,Glenn Miller,174.0ø
Gaucho Serenade,Glenn Miller from A to Z_ vol.4,Glenn Miller,188.0ø
Fresh As a Daisy,Glenn Miller from A to Z_ vol.5,Glenn Miller,166.9ø
Frenesi,The Collection,Glenn Miller,210.3ø
An Angel In A Furnished Room,The Glenn Miller Story Vol. 5-6,Glenn Miller,202.3ø
(There'll Be Bluebirds Over) The White Cliffs of Dover,The Essential Glenn Miller,Glenn Miller & His Orchestra;Ray Eberle,178.2ø
I'll Be Seeing You,Pop Pop,Rickie Lee Jones,196.4ø
Tip Of The Iceberg,Ragga With Maximum Respect,Black Uhuru ft. Andrew Bees & Ice T,263.4ø
Statement,R.O.R.X. - The Tenth Annual Reggae On The Rocks,Black Uhuru,279.5ø
Take This Heart,Greatest Hits,Richard Marx,250.7ø
Keep Coming Back,Greatest Hits,Richard Marx,409.4ø
Blue Moon,Coleman Hawkins,Coleman Hawkins,197.9ø
3 A.M. Eternal,ROUNDERS,The K.L.F.,547.2ø
Get Out Of Town,Give The Lady What She Wants,Lena Horne,144.5ø
Tootsie Roll,Pennies from Heaven,Stan Getz,132.5ø
Sweetie Pie,Out Of Knowhere,Stan Getz,148.5ø
Strike Up The Band,Out Of Knowhere,Stan Getz,148.1ø
Out Of Nowhere,The Complete Jazz Collection,Stan Getz,148.7ø
Hershey Bar,When The World Was Young,Stan Getz,154.7ø
Gone With The Wind,The Complete Jazz Collection,Stan Getz,176.4ø
You're A Better Man Than I (LIVE),Beckology,The Yardbirds,236.5ø
I Don't Want To Lose You,Pick Of The Litter,Spinners,225.5ø
Funny How Time Slips Away,Grand Slam,Spinners,233.8ø
Let's Work Together,Rock Til You Drop,Status Quo,219.8ø
All We Really Wanna Do (Polly),Rock Til You Drop,Status Quo,227.0ø
Under The Runes,Jubileum I,bathory,355.5ø
To Enter Your Mountain,Twilight Of The Gods,bathory,453.4ø
Bond Of Blood,Jubileum II,bathory,454.8ø
Parte Del Aire,Musicos Poetas Y Locos,Fito Paez|Luis Alberto Spinetta,242.2ø
Instant-Taneas,Musicos Poetas Y Locos,Fito Paez|Luis Alberto Spinetta,294.9ø
Yoke The Joker (LP Version),Naughty By Nature,Naughty By Nature,313.7ø
Wickedest Man Alive (LP Version),Naughty By Nature,Naughty By Nature,261.3ø
Uptown Anthem (LP Version),Naughty By Nature,Naughty By Nature,184.3ø
Thankx For Sleepwalking (LP Version),Naughty By Nature,Naughty By Nature,326.8ø
Strike A Nerve (LP Version),Naughty By Nature,Naughty By Nature,382.4ø
Rhyme'll Shine On (LP Version),Naughty By Nature,Naughty By Nature,236.7ø
Pin The Tail On The Donkey (LP Version),Naughty By Nature,Naughty By Nature,227.5ø
O.P.P.,Jarhead,Naughty By Nature,269.7ø
Let The Ho's Go (LP Version),Naughty By Nature,Naughty By Nature,256.9ø
Everything's Gonna Be Alright (LP Version),Naughty By Nature,Naughty By Nature,291.9ø
Everyday All Day (LP Version),Naughty By Nature,Naughty By Nature,341.4ø
1_ 2_ 3 (LP Version),Naughty By Nature,Naughty By Nature,284.9ø
Ya Lil' Crumbsnatchers (LP Version),I Wish My Brother George Was Here,Del Tha Funkee Homosapien,90.9ø
What Is A Booty (LP Version),I Wish My Brother George Was Here,Del Tha Funkee Homosapien,233.4ø
The Wacky World of Rapid Transit (LP Version),I Wish My Brother George Was Here,Del Tha Funkee Homosapien,197.1ø
Sunny Meadowz (LP Version),I Wish My Brother George Was Here,Del Tha Funkee Homosapien,265.9ø
Sleepin' On My Couch,The Best Of Del Tha Funkee Homosapien [The Elektra Years]: The B-Boy Handbook,Del Tha Funkee Homosapien,199.1ø
Same Ol' Thing (LP Version),I Wish My Brother George Was Here,Del Tha Funkee Homosapien,260.0ø
Pissin' On Your Steps (LP Version),I Wish My Brother George Was Here,Del Tha Funkee Homosapien,209.0ø
Money For Sex (LP Version),I Wish My Brother George Was Here,Del Tha Funkee Homosapien,232.0ø
Mistadobalina,The Best Of Del Tha Funkee Homosapien [The Elektra Years]: The B-Boy Handbook,Del Tha Funkee Homosapien,257.7ø
Dr. Bombay,The Best Of Del Tha Funkee Homosapien [The Elektra Years]: The B-Boy Handbook,Del Tha Funkee Homosapien,282.4ø
Dark Skin Girls (LP Version),I Wish My Brother George Was Here,Del Tha Funkee Homosapien,268.9ø
Burnt,The Best Of Del Tha Funkee Homosapien [The Elektra Years]: The B-Boy Handbook,Del Tha Funkee Homosapien feat. The Hyrogliphics,282.0ø
Ahone Two_ Ahone Two (LP Version),I Wish My Brother George Was Here,Del Tha Funkee Homosapien,165.5ø
Souls Of The Evil Departed,Gardens Of Grief,At The Gates,214.0ø
City Of Screaming Statues,The Red In The Sky Is Ours,At The Gates,279.3ø
At The Gates,Gardens Of Grief,At The Gates,322.6ø
All Life Ends,Purgatory Unleashed - Live At Wacken,At The Gates,347.0ø
Tomorrow's Tears,The EPs Collection_ Volumes 1&2,Cranes,237.8ø
Dreamless,The EPs Collection_ Volumes 1&2,Cranes,219.5ø
Dada 331,The EPs Collection_ Volumes 1&2,Cranes,192.1ø
Casa Blanca,The EPs Collection_ Volumes 1&2,Cranes,158.6ø
Brighter,The EPs Collection_ Volumes 1&2,Cranes,175.6ø
Adoration,The EPs Collection_ Volumes 1&2,Cranes,325.6ø
You Might Need Somebody,Ordinary Average Guy,Joe Walsh,269.8ø
Where I Grew Up (Prelude to School Days),Ordinary Average Guy,Joe Walsh,159.2ø
Up All Night,Ordinary Average Guy,Joe Walsh,234.3ø
Two Sides To Every Story,Ordinary Average Guy,Joe Walsh,203.8ø
The Gamma Goochee,Ordinary Average Guy,Joe Walsh,168.7ø
School Days,Ordinary Average Guy,Joe Walsh,317.9ø
Ordinary Average Guy,Ordinary Average Guy,Joe Walsh,252.6ø
I'm Actin' Different,Ordinary Average Guy,Joe Walsh,271.3ø
Alphabetical Order,Ordinary Average Guy,Joe Walsh,298.2ø
All Of A Sudden,Ordinary Average Guy,Joe Walsh,296.2ø
You Don't Have To Worry (Club Remix),Remix To Sing,En Vogue,472.9ø
Time Goes On (Extended Remix),Remix To Sing,En Vogue,349.6ø
Strange (House Remix),Remix To Sing,En Vogue,399.0ø
Lies (New Jack Remix),Remix To Sing,En Vogue,343.5ø
Hold On (Hip Hop Remix),The Very Best Of En Vogue,En Vogue,327.8ø
The Earth Is (Album Version),The Earth Is...,Air Supply,339.1ø
Stronger Than The Night (Album Version),The Earth Is...,Air Supply,262.7ø
Speaking Of Love (Album Version),The Earth Is...,Air Supply,276.3ø
She's Got The Answer (Album Version),The Earth Is...,Air Supply,348.5ø
Love Conquers Time (Album Version),The Earth Is...,Air Supply,305.1ø
Dancing With The Mountain (Album Version),The Earth Is...,Air Supply,327.4ø
Bread And Blood (Album Version),The Earth Is...,Air Supply,278.4ø
Sweet September Love,Lil' Suzy - The Greatest Hits,Lil' Suzy,237.4ø
Love Can't Wait,Lil' Suzy - The Greatest Hits,Lil' Suzy,239.4ø
Wild Obsession,Hollywood Vampires,L.A. Guns,255.7ø
Snake Eyes,Hollywood Vampires,L.A. Guns,178.1ø
Over The Edge (Live),Golden Bullets,L.A. Guns,378.6ø
Over The Edge,A Nite On The Strip - Live,L.A. Guns,383.2ø
My Koo Ka Choo,Hollywood Vampires,L.A. Guns,247.1ø
Kiss My Love Goodbye,Live! A Night On The Strip,L.A. Guns,228.0ø
It's Over Now,Hollywood Vampires,L.A. Guns,251.1ø
I Found You,Hollywood Vampires,L.A. Guns,223.6ø
Dirty Luv,Hollywood Vampires,L.A. Guns,270.8ø
Crystal Eyes,Hollywood Vampires,L.A. Guns,352.7ø
