All In A Night's Work,Essential,Dean Martin,155.6ø
Touch,Time,Lionel Richie,308.1ø
Someday,Time,Lionel Richie,263.5ø
Lady,Time,Lionel Richie,265.9ø
Everytime,Time,Lionel Richie,256.0ø
(That's) The Way I Feel,Time,Lionel Richie,187.3ø
Regular John,Go With The Flow,Queens Of The Stone Age,326.8ø
Fade Away (And Radiate),Atomic: The Very Best Of Blondie,Blondie,237.8ø
Atomic '98 (Xenomania Mix),Atomic: The Very Best Of Blondie,Blondie,273.1ø
Zoomin',Time,Lionel Richie,263.4ø
To The Rhythm,Time,Lionel Richie,314.3ø
I Hear Your Voice,Time,Lionel Richie,240.5ø
Born And Raised In Black And White,If You See Her,Brooks & Dunn,235.8ø
