Diggin' My Potatoes,Sonny Is King,Sonny Terry,223.0ø
Death To Censorship,Pro-Death Ravers,Psychopomps,292.0ø
Daddy's Girl,Pro-Death Ravers,Psychopomps,463.4ø
Two Little Men,Lemonade,Mucky Pup,232.1ø
Three Sides,Lemonade,Mucky Pup,217.4ø
The T.v.'s On Fire,Lemonade,Mucky Pup,144.8ø
Own Up For What You Say,Lemonade,Mucky Pup,270.8ø
Mountain Song,Lemonade,Mucky Pup,187.5ø
Junkie Eyes,Lemonade,Mucky Pup,205.0ø
If Wishes Were Fishes,Lemonade,Mucky Pup,245.5ø
Deja Vu,Lemonade,Mucky Pup,343.5ø
Confessions,Lemonade,Mucky Pup,182.8ø
Beautiful People,Lemonade,Mucky Pup,222.9ø
I can feel it,A night of electric silence,The Silencers,383.4ø
Se Stasera Sono Qui,Tenco In Jazz,Tiziana Ghiglioni,448.6ø
Shirt Loop,Relics (180g Ltd Edition),DMZ,95.7ø
Pretty Girl,Relics (180g Ltd Edition),DMZ,199.5ø
Oedipus Show,Relics (180g Ltd Edition),DMZ,144.0ø
Might He I.D.,Relics (180g Ltd Edition),DMZ,152.8ø
Guilty Child,Relics (180g Ltd Edition),DMZ,172.0ø
First Time,Relics (180g Ltd Edition),DMZ,97.4ø
Can't Stand The Pain,Relics (180g Ltd Edition),DMZ,161.1ø
Bloody Englishmen,Relics (180g Ltd Edition),DMZ,175.6ø
Stardate 1990,The Collection,Dan Reed Network,171.1ø
I've Been Treated Wrong,Washboard Sam Vol. 6 1941-1942,Washboard Sam,197.4ø
Spock's Missing,1978-1988 A Decade Of Spizz History,Spizzenergi,323.5ø
North Eastern,Shards Of God (Best of Sun Dial),Sun Dial,246.1ø
El Calor Del Amor En Un Bar,Los singles,Gabinete Caligari,170.9ø
Ha Fi Get Yu Body,Strictly The Best Vol.9,Jigsy King,225.8ø
Doop (Jean Lejeux et son orchestre),Doop Remixes,Doop,206.5ø
The Cool Courage of the Bomb Squad Officers,Freq,Robert Calvert,319.5ø
Guerrillas In the Mist,Play More Music,Consolidated,263.7ø
Yaar Da Truck,Hai Shava,Malkit Singh,299.2ø
Sun Daroo Diye Botlay,Hai Shava,Malkit Singh,402.7ø
Ooi Baba,Hai Shava,Malkit Singh,364.0ø
Mruh Watan Noon Awan,Hai Shava,Malkit Singh,488.0ø
Jat Bhangray Paonday,Hai Shava,Malkit Singh,457.3ø
Hai Shava,Hai Shava,Malkit Singh,324.5ø
Dhol Ton Bina,Hai Shava,Malkit Singh,354.7ø
Bangayee Mem Kurhi,Hai Shava,Malkit Singh,421.5ø
I Don't Call Him Daddy,Les 100 Plus Grands Titres Country,Doug Supernaw,226.0ø
The Lost Ones,Cold And Bitter Tears,Ted Hawkins,189.8ø
Stay Close To Me,Cold And Bitter Tears,Ted Hawkins,195.8ø
Sorry You're Sick,Cold And Bitter Tears,Ted Hawkins,128.5ø
Peace & Happiness,Cold And Bitter Tears,Ted Hawkins,149.9ø
My Last Goodbye,Cold And Bitter Tears,Ted Hawkins,204.5ø
Cold & Bitter Tears,Cold And Bitter Tears,Ted Hawkins,132.4ø
Bad Dog,Cold And Bitter Tears,Ted Hawkins,145.9ø
Zig X,Nightmare Alley,Zeena Parkins,128.4ø
Wonder Woman,Nightmare Alley,Zeena Parkins,31.0ø
Sleep,Nightmare Alley,Zeena Parkins,224.3ø
Peephole,Nightmare Alley,Zeena Parkins,422.3ø
Out of the Past,Nightmare Alley,Zeena Parkins,212.1ø
Nightmare Alley,Nightmare Alley,Zeena Parkins,122.7ø
Model For a Colossal Moment,Nightmare Alley,Zeena Parkins,450.6ø
Love Letter,Nightmare Alley,Zeena Parkins,86.4ø
Hula,Nightmare Alley,Zeena Parkins,135.5ø
Hairless,Nightmare Alley,Zeena Parkins,177.6ø
Freak,Nightmare Alley,Zeena Parkins,112.4ø
Empty Bottle,Nightmare Alley,Zeena Parkins,77.2ø
Dreamer... She Dreams,Nightmare Alley,Zeena Parkins,66.2ø
Dirt Tone,Nightmare Alley,Zeena Parkins,106.3ø
I Tell It Like It Used To Be,American Legend,T. Graham Brown,172.4ø
I Know Better Now,Live From Mountain Stage - Vol. 8,A.J. Croce,218.0ø
Sorry,No Punches Pulled,Swiz,160.9ø
Slide,No Punches Pulled,Swiz,197.1ø
Machine Gun Etiquette,No Punches Pulled,Swiz,90.6ø
(Unlisted),No Punches Pulled,Swiz,53.3ø
Pulp,An anthology of noise and electronic music vol.2,Woody McBride,370.7ø
Time Is Love,Don't Turn Around,Black Ivory,226.5ø
Just Leave Me Some,Don't Turn Around,Black Ivory,208.6ø
Yellow Beats,Bass Planet,Dynamix II,258.4ø
Vibrations Are Increasing,Bass Planet,Dynamix II,261.4ø
Machine Planet,Bass Planet,Dynamix II,288.3ø
Intro: People of the Earth Attention,Bass Planet,Dynamix II,74.4ø
Ignition (Remix) V2.0,Bass Planet,Dynamix II,316.1ø
Grind,Bass Planet,Dynamix II,262.6ø
Dream Scape,Bass Planet,Dynamix II,278.9ø
Do You Know Who You Are Listening II,Bass Planet,Dynamix II,232.5ø
Back to the Beat,Bass Planet,Dynamix II,284.7ø
1_000_000 Mhz,Bass Planet,Dynamix II,275.0ø
A Guy What Takes His Time,I'm No Angel,Mae West,164.7ø
Why Did It Happen To Me,Cold Chilly Woman (1972),Willie Mabon,262.3ø
Monday Woman,Willie Mabon,Willie Mabon,301.2ø
Lonely Blues,Willie Mabon,Willie Mabon,279.5ø
Knock On Wood,Roots Of Soul,Willie Mabon,173.8ø
I'm Mad,Willie Mabon,Willie Mabon,262.9ø
Got To Have It,Chess Blues,Willie Mabon,190.0ø
My Lord and Master,The King and I,Rodgers And Hammerstein,115.3ø
Shannon,Anchorman,Henry Gross,253.2ø
Ugly Man Blues,Long Ol' Way From Home,Robert Pete Williams,274.9ø
Frosty The Snowman,Christmas With The Brady Bunch,The Brady Bunch,109.5ø
Vida Y Color,The Platinum Collection,Tam Tam Go!,203.1ø
Todas Las Cosas Dan En Mi Cabeza,The Platinum Collection,Tam Tam Go!,268.8ø
Piel Sobre Piel,The Platinum Collection,Tam Tam Go!,225.5ø
En La Tierra Caliente,The Platinum Collection,Tam Tam Go!,231.6ø
En La Flor De La Vida,The Platinum Collection,Tam Tam Go!,192.8ø
Belleza Pasajera,The Platinum Collection,Tam Tam Go!,190.0ø
Hi Heel Sneakers,The Chess Blues-Rock Songbook: The Classic Originals,Tommy Tucker,176.7ø
Oliva Y Naranja,Los Gitanos Cantan A Lorca,Diego Carrasco,228.6ø
Shotgun,Shake And Fingerpop,Junior Walker,184.8ø
Quiero Verte,30 Del Recuerdo,La Fiebre,196.2ø
Loco Por Tu Amor,15 De Coleccion,La Fiebre,167.9ø
Estoy Triste Otra Vez,Nuestras Mejores Canciones-17 Super,La Fiebre,204.5ø
Corazoncito Divino,Nuestras Mejores Canciones-17 Super,La Fiebre,320.4ø
Con Un Beso,Nuestras Mejores Canciones-17 Super,La Fiebre,159.1ø
Borracho De Besos,Tejano All-Stars: Masterpieces by La Fiebre,La Fiebre,303.6ø
Swamp Report,Instinct,Peter Banks,383.8ø
Sticky Wicket,Instinct,Peter Banks,419.9ø
Shortcomings,Instinct,Peter Banks,493.4ø
No Place Like Home,Instinct,Peter Banks,102.6ø
Never The Same,Instinct,Peter Banks,360.6ø
Instinctive Behavior,Instinct,Peter Banks,46.7ø
Fogbound,Instinct,Peter Banks,138.1ø
Dominating Factor,Instinct,Peter Banks,330.2ø
Code Blue,Instinct,Peter Banks,290.1ø
Anima Mundi,Instinct,Peter Banks,78.8ø
Angels,Instinct,Peter Banks,343.0ø
All Points South,Instinct,Peter Banks,398.7ø
Boogie Woogie,Women Sing And Play Boogie Woogie,Cleo Brown,144.0ø
Sugar Cane,Awake Me In The New World,Peter Rowan,131.5ø
Shaman's Vision,Awake Me In The New World,Peter Rowan,197.7ø
Sailing Home,Awake Me In The New World,Peter Rowan,97.6ø
Remember That I Love You,Awake Me In The New World,Peter Rowan,293.1ø
Pulcinella Sails Away,Awake Me In The New World,Peter Rowan,139.0ø
Maria De Las Rosas,Awake Me In The New World,Peter Rowan,254.9ø
For Gods_ for Kings_ for Gold,Awake Me In The New World,Peter Rowan,330.3ø
Dreams of The Sea,Awake Me In The New World,Peter Rowan,196.5ø
Dance With No Shoes,Awake Me In The New World,Peter Rowan,355.6ø
Dance of Pulcinella,Awake Me In The New World,Peter Rowan,158.1ø
Carribean Woman,Awake Me In The New World,Peter Rowan,279.4ø
Awake Me in The New World,Awake Me In The New World,Peter Rowan,303.2ø
All My Relations,Awake Me In The New World,Peter Rowan,150.2ø
African Banjo,Awake Me In The New World,Peter Rowan,188.4ø
Over You (Once In A Lifetime Album Version),Once In A Lifetime,David Meece,242.7ø
Once In A Lifetime (Once In A Lifetime Album Version),Once In A Lifetime,David Meece,206.1ø
My Father's Chair (Once In A Lifetime Album Version),Once In A Lifetime,David Meece,308.3ø
Living In The Shadows (Once In A Lifetime Album Version),Once In A Lifetime,David Meece,211.2ø
Inside Out (Once In A Lifetime Album Version),Once In A Lifetime,David Meece,240.4ø
Going Home (Once In A Lifetime Album Version),Once In A Lifetime,David Meece,305.3ø
Every Little Step (Once In A Lifetime Album Version),Once In A Lifetime,David Meece,243.5ø
Early In The Morning (Once In A Lifetime Album Version),Once In A Lifetime,David Meece,286.0ø
Brokenness (Once In A Lifetime Album Version),Once In A Lifetime,David Meece,237.1ø
Spotlight,Invitation to Forever,Takara,211.0ø
The Earth Tribe,Earth Songs/Precious Waters,Nando Lauria,344.8ø
Cold Day In July,Between Midnight & Hindsight,Joy Lynn White,242.9ø
Oliver's Army,Fingers And Toes,Screamfeeder,160.1ø
Mouse,Fingers And Toes,Screamfeeder,203.6ø
Button,Burn Out Your Name,Screamfeeder,154.1ø
Wanderlust,Shakespeare Alabama,Diesel Park West,180.7ø
Last Bus To Madison,Shakespeare Alabama,Diesel Park West,234.5ø
Piso Liso,San Cipriano,Los Brujos,115.8ø
Room 213 (Frozen Heart Mix),The Very Beast Of GGFH Volume 1,GGFH,265.8ø
Flesh,The Very Beast Of GGFH Volume 1,GGFH,316.9ø
DMDR (Revenge Mix),The Very Beast Of GGFH Volume 1,GGFH,262.2ø
Why Do I,Spotlite Series - 'Mainline' and 'Casino' Records_ Vol. 1,Lee Andrews_ The Hearts,160.5ø
Teardrops,Doo Wop Classics Vol. 6,Lee Andrews And The Hearts,143.9ø
Show Me the Merengue,Spotlite Series - Gotham Records Vol. 2,Lee Andrews_ The Hearts,154.4ø
Lonely Room,Spotlite Series - Gotham Records Vol. 1,Lee Andrews_ The Hearts,159.6ø
Leona,For Collectors Only,Lee Andrews_ The Hearts,178.1ø
Just Suppose,Spotlite Series - Gotham Records Vol. 2,Lee Andrews_ The Hearts,154.2ø
It's Me,Spotlite Series - Gotham Records Vol. 1,Lee Andrews_ The Hearts,133.4ø
Bluebird of Happiness,Spotlite Series - Gotham Records Vol. 1,Lee Andrews_ The Hearts,155.0ø
Chelsea Girl,Thoroughbread Men,Resistance 77,170.0ø
Full Term Love,Original Hits - The Girls,Monie Love,284.9ø
Waar Moet Ik Heen,Alles Wat Ik Ben,Gordon,146.2ø
The Rhythm Of Love (met Rocq-E-Harrel),Alles Wat Ik Ben,Gordon,291.8ø
Spijt,Alles Wat Ik Ben,Gordon,255.5ø
Samen Met Jou,Alles Wat Ik Ben,Gordon,288.7ø
Liever Gelukkig Alleen,Alles Wat Ik Ben,Gordon,237.9ø
Lag Het Echt Alleen Aan Mij?,Alles Wat Ik Ben,Gordon,290.5ø
Laat Me,Alles Wat Ik Ben,Gordon,363.9ø
Ik Bel Je Zomaar Even Op (edit),Alles Wat Ik Ben,Gordon,228.2ø
En Nu (edit),Alles Wat Ik Ben,Gordon,218.4ø
Elk Moment,Alles Wat Ik Ben,Gordon,256.0ø
Blijf Nou Nog Even (edit),Alles Wat Ik Ben,Gordon,270.0ø
Alles Wat Ik Ben,Alles Wat Ik Ben,Gordon,233.4ø
't Is  Zo Weer Voorbij,Alles Wat Ik Ben,Gordon,218.3ø
Phonecall,Leftover Blues 1991-2003,New Radiant Storm King,240.7ø
Pop Style,Strictly The Best Vol.9,Terror Fabulous,232.0ø
Mr. Big Man,Strictly The Best Vol. 9,Terror Fabulous,232.4ø
Thought I Had The Blues,Too Blues,Larry Garner,291.0ø
Sugar Daddy,Everybody Everywhere,The Badloves,550.0ø
Memphis,The Mushroom Tapes,The Badloves,308.1ø
Lost,The Mushroom Tapes,The Badloves,213.5ø
I Remember,The Mushroom Tapes,The Badloves,190.7ø
Green Limousine,The Mushroom Tapes,The Badloves,228.4ø
Papa De Da Da,Louis Armstrong: Portrait Of The Artist As A Young Man 1923-1934,Clarence Williams' Blue Five,178.8ø
Zuckerfest,Emozioni,Carnival Of Souls,261.5ø
Zillertal (Herne),Emozioni,Carnival Of Souls,211.1ø
Skrollan Ska,Emozioni,Carnival Of Souls,87.1ø
Pikeset,Emozioni,Carnival Of Souls,244.8ø
Calypso Fizz,Emozioni,Carnival Of Souls,180.1ø
Bunny Hop,Emozioni,Carnival Of Souls,220.2ø
Breitcord Connexion,Emozioni,Carnival Of Souls,242.1ø
Bellerphon,Emozioni,Carnival Of Souls,335.1ø
Where I Find My Heaven,Where I Find My Heaven (The Singles Album) & Flippin' Out,Gigolo Aunts,205.0ø
Pin Cushion,Where I Find My Heaven (The Singles Album) & Flippin' Out,Gigolo Aunts,281.4ø
Mrs. Washington,Where I Find My Heaven (The Singles Album) & Flippin' Out,Gigolo Aunts,287.7ø
Gun,Where I Find My Heaven (The Singles Album) & Flippin' Out,Gigolo Aunts,280.0ø
Flippin' Out,Where I Find My Heaven (The Singles Album) & Flippin' Out,Gigolo Aunts,369.9ø
Figurine,Where I Find My Heaven (The Singles Album) & Flippin' Out,Gigolo Aunts,301.3ø
Easy Reader,Where I Find My Heaven (The Singles Album) & Flippin' Out,Gigolo Aunts,235.4ø
Cope,Where I Find My Heaven (The Singles Album) & Flippin' Out,Gigolo Aunts,229.2ø
Bloom,Full-On Bloom,Gigolo Aunts,242.1ø
Sexo en exceso,A cara o cruz,Angeles del Infierno,156.3ø
Rompe con todo esto,A cara o cruz,Angeles del Infierno,236.6ø
Detras de las puertas del mal,A cara o cruz,Angeles del Infierno,183.9ø
Desconocido,A cara o cruz,Angeles del Infierno,218.1ø
Chico tal...,A cara o cruz,Angeles del Infierno,216.8ø
317,A cara o cruz,Angeles del Infierno,236.2ø
THUNDER PEOPLE,Growing Wings,Havana Black,299.1ø
SUNFLOWER,Growing Wings,Havana Black,334.9ø
REAP WHAT I'VE SOWED,Growing Wings,Havana Black,290.1ø
MEAN STEPMOTHER,Growing Wings,Havana Black,332.8ø
MAGIC,Growing Wings,Havana Black,342.7ø
KING OF THE BEGGARS,Growing Wings,Havana Black,289.5ø
GROOVELANDS,Growing Wings,Havana Black,353.3ø
EVIL,Growing Wings,Havana Black,265.1ø
EAST IS RED,Growing Wings,Havana Black,398.1ø
BURN IT DOWN,Growing Wings,Havana Black,250.6ø
Waiting To Shine (LP Version),Illiterature,Adam Schmitt,203.3ø
Three Faces West (LP Version),Illiterature,Adam Schmitt,413.4ø
Thanks For Showing (LP Version),Illiterature,Adam Schmitt,371.6ø
Shreds (LP Version),Illiterature,Adam Schmitt,252.6ø
Rip It Off (LP Version),Illiterature,Adam Schmitt,186.7ø
More Of The Same (LP Version),Illiterature,Adam Schmitt,258.0ø
Me And You (LP Version),Illiterature,Adam Schmitt,256.4ø
Just Listen (LP Version),Illiterature,Adam Schmitt,213.8ø
Illiterature (LP Version),Illiterature,Adam Schmitt,212.9ø
Felt So Cool (LP Version),Illiterature,Adam Schmitt,179.6ø
Catching Up (LP Version),Illiterature,Adam Schmitt,200.7ø
Teen Strap Party,Crossdresser,Evil Mothers,249.1ø
Satin Doll,Encore!,The Boston Pops Orchestra | John Williams,145.6ø
Annie Had A Baby,Golden Decade - Music Of My Life (Vol. 12),The Midnighters,159.6ø
Out Of Work,The Best Of Gary U S Bonds,Gary U.S. Bonds,174.1ø
The Flavor,A River In The Desert,Paul Jackson_ Jr.,287.8ø
The East From The West,A River In The Desert,Paul Jackson_ Jr.,338.9ø
River In The Desert,A River In The Desert,Paul Jackson_ Jr.,306.6ø
Preview Of Coming Attractions,A River In The Desert,Paul Jackson_ Jr.,344.7ø
One O'Clock Blues,A River In The Desert,Paul Jackson_ Jr.,256.8ø
It's A Start,A River In The Desert,Paul Jackson_ Jr.,306.7ø
If I Go Away,A River In The Desert,Paul Jackson_ Jr.,270.6ø
Heaven Must Be Like This,A River In The Desert,Paul Jackson_ Jr.,348.6ø
End Of The Road,A River In The Desert,Paul Jackson_ Jr.,328.2ø
Alain,A River In The Desert,Paul Jackson_ Jr.,325.7ø
