Que Loco,20th Anniversary,Grupo Mania,211.8ø
Baila Suave,A Buena Vista: Barrio de la Habana,Soneros de Verdad,205.4ø
A Buena Vista,A Buena Vista: Barrio de la Habana,Soneros de Verdad,192.9ø
I Adore,Clubland Classix,Clear Vu,210.6ø
Little Shoes,As Roses Bow: Collected Airs 1992 - 2002,Loren Connors,148.4ø
Verbal Abuse,The final Oddition,Voice Of A Generation,148.6ø
The Upbringing,The final Oddition,Voice Of A Generation,152.5ø
Itching Fingers,The final Oddition,Voice Of A Generation,100.9ø
Democracy Is Dead,The final Oddition,Voice Of A Generation,203.5ø
Crap Received,The final Oddition,Voice Of A Generation,158.5ø
Cause For Alarm,The final Oddition,Voice Of A Generation,178.5ø
Casualties Of War,The final Oddition,Voice Of A Generation,144.3ø
Bastard,The final Oddition,Voice Of A Generation,76.1ø
Baseballbat,Oddville Preservers,Voice Of A Generation,118.6ø
450 Days,The final Oddition,Voice Of A Generation,172.9ø
Yo ya no,Discazo,L-Kan,208.9ø
Yo hablo otro dialecto,Discazo,L-Kan,268.9ø
Todo por placer,Discazo,L-Kan,186.8ø
Te prefiero sucio,Discazo,L-Kan,145.4ø
Souvenir,Discazo,L-Kan,116.7ø
Shopper de una intelectual,Discazo,L-Kan,215.2ø
Novios,Discazo,L-Kan,221.0ø
Nanana Nanana,Discazo,L-Kan,218.2ø
Mi cociente es diferente,Discazo,L-Kan,201.4ø
Me lo paso bien,Discazo,L-Kan,239.2ø
La pilingui_ la perdida_ su mujer y su amante,Discazo,L-Kan,181.6ø
La mancha de mora,Discazo,L-Kan,273.7ø
Cuentos chinos,Discazo,L-Kan,246.5ø
Aburrida de estar salida (summer power - bolmer),Discazo,L-Kan,282.7ø
Aburrida de estar salida (impulso sexual remix - soundfiction),Discazo,L-Kan,212.5ø
Aburrida de estar salida,Discazo,L-Kan,213.6ø
Mary Of The Wild Moor,East Virginia Blues (When The Sun Goes Down Series),Blue Sky Boys,175.1ø
Impossible Love,The Late Great Daniel Johnston: Discovered Covered,Gordon Gano,289.6ø
Zamuchi Se Bozha Majka (Bulgaria),Wintersongs,Kitka,157.5ø
Tsarsko Momche Kon Sedlae (Bulgaria),Wintersongs,Kitka,141.4ø
Tec Peleite Zernju Zogtu (Latvia),Wintersongs,Kitka,186.7ø
Sculati Gazde Nu Dormiti (Romania),Wintersongs,Kitka,83.1ø
Otche Nash (Russia Bulgaria),Wintersongs,Kitka,146.8ø
Oj U Horodi (Ukraine),Wintersongs,Kitka,280.5ø
Oj Jak Priletaly Taj Dva Sokolonky (Ukraine),Wintersongs,Kitka,119.7ø
Ma Navu (Israel),Wintersongs,Kitka,157.3ø
Dontojno Jest (Bulgaria),Wintersongs,Kitka,261.0ø
Domnulet Si Domn Din Cer (Romania),Wintersongs,Kitka,212.2ø
Byla Cesta (Moravia),Wintersongs,Kitka,198.0ø
Bozha Zvezda (Bulgarian Macedonia),Wintersongs,Kitka,130.4ø
Ayios Vasilis (Greece),Wintersongs,Kitka,255.3ø
Alilo (Georgia),Wintersongs,Kitka,164.1ø
A v Jerusalime (South Russia Ukraine),Wintersongs,Kitka,144.7ø
CQ (Seek You),CQ (Seek You) / So Please,EnMass,533.2ø
Urgence,Belles De Zouk,Sonia Dersion,269.9ø
Tu Le Seras,Les tubes du Zouk 2006,Sonia Dersion,289.9ø
Trop souvent,Les 4 saisons de Sonia Dersion,Sonia Dersion,237.3ø
Tes vacances avec moi,Zouk Essentials_ Vol. 4 - EP,Sonia Dersion,299.2ø
Petit roi,Les 4 saisons de Sonia Dersion,Sonia Dersion,311.0ø
Nouveau jour,Les 4 saisons de Sonia Dersion,Sonia Dersion,265.6ø
Jeannot,Zouk Essentials_ Vol. 1 - EP,Sonia Dersion,220.3ø
Interlude (tambour),Les 4 saisons de Sonia Dersion,Sonia Dersion,63.2ø
Interlude (piano),Les 4 saisons de Sonia Dersion,Sonia Dersion,97.3ø
I baw,Les 4 saisons de Sonia Dersion,Sonia Dersion,273.9ø
Compas,Les 4 saisons de Sonia Dersion,Sonia Dersion,204.3ø
