Le Rapt,Live 98 En Passant,Jean-Jacques Goldman,302.3ø
Lean On Me,Hollywood_ Tennessee + True Love,Crystal Gayle,164.1ø
Keepin' Power,Hollywood_ Tennessee + True Love,Crystal Gayle,189.4ø
Summer Strut,Freetime,Spyro Gyra,306.1ø
Pacific Sunrise,Freetime,Spyro Gyra,471.7ø
Elegy for Trane,Freetime,Spyro Gyra,279.6ø
Amber Dream,Freetime,Spyro Gyra,310.8ø
Straight From The Heart,Live for Ya Ass,Con Funk Shun,265.4ø
Bad Lady,Definitive Collection,Con Funk Shun,249.2ø
You Almost Slipped My Mind,Anthology,Charley Pride,169.0ø
Roll On Mississippi,Anthology,Charley Pride,214.7ø
Ways Of The Dub,New Chapter,Aswad,295.9ø
Love Fire,The Complete BBC Sessions,Aswad,351.9ø
Ina Your Rights,New Chapter,Aswad,280.9ø
Candles,The Complete BBC Sessions,Aswad,284.4ø
African Children,Live & Direct,Aswad,350.5ø
This Town,Beauty And The Beat,Go-Go's,200.4ø
Our Lips Are Sealed,Beauty And The Beat,Go-Go's,165.8ø
Soldier Boy,Still Bollox But Still Here,The Varukers,105.2ø
Protest And Survive,The Riot City Years 1983-1984,The Varukers,138.0ø
Marie Laveau,American Idols - Bobby Bare,Bobby Bare,183.3ø
The Impending Death of the Virgin Spirit,It Takes A Year,Will Ackerman,332.5ø
Processional,Sounds Of Wood & Steel: A Windham Hill Collection,Will Ackerman,271.6ø
Hawk Circle,Sound Of Wind Driven Rain,Will Ackerman,562.8ø
Anne's Song,Pure Will Ackerman,Will Ackerman,219.0ø
Stop Turn,Wolf,Trevor Rabin,246.0ø
Open Ended,Wolf,Trevor Rabin,203.0ø
Lost In Love,Wolf,Trevor Rabin,227.8ø
Long Island,Wolf,Trevor Rabin,220.9ø
Do Ya Do Ya Want Me,Wolf,Trevor Rabin,209.0ø
Wir Leben Alle Im Erdgeschoss,Reine Nervensache,Heinz Rudolf Kunze,246.3ø
Out Of The Picture,Black Snake Diamond Role,Robyn Hitchcock,221.8ø
Love,I Wanna Go Backwards Box Set,Robyn Hitchcock,285.7ø
Te Quiero,Los Romanticos- Jose Luis Perales,Jose Luis Perales,229.9ø
Ella Y El,Originales (20 Exitos),Jose Luis Perales,187.1ø
The Boogie,Raw Live' n' Blue,Savoy Brown,393.4ø
Europa And The Pirate Twins (Extended Version),12 X 12,Thomas Dolby,243.5ø
Women,Live! Beg_ Borrow & Steal: October 31_ 1981 Whisky A Go Go,The Plimsouls,192.1ø
Now,Live! Beg_ Borrow & Steal: October 31_ 1981 Whisky A Go Go,The Plimsouls,178.2ø
Lost Time,Live! Beg_ Borrow & Steal: October 31_ 1981 Whisky A Go Go,The Plimsouls,205.9ø
I Want You Back,Live! Beg_ Borrow & Steal: October 31_ 1981 Whisky A Go Go,The Plimsouls,148.0ø
Everyday Things,Live! Beg_ Borrow & Steal: October 31_ 1981 Whisky A Go Go,The Plimsouls,138.1ø
Triangle,Singles and Sessions 1979-1981,Delta 5,199.4ø
Shadow,Singles and Sessions 1979-1981,Delta 5,160.1ø
Make Up,Singles and Sessions 1979-1981,Delta 5,174.2ø
Journey,Singles and Sessions 1979-1981,Delta 5,178.6ø
Innocenti,Singles and Sessions 1979-1981,Delta 5,123.0ø
Final Scene,Singles and Sessions 1979-1981,Delta 5,181.9ø
Delta 5,Singles and Sessions 1979-1981,Delta 5,111.8ø
Circuit,Singles and Sessions 1979-1981,Delta 5,116.9ø
Head Above The Waves (2000 Digital Remaster),Anthology,The Babys,170.5ø
Weekend,Come Ti Va In Riva Alla Citta',Premiata Forneria Marconi,291.7ø
Rock In La,Come Ti Va In Riva Alla Citta',Premiata Forneria Marconi,265.3ø
Quartiere Otto,Performance,Premiata Forneria Marconi,421.4ø
Poeta Mancato,Come Ti Va In Riva Alla Citta',Premiata Forneria Marconi,181.5ø
Indians,Come Ti Va In Riva Alla Citta',Premiata Forneria Marconi,278.3ø
Come Ti Va,35...e un minuto,Premiata Forneria Marconi,339.7ø
Chi Ha Paura Della Notte?,P.F.M. Story,Premiata Forneria Marconi,269.0ø
Clockwork,Pure Alex de Grassi,Alex de Grassi,369.9ø
Unseen Eyes,Reggae Street,The Mighty Diamonds,239.9ø
Survival,Reggae Street,The Mighty Diamonds,229.5ø
Stay Far,Reggae Street,The Mighty Diamonds,213.8ø
Not Ethiopia,The Brecker Brothers Collection Vol.2,The Brecker Brothers,345.3ø
Jacknife,The Brecker Brothers Collection Vol.2,The Brecker Brothers,380.9ø
You're Nicked (Live At City Of London Polytechnic),Live,Angelic Upstarts,187.1ø
Two Million Voices,Blood On The Terraces,Angelic Upstarts,178.5ø
Leave Me Alone (Live At City Of London Polytechnic),Live,Angelic Upstarts,160.0ø
Kids On The Street,Live And Loud,Angelic Upstarts,135.9ø
I Understand (Live At City Of London Polytechnic),Live,Angelic Upstarts,270.4ø
Ghost Town,2_000_000 Voices,Angelic Upstarts,167.6ø
White Sweater,Warm_ In Your Coat,Romeo Void,290.0ø
Talk Dirty (To Me),Warm_ In Your Coat,Romeo Void,289.1ø
Myself To Myself,Warm_ In Your Coat,Romeo Void,224.7ø
I Mean It,Warm_ In Your Coat,Romeo Void,341.6ø
Charred Remains,Warm_ In Your Coat,Romeo Void,185.1ø
Train to Zion,Train to Zion,Linval Thompson,181.2ø
Swallow It,Incontinent,Fad Gadget,343.0ø
Saturday Night Special,Incontinent,Fad Gadget,399.8ø
Plain Clothes,Mute: Audio Documents,Fad Gadget,203.0ø
Manual Dexterity,Incontinent,Fad Gadget,215.8ø
Make Room,Mute: Audio Documents,Fad Gadget,252.9ø
Lady Shave,Frank Tovey By Fad Gadget,Fad Gadget,346.2ø
King Of The Flies,Mute: Audio Documents,Fad Gadget,184.3ø
Innocent Bystander,Snakes And Ladders,Fad Gadget,388.9ø
Incontinent,Incontinent,Fad Gadget,207.3ø
Diminished Responsibility,Incontinent,Fad Gadget,353.4ø
Blind Eyes,Incontinent,Fad Gadget,305.0ø
The Angle,Entomology,Josef K,160.1ø
Sorry For Laughing,Entomology,Josef K,179.7ø
Revelation,Entomology,Josef K,257.6ø
Heart of Song,Entomology,Josef K,174.9ø
Forever Drone,Entomology,Josef K,121.9ø
Endless Soul,Entomology,Josef K,150.0ø
Crazy to Exist,Entomology,Josef K,178.5ø
Citizens,Entomology,Josef K,187.1ø
16 Years,Entomology,Josef K,152.8ø
Somerset Maugham,Collection,Alain Souchon,227.6ø
Killing Machine,Police Story,Partisans,97.7ø
Who No Waan Come,Wailing,Wailing Souls,206.1ø
Who Do Waan Come,Wailing,Wailing Souls,205.8ø
Scientific Dub Mix Version 3,Wailing,Wailing Souls,145.4ø
Scientific Dub Mix Version 2,Wailing,Wailing Souls,160.3ø
Scientific Dub Mix Version 1,Wailing,Wailing Souls,200.3ø
Rudy Say Him Bad,Wailing,Wailing Souls,182.4ø
Penny I Love You Dub,Wailing,Wailing Souls,199.9ø
Penny I Love You,Wailing,Wailing Souls,198.1ø
Old Broom,Unmetered Taxi,The Wailing Souls,216.0ø
Face The Dub,Wailing,Wailing Souls,145.8ø
Face the Devil,Wailing,Wailing Souls,198.6ø
Dont Be Down Hearted,Wailing,Wailing Souls,190.9ø
Don't Be Down Hearted,Wailing,Wailing Souls,191.2ø
Bonus Track (Wailing),Wailing,Wailing Souls,374.1ø
Bonus Track (Wailing Version),Wailing,Wailing Souls,286.8ø
Playing It Right Dub,Playing It Cool,Keith Hudson,111.4ø
Playing It Cool,Playing It Cool,Keith Hudson,117.3ø
Formula Dub,Playing It Cool,Keith Hudson,172.3ø
By Night Dub,Playing It Cool,Keith Hudson,168.6ø
Be What You Want To Be,Playing It Cool,Keith Hudson,157.8ø
Be Good Dub,Playing It Cool,Keith Hudson,141.4ø
Funky Stuff,Mambo Nassau,Lizzy Mercier Descloux,251.4ø
Summer Heat,Super Hits,Brick,288.8ø
You Should Know By Now,Something About You,Angela Bofill,209.3ø
Tropical Love,Something About You,Angela Bofill,358.1ø
Stop Look Listen,Something About You,Angela Bofill,271.0ø
Something About You,Something About You,Angela Bofill,243.4ø
Rhythm Of Your Mind,Something About You,Angela Bofill,207.6ø
Only Love,Something About You,Angela Bofill,266.8ø
On And On,Something About You,Angela Bofill,202.7ø
Never Wanna Be Without Your Love,Something About You,Angela Bofill,235.1ø
Love Light,Something About You,Angela Bofill,235.7ø
I Do Love You,Something About You,Angela Bofill,273.4ø
Holdin' Out For Love,Something About You,Angela Bofill,202.5ø
Esperando Al Amor,Something About You,Angela Bofill,226.4ø
Break It To Me Gently,Platinum & Gold Collection,Angela Bofill,234.8ø
Elle Rit,Bulles,Michel Polnareff,253.6ø
Trappole,La Forza Dell'amore 2,Eugenio Finardi,205.9ø
Patrizia,Suono,Eugenio Finardi,188.7ø
Rubbermiro,Remixes,Liquid Liquid,403.0ø
New Walk,Liquid Liquid,Liquid_ Liquid,127.3ø
Lub Dupe,Slip In And Out Of Phenomenon,Liquid Liquid,146.7ø
Lock Groove (Out),Slip In And Out Of Phenomenon,Liquid Liquid,246.3ø
Groupmegroup,Slip In And Out Of Phenomenon,Liquid Liquid,209.1ø
Eyes Sharp,Slip In And Out Of Phenomenon,Liquid Liquid,137.3ø
Bell Head,Liquid Liquid,Liquid_ Liquid,139.0ø
The Lunatics (Have Taken Over The Asylum),Really Saying Something - The Best Of Fun Boy Three,Fun Boy Three,196.1ø
Un Amore Vuol Dire,Gli Anni Che Verranno&,Giorgio Gaber,161.0ø
Lo Sai Che Sei Bella,Gli Anni Che Verranno&,Giorgio Gaber,157.0ø
E Allora Dai,Gli Anni Che Verranno&,Giorgio Gaber,250.3ø
Al Bar Del Corso,Gli Anni Che Verranno&,Giorgio Gaber,173.0ø
Will I What?,Rub A Dub,Judge Dread,177.6ø
Hello Baby,Rub A Dub,Judge Dread,165.5ø
Brewers Droop,Rub A Dub,Judge Dread,194.5ø
Amazing Dread,Rub A Dub,Judge Dread,343.8ø
The Jumping Master,World War III,Mikey Dread,309.8ø
Break Down The Walls,Best Sellers,Mikey Dread,270.4ø
Structure,The Ascension,Glenn Branca,183.2ø
Lesson No. 2,The Ascension,Glenn Branca,293.4ø
Banned From The Pubs,Best Of Anagram,Peter & The Test Tube Babies,123.1ø
Summer Nite,Beyond The Valley Of 1984,The Plasmatics,286.9ø
Sex Junkie,Beyond The Valley Of 1984,The Plasmatics,188.5ø
Plasma Jam (Live in Milan),Beyond The Valley Of 1984,The Plasmatics,488.6ø
Pig Is a Pig,Beyond The Valley Of 1984,The Plasmatics,295.9ø
Lunacy,New Hope for the Wretched / Metal Priestess,The Plasmatics,308.5ø
Hitman (Live in Milan),Beyond The Valley Of 1984,The Plasmatics,226.1ø
Headbanger,Beyond The Valley Of 1984,The Plasmatics,205.9ø
Fast Food Service,New Hope For The Wretched,Plasmatics,102.1ø
Black Leather Monster,Put Your Love In Me,The Plasmatics,222.0ø
Your Move (LP Version),Miracles,Change,266.1ø
Stop For Love (LP Version),Miracles,Change,252.0ø
Paradise (LP Version),Miracles,Change,308.8ø
On Top (LP Version),Miracles,Change,317.3ø
Miracles (LP Version),Miracles,Change,326.9ø
Hold Tight (LP Version),Miracles,Change,272.3ø
Hold Tight,Eau De Musique,Change,250.6ø
Heaven (LP Version),Miracles,Change,338.5ø
Schuitog (Schooldays),Dolce Vita,Spider Murphy Gang,187.0ø
Long Holiday,Sex (Birds & Bees),Telex,131.1ø
Haven't We Met Somewhere Before?,Sex (Birds & Bees),Telex,215.4ø
Exercise Is Good For You,Sex (Birds & Bees),Telex,214.1ø
Carbon Copy,Sex (Birds & Bees),Telex,393.0ø
Einmal Schafft's Jeder,Best of Comedian Harmonists,Comedian Harmonists,169.6ø
Voice Of Youth,When The Punks Go Marching In,Abrasive Wheels,153.8ø
Vicious Circle,Riot City Records - The Punk Singles Collection,Abrasive Wheels,155.2ø
So Slow,When The Punks Go Marching In,Abrasive Wheels,95.3ø
Juvenile,When The Punks Go Marching In,Abrasive Wheels,126.1ø
Attack,When The Punks Go Marching In,Abrasive Wheels,138.1ø
Army Song,When The Punks Go Marching In,Abrasive Wheels,115.0ø
Paint Your Pretty Picture,Amazing,Elkie Brooks with The Royal Philharmonic Orchestra,242.3ø
Lilac Wine,Amazing,Elkie Brooks with The Royal Philharmonic Orchestra,299.8ø
Givin' It Up For Your Love,Pearls,Elkie Brooks,234.4ø
Fool If You Think It's Over,Sunshine After The Rain: The Collection,Elkie Brooks,296.9ø
Don't Cry Out Loud,Amazing,Elkie Brooks with The Royal Philharmonic Orchestra,305.5ø
Years Away,Evacuate,Chelsea,203.7ø
Rockin' Horse,Live At The Bier Keller,Chelsea,256.2ø
New Era,Evacuate,Chelsea,230.1ø
How Do You Know,The Punk Singles Collection 1977-82,Chelsea,193.6ø
Freemans,Evacuate,Chelsea,193.9ø
Fools And Soldiers,Chelsea,Chelsea,202.5ø
Evacuate,Live At The Bier Keller,Chelsea,216.5ø
