Four Men in the Rain,Early Plague Years,Thinking Plague,153.4ø
Gemini,Guitar Conceptions,Elek Bacsik,248.9ø
Please Don't Make Me Cry,Reggae Chartbusters Vol. 5,Winston Groovy,206.2ø
On The Strip,We Name The Guilty Men,Rocket City Riot,220.3ø
Keeper,Epithalamia,Con Dolore,468.1ø
I'm Jealous,100 Greatest Rockabilly Hits,Werly Fairburn,138.4ø
Daydream Believer,Songs From Dawson's Creek - Vol. II,Mary Beth Maziarz,210.8ø
Visible Distance,The Switch is Down,Universal Order of Armaggedon,85.1ø
Symptom,The Switch is Down,Universal Order of Armaggedon,158.0ø
Flux,The Switch is Down,Universal Order of Armaggedon,68.2ø
7th Day,Tranceformation Vol.4,Mr. Phillips,424.7ø
Keine Angst,Austropop Kult,Hansi Lang,340.4ø
Mouth,Confiote de Bits / A Remix Collection,Iz & Diz,441.3ø
Biolatinoids,Escape To Formentera,Iz & Diz,337.7ø
I Know You're It,Heavy Hitters: Time To Jackk Compilation,Aphrohead,415.2ø
Wo kommt das Weinen her,Tim Fischer singt Kreisler,Tim Fischer,187.4ø
Die Gattin,Tim Fischer singt Georg Kreislers Gnadenlose Abrechnung,Tim Fischer,326.9ø
Whores_ Freaks_ Saints And Angels,Feedback,Dirty Beatniks,325.2ø
The New Adventures Of Sandy And Bud,Feedback,Dirty Beatniks,262.2ø
Suicide Mission,Feedback,Dirty Beatniks,366.3ø
Low Rock,Feedback,Dirty Beatniks,320.7ø
Let Me Be Your Ashtray,Feedback,Dirty Beatniks,333.7ø
Kris Kristofferson,Feedback,Dirty Beatniks,320.5ø
Curled Up In A Bassbin,Feedback,Dirty Beatniks,388.7ø
Bullet Proof,Feedback,Dirty Beatniks,297.4ø
Any Flavour But Vanilla,Feedback,Dirty Beatniks,316.6ø
The Hitching Post,Original soundtrack,Not From There,258.4ø
Lying On The Truth,Stax Profiles - Rance Allen,Rance Allen Group,221.1ø
I Got Texas In My Soul,Vintage Collections,Tex Williams,177.6ø
Sounds Of Africa,Ragtime To Jazz 2 1916 - 1922,Eubie Blake,187.5ø
Into The Dawn,Chilled Euphoria,Accadia,233.9ø
The Blinds,Needle and Thread,Agents of Good Roots,222.2ø
Sultans Of Swing,Seed,Agents of Good Roots,417.2ø
Meet Me on Main Street,Needle and Thread,Agents of Good Roots,359.9ø
John Brown,Needle and Thread,Agents of Good Roots,257.3ø
Innocent Days,Needle and Thread,Agents of Good Roots,226.0ø
Exodus of Left,Straight Around,Agents of Good Roots,373.6ø
Zero Hours,I Wanna Be Your Pants,Huffamoose,157.0ø
She Don't Get It,I Wanna Be Your Pants,Huffamoose,234.3ø
Semper Fi,I Wanna Be Your Pants,Huffamoose,419.4ø
Sad In Your Eyes,I Wanna Be Your Pants,Huffamoose,94.2ø
My Dad's New Hit Song,I Wanna Be Your Pants,Huffamoose,206.9ø
Johnny Depp Day,I Wanna Be Your Pants,Huffamoose,289.0ø
Isn't It Remarkable,I Wanna Be Your Pants,Huffamoose,247.8ø
Inspirational Song,I Wanna Be Your Pants,Huffamoose,168.0ø
I Wanna Be Your Pants,I Wanna Be Your Pants,Huffamoose,214.9ø
Him In A Magazine,I Wanna Be Your Pants,Huffamoose,212.8ø
Half Empty,I Wanna Be Your Pants,Huffamoose,206.1ø
Canada,I Wanna Be Your Pants,Huffamoose,260.5ø
Bonus Track,I Wanna Be Your Pants,Huffamoose,222.4ø
Beautiful Town,I Wanna Be Your Pants,Huffamoose,183.3ø
Venus Nabalera,Safari Beach (Tucasa Micasa),Mau Mau,331.4ø
Una Lunga Estate Calda,Safari Beach (Tucasa Micasa),Mau Mau,237.8ø
Temporale,Safari Beach (Tucasa Micasa),Mau Mau,287.2ø
Solo Tu,Safari Beach (Tucasa Micasa),Mau Mau,373.0ø
Micasa Tucasa,Safari Beach (Tucasa Micasa),Mau Mau,258.4ø
Gwami Moloko,Safari Beach (Tucasa Micasa),Mau Mau,247.5ø
Gamble Calypso,Safari Beach (Tucasa Micasa),Mau Mau,232.1ø
Due Cuori,Safari Beach (Tucasa Micasa),Mau Mau,306.0ø
Chiamami,Safari Beach (Tucasa Micasa),Mau Mau,167.8ø
C'Est La Vie,Safari Beach (Tucasa Micasa),Mau Mau,106.1ø
Basura,Safari Beach (Tucasa Micasa),Mau Mau,250.1ø
You Should Have Been There,Suikerspin,Melys,256.8ø
Un Darllenwr Lwcus,Suikerspin,Melys,224.9ø
Porn Myself,Suikerspin,Melys,254.2ø
All Played Out,Suikerspin,Melys,255.9ø
Long Ways From Home,Juke Joint Saturday Night: Piano Blues Rags & Stomps,Louise Johnson,207.8ø
All Night Long Blues,Juke Joint Saturday Night: Piano Blues Rags & Stomps,Louise Johnson,190.0ø
This Is Your Loife,The Sickest Men In Town!,Vicious Rumours,209.6ø
Tu Y Las Nubes,Enlace,Miguel Aceves Mejia,199.2ø
Rogaciano,Tesoros De Coleccion - Miguel Aceves Mejia,Miguel Aceves Mejia,197.7ø
Gorrioncillo Pecho Amarillo,Personalidad,Miguel Aceves Mejia,167.9ø
Fallaste Corazon,Miguel Aceves Mejia Y Las Canciones De Cuco Sanchez,Miguel Aceves Mejia,191.4ø
Escaleras De La Carcel,Miguel Aceves Mejia Y Las Canciones De Cuco Sanchez,Miguel Aceves Mejia;El Mariachi Mexico,162.0ø
Ella,Enlace,Miguel Aceves Mejia,149.6ø
Sorry (I Didn't Know) (Original Radio Edit),Sorry,Monsta Boy,250.2ø
Travelers & Tube Steaks,F. Jackie,Jackie Martling,257.5ø
Sharers & Soloists,F. Jackie,Jackie Martling,258.1ø
Dunkers & Delicacies,F. Jackie,Jackie Martling,183.3ø
Dooties & Deception,F. Jackie,Jackie Martling,261.6ø
Icky Bitch,Live on WMSE,Sacred Order,126.6ø
Transatlantic Lullaby,The Age Of Style - Hits of the 30s,Adelaide Hall,193.2ø
The Blues I Love To Sing,Ladies Sing The Blues,Adelaide Hall,189.4ø
Shake Down The Stars,Hit Club_ The Hits 1940,Adelaide Hall,184.7ø
Saturday Night Boogie,Texas Swing - Country,Al Dexter,161.4ø
There Is Something On Your Mind,The Hollywood Flames,The Hollywood Flames,179.9ø
Everytime It Rains,Lovers Bash,Calibe,214.5ø
The Trail Of The Lonesome Pine,Putting On The Smile,Laurel & Hardy,146.8ø
Sweet Little Angel,Sweet Little Angel (1978) (Blues Reference),John Littlejohn,451.4ø
Please Love Me,Sweet Little Angel (1978) (Blues Reference),John Littlejohn,443.6ø
Next Time You See Me,Sweet Little Angel (1978) (Blues Reference),John Littlejohn,305.4ø
Burro Beat,Sweet Little Angel (1978) (Blues Reference),John Littlejohn,362.8ø
Varafied,Jetty Subject To High Surf,The Vara-Tones,163.6ø
Vara-Tone Stomp,Jetty Subject To High Surf,The Vara-Tones,172.2ø
The Jetty,Jetty Subject To High Surf,The Vara-Tones,191.2ø
Surf Blaster,Jetty Subject To High Surf,The Vara-Tones,194.9ø
Sunset At The Wedge,Jetty Subject To High Surf,The Vara-Tones,209.2ø
Repeto 2000,Jetty Subject To High Surf,The Vara-Tones,131.8ø
Repeto ('64),Jetty Subject To High Surf,The Vara-Tones,127.6ø
Rendezvous Run,Jetty Subject To High Surf,The Vara-Tones,173.6ø
Over The Edge,Jetty Subject To High Surf,The Vara-Tones,154.3ø
Midnight In Mazatlan,Jetty Subject To High Surf,The Vara-Tones,178.5ø
Invasion Of The V-People,Jetty Subject To High Surf,The Vara-Tones,170.7ø
Groo-V-Chicken,Jetty Subject To High Surf,The Vara-Tones,150.7ø
El Sereno,Jetty Subject To High Surf,The Vara-Tones,252.3ø
Drumbox,Jetty Subject To High Surf,The Vara-Tones,190.3ø
What Do I Do,All The Hits,Phil Fearon & Galaxy,209.0ø
I Can Prove It,All The Hits,Phil Fearon & Galaxy,238.8ø
Structure 7,Structures,Kotebel,403.3ø
Structure 6,Structures,Kotebel,425.6ø
Structure 4,Structures,Kotebel,249.5ø
Structure 3,Structures,Kotebel,483.6ø
Structure 2,Structures,Kotebel,340.7ø
Jo Ann Waltz,The Best Of Frankie Yankovic,Frankie Yankovic,160.3ø
Bar Room Polka,The Best Of Frankie Yankovic,Frankie Yankovic,173.2ø
Somewhere To Lay My Head,Kings Of The Gospel Highway,The Sensational Nightengales,159.0ø
Lord Have Mercy,Kings Of The Gospel Highway,The Sensational Nightengales,160.9ø
I'm Coming Up Lord,Kings Of The Gospel Highway,The Sensational Nightengales,147.0ø
God's Word Will Never Pass Away,Kings Of The Gospel Highway,The Sensational Nightengales,151.8ø
Yesterdays,Mad About the Boy,Gogi Grant,183.7ø
The Thrill is Gone,Mad About the Boy,Gogi Grant,163.0ø
The More I See You,Mad About the Boy,Gogi Grant,202.2ø
Poor Butterfly,Mad About the Boy,Gogi Grant,195.6ø
My Man,Mad About the Boy,Gogi Grant,290.8ø
Mad About the Boy,Mad About the Boy,Gogi Grant,204.5ø
How Deep is the Ocean,Mad About the Boy,Gogi Grant,251.0ø
Tico Tico,Gonna Rock'n'Roll_ Gonna Dance All Night,Hardrock Gunter,199.7ø
Spring Has Sprung,Gonna Rock'n'Roll_ Gonna Dance All Night,Hardrock Gunter,187.9ø
Rifle Belt and Bayonet,Gonna Rock'n'Roll_ Gonna Dance All Night,Hardrock Gunter,172.6ø
My Bucket's Been Fixed,Gonna Rock'n'Roll_ Gonna Dance All Night,Hardrock Gunter,185.2ø
Maybe Baby You'll Be True,Gonna Rock'n'Roll_ Gonna Dance All Night,Hardrock Gunter,151.7ø
It Can't Be Right,Gonna Rock'n'Roll_ Gonna Dance All Night,Hardrock Gunter,109.8ø
I'll Go Chasin' Women,Gonna Rock'n'Roll_ Gonna Dance All Night,Hardrock Gunter,156.6ø
Guitar on the Mountain,Gonna Rock'n'Roll_ Gonna Dance All Night,Hardrock Gunter,74.5ø
Go Low Boogie,Gonna Rock'n'Roll_ Gonna Dance All Night,Hardrock Gunter,156.0ø
Bonaparte's Retreat,Gonna Rock'n'Roll_ Gonna Dance All Night,Hardrock Gunter,159.3ø
Beggars Can't Be Choosers,Gonna Rock'n'Roll_ Gonna Dance All Night,Hardrock Gunter,132.1ø
If You Want to Soar with the Angels,Darla 100,Transient Waves,413.7ø
Et Si ... ?,Black Mama,Lady Laistee,234.8ø
Garden In The Sky,Oh Brother_ Where Art Thou?,The Blue Sky Boys,165.6ø
When The Sun Comes Out,Especially For You,Helen O'Connell & the Jimmy Dorsey Orchestra,203.3ø
Tangerine,Especially For You,Helen O'Connell_ Bob Eberly & the Jimmy Dorsey Orchestra,194.8ø
Six Lessons From Madame La Zonga,The Greatest Hits from 40's and 50's_ Vol. 54,Helen O'Connell,182.4ø
Little Curly Hair In A High Chair,Especially For You,Helen O'Connell & the Jimmy Dorsey Orchestra,193.1ø
Boog It,Especially For You,Helen O'Connell & the Jimmy Dorsey Orchestra,178.3ø
Lift Off,Cocadisco,The Parallax Corporation,353.1ø
Crocodiles In The Sky,Cocadisco,The Parallax Corporation,242.3ø
Anti Social Tendencies,Cocadisco,The Parallax Corporation,397.4ø
El Guajiro De Cunagua,Guaracha-Son With Celina Gonzales_ Caridad Cuervo_ Robert Sanchez & Felix Reina,Orquesta America,256.9ø
Prisons Vs. Preschools,The Ecstasy of the Agony,Mumia Abu-Jamal,113.4ø
Witness To The Crime,Shake A Hand,Faye Adams,133.4ø
Through the Snake's Eyes,Shattered Images,La tulipe noire,448.4ø
The Haze,Shattered Images,La tulipe noire,598.4ø
In the Gardens of Eden,Shattered Images,La tulipe noire,455.2ø
Empty Streets,Shattered Images,La tulipe noire,320.1ø
Driving In the Rain,Shattered Images,La tulipe noire,340.3ø
Blind World,Headtrip To Nowhere,Flybanger,243.5ø
Grievin' My Heart Out for You,You Are My Sunshine,Jimmie Davis,179.3ø
Blitzkrieg Baby,Swing Groups (Lester Young Volume 1 1938-41),Una Mae Carlisle,202.5ø
Fonsagrada,Susana Seivane,Susana Seivane,205.5ø
Today Won't Be The Same,How About San Francisco?,The Galactic Heroes,107.0ø
The Summer Project,How About San Francisco?,The Galactic Heroes,152.9ø
The Hit,How About San Francisco?,The Galactic Heroes,86.9ø
Tennessee,How About San Francisco?,The Galactic Heroes,104.6ø
Shut Up and Rock,How About San Francisco?,The Galactic Heroes,86.8ø
Shai-ya,How About San Francisco?,The Galactic Heroes,138.4ø
Porch Swing,How About San Francisco?,The Galactic Heroes,216.7ø
Philadelphia,How About San Francisco?,The Galactic Heroes,180.2ø
Neat Street,How About San Francisco?,The Galactic Heroes,123.0ø
Ice Skating,How About San Francisco?,The Galactic Heroes,114.6ø
Heroes and Villains,How About San Francisco?,The Galactic Heroes,177.4ø
Copy Cop,How About San Francisco?,The Galactic Heroes,120.8ø
Cherokee,How About San Francisco?,The Galactic Heroes,120.9ø
Body Touch_ No Deposit No Return,How About San Francisco?,The Galactic Heroes,120.7ø
Baby Blue Volvo,How About San Francisco?,The Galactic Heroes,167.5ø
Tyro,Deep Elm Sampler No. 2 - Records For The Working Class II,Pave The Rocket,179.6ø
Face Smash,Deep Elm Sampler No. 1 - Records For the Working Class,Pave The Rocket,182.9ø
Drool,Deep Elm Sampler No. 1 - Records For the Working Class,Pave The Rocket,172.2ø
Nuh Play Chess,Reggae Gold 2000,Madd Anju,214.6ø
Matthew,Take Me Home: A Tribute To John Denver,Granfaloon Bus,240.2ø
Its Only The Beginning,String Of Pearls,Deborah Conway,281.7ø
Vivo Andando,Disritmia,Jairzinho Oliveira,355.3ø
Vem-Q-Tem,Disritmia,Jairzinho Oliveira,225.0ø
Falta Dizer,Disritmia,Jairzinho Oliveira,311.6ø
Esquece,Disritmia,Jairzinho Oliveira,301.7ø
Disritmia,Disritmia,Jairzinho Oliveira,235.2ø
Dia Quente,Disritmia,Jairzinho Oliveira,310.3ø
Still I Rise,The Hurricane,Melky Sedeck,255.7ø
Sand Steppin',The Document II,Martin Brew,223.4ø
Youth Of The World,Once Again...The Products,The Products,142.8ø
Goin' Down That Road,Ain't I'm A Dog: 25 More Rockabilly Rave-Ups,Ersel Hickey,105.9ø
Wise As A Fool,Masterpiece,E.C. Scott,240.2ø
What A Good Feeling,Masterpiece,E.C. Scott,249.8ø
Too Good To Keep To Myself,Masterpiece,E.C. Scott,181.4ø
Sledgehammer,Masterpiece,E.C. Scott,261.1ø
Shine On Me,Masterpiece,E.C. Scott,139.7ø
Running,Masterpiece,E.C. Scott,228.7ø
Party,Masterpiece,E.C. Scott,208.2ø
Masterpiece,Masterpiece,E.C. Scott,228.4ø
Make A Man Kit,Masterpiece,E.C. Scott,235.4ø
Living For The Weekend,Masterpiece,E.C. Scott,206.9ø
If You Don't Love Me,Masterpiece,E.C. Scott,186.9ø
Funkafied Blues,Masterpiece,E.C. Scott,263.9ø
Dreader Locks,Jonny Greenwood Is The Controller,Junior Byles | Lee Perry,226.7ø
We Don't Know,Not Everybody's Gold,Salem Hill,283.8ø
The Last Enemy,Not Everybody's Gold,Salem Hill,469.7ø
Riding The Fence,Not Everybody's Gold,Salem Hill,383.4ø
Let Loose The Arrow,Not Everybody's Gold,Salem Hill,424.8ø
January,Not Everybody's Gold,Salem Hill,356.6ø
The Song Of Tomorrow,Songs Of Tomorrow,Richi M.,539.7ø
Space Clubbin',Songs Of Tomorrow,Richi M.,392.1ø
Shandar,Songs Of Tomorrow,Richi M.,382.8ø
Rm. Fm,Songs Of Tomorrow,Richi M.,60.9ø
Popcorn,Popcorn,Richi M.,203.0ø
Meaning Of Life,Songs Of Tomorrow,Richi M.,110.7ø
Lovely Lily,Lovely Lily,Richi M.,178.1ø
Hear Me Calling,Songs Of Tomorrow,Richi M.,361.2ø
Emaho,Songs Of Tomorrow,Richi M.,480.2ø
Area 51,Songs Of Tomorrow,Richi M.,464.8ø
Zydeco Boogaloo,I'm Coming Home,Beau Jocque_ The Zydeco Hi-Rollers,330.1ø
Puddy Cat,I'm Coming Home,Beau Jocque_ The Zydeco Hi-Rollers,253.2ø
Nursery Rhymes,I'm Coming Home,Beau Jocque_ The Zydeco Hi-Rollers,446.5ø
Morning Train,Best of Louisiana Music!,Beau Jocque,253.5ø
Lay Down,I'm Coming Home,Beau Jocque_ The Zydeco Hi-Rollers,399.9ø
I'm a Girl Watcher,New Orleans: Rebuild_ Restore_ Rejoice,Beau Jocque,292.4ø
Beau Jocque Makes You Jump,I'm Coming Home,Beau Jocque_ The Zydeco Hi-Rollers,244.6ø
Wachten Op Jou,Popmodel,Mama's Jasje,214.7ø
Reis Door Niemandsland,Popmodel,Mama's Jasje,306.4ø
Nona,Popmodel,Mama's Jasje,190.0ø
Niet Verliefd,Popmodel,Mama's Jasje,153.2ø
Laatste Dag Van De Lente,Popmodel,Mama's Jasje,196.7ø
Keer Op Keer,Popmodel,Mama's Jasje,220.7ø
Hier Laat Ik Je Los,Popmodel,Mama's Jasje,174.2ø
Als God Geen Vrouw Is,Popmodel,Mama's Jasje,204.2ø
Brain Circus,Now The Road Of Knives,Gravitar,224.0ø
Sweet Potato,Cherry Pie,Marvin & Johnny,117.1ø
Just A Closer Walk With Thee,16 Most Requested Songs,Jim Nabors,179.3ø
Singapura,Olhar Brasileiro,Eduardo Dusek,128.2ø
Olhar Brasileiro,Olhar Brasileiro,Eduardo Dusek,232.8ø
Nostradamus,Olhar Brasileiro,Eduardo Dusek,160.8ø
Injuriado,Olhar Brasileiro,Eduardo Dusek,121.6ø
Folia No Matagal,Olhar Brasileiro,Eduardo Dusek,202.4ø
Chocante,Olhar Brasileiro,Eduardo Dusek,172.7ø
Ave,Olhar Brasileiro,Eduardo Dusek,240.7ø
Sister Sadie,A Night Out With Verve,James Clay,436.9ø
Shake Your Body,Techno Bass Phase 2,Beat Dominator,282.8ø
Exit,Techno Bass Phase 2,Beat Dominator,323.8ø
Last Kind Word Blues,The Best There Ever Was:  The Legendary Early Blue,Geeshie Wiley,181.0ø
If I'd Had a Mother Like You,Mother_ Queen of My Heart: A Collection of Songs Inspired By Mom,Don Rigsby,213.9ø
Laser Light,Maxi Disco Vol 5,Latin Lover,401.1ø
Hey Little Dreamboat,Country Goes Rock 'N' Roll Vol. 3: Rural Royalty,Rose Maddox,174.3ø
Down Down Down,Honky Tonk Rockabillies_ Volume 2,Rose Maddox,113.4ø
Sob O Mar (Kyoto Jazz Massive Remix),Misturada 4,Friends from Rio_KYOTO JAZZ MASSIVE,304.5ø
Escravos Do Jo (Da Lata Remix),Misturada 4,Friends from Rio_Da Lata,343.8ø
Dona Cora  (Kirk DeGiorgio's Offworld Remix),Misturada 4,Friends from Rio_Offworld_Kirk Degiorgio,552.2ø
Cravo E Canela (IG Culture ft Bembe Segue Remix),Misturada 4,Friends from Rio_IG Culture_Bembe Segue,494.3ø
Comeco Da FestaG Force (Seiji Remix),Misturada 4,Friends from Rio_G Force_Seiji,344.6ø
Touch Of Grey / Jack The Lad / Boys Of Malin / Trip To Windsor,Wake The Dead,Wake The Dead,447.1ø
Row Jimmy,Wake The Dead,Wake The Dead,400.7ø
My Marianne / The Wheel,Wake The Dead,Wake The Dead,224.7ø
Lord Inchiquin / Sugaree,Wake The Dead,Wake The Dead,515.0ø
Coleman's Cross / Bird Song,Wake The Dead,Wake The Dead,391.9ø
Christmas Eve / China Cat Sunflower / Bank Of Ireland / The Bear / Bertha / Cliffs Of Mostar,Wake The Dead,Wake The Dead,467.7ø
Brigid Cruise / Black Muddy River,Wake The Dead,Wake The Dead,386.5ø
Banks Of Lough Gowna / The Reunion / Friend Of The Devil,Wake The Dead,Wake The Dead,388.7ø
Cowboy Sparrow,Again! Lord Melody Sings Calypso,Lord Melody,204.5ø
Carnival Proclamation,Lord Melody Sings Calypso,Lord Melody,163.3ø
P-Machinery,De-cyphered Music,MAS 2008,312.7ø
Outpost Omega To Houston,De-cyphered Music,MAS 2008,300.9ø
Out Of Motown,De-cyphered Music,MAS 2008,271.7ø
Optic Motions,De-cyphered Music,MAS 2008,324.4ø
Operation Sekter 17,De-cyphered Music,MAS 2008,327.5ø
Negative,De-cyphered Music,MAS 2008,196.8ø
Liquid Steel,De-cyphered Music,MAS 2008,259.8ø
Images from Beyond,De-cyphered Music,MAS 2008,252.3ø
Hybrid Arts,De-cyphered Music,MAS 2008,269.3ø
Ghost Train,De-cyphered Music,MAS 2008,319.5ø
Delta IV,De-cyphered Music,MAS 2008,304.2ø
Cypher,De-cyphered Music,MAS 2008,242.2ø
Cosmic,De-cyphered Music,MAS 2008,210.3ø
Artificial Lifeform,De-cyphered Music,MAS 2008,182.7ø
3rd Pattern,De-cyphered Music,MAS 2008,115.9ø
Tranquille,A 3,Cornu,236.7ø
Tes Yeux,A 3,Cornu,238.2ø
Si Je Sais Pas Quoi Faire De Mes Dix Doigts,A 3,Cornu,184.7ø
Mes Amis,A 3,Cornu,192.7ø
Les Vacances,A 3,Cornu,156.5ø
J'Aimerais Bien Savoir,A 3,Cornu,213.8ø
J'Ai Peur De Tout,A 3,Cornu,190.4ø
Des Roses,A 3,Cornu,215.4ø
Dans Le Bruit,A 3,Cornu,207.0ø
Bird in a Gilded Cage,MEZZANINE de L'ALCAZAR volume 4,Jungle Wonz,274.7ø
Strain,Timex,Jazzkammer,73.2ø
Silver Spider Morning,Timex,Jazzkammer,257.0ø
Neon Express,Timex,Jazzkammer,332.2ø
Happy New Year,Timex,Jazzkammer,545.7ø
Ghosts Made Paper,Timex,Jazzkammer,392.2ø
Elevator Necklace,Timex,Jazzkammer,291.9ø
Bullets For Breakfast,Timex,Jazzkammer,348.2ø
Bacteria Less Thermo,Timex,Jazzkammer,327.9ø
Xanduzinha,Viola Nordestina,Heraldo Do Monte,163.7ø
Viola Nordestina,Viola Nordestina,Heraldo Do Monte,225.8ø
Roseira Do Norte,Viola Nordestina,Heraldo Do Monte,91.9ø
Rapadura,Viola Nordestina,Heraldo Do Monte,45.6ø
Primeiro Sorriso,Viola Nordestina,Heraldo Do Monte,112.0ø
Lamento Sertanejo,Viola Nordestina,Heraldo Do Monte,185.2ø
Lagrima Nordestina,Viola Nordestina,Heraldo Do Monte,362.8ø
Janga,Viola Nordestina,Heraldo Do Monte,157.0ø
Estrela Maga Dos Ciganos,Viola Nordestina,Heraldo Do Monte,167.3ø
Darlene Triste,Viola Nordestina,Heraldo Do Monte,138.0ø
Take One More Chance With Me,Jazz Gillum Vol. 4 1946-1949,Jazz Gillum,185.8ø
Goin' Back To The City,Ain't I'm A Dog: 25 More Rockabilly Rave-Ups,Onie Wheeler,134.3ø
Selective Communication,Pocket Bomb,Errortype:11,226.1ø
Strange Vibration,Urban Chemistry,sea of sin,334.2ø
Sincerity,Urban Chemistry,sea of sin,302.5ø
Ride The Sky,Urban Chemistry,sea of sin,279.2ø
I Live My Life,Urban Chemistry,sea of sin,285.5ø
Hoffnung (instr.),Urban Chemistry,sea of sin,112.8ø
Deep Inside,Urban Chemistry,sea of sin,284.0ø
Afterworld,Urban Chemistry,sea of sin,229.2ø
thin_ weak smile,Kiss Without Makeup,Franklin Bruno,240.4ø
save a piece for me,Kiss Without Makeup,Franklin Bruno,253.1ø
nurse,Kiss Without Makeup,Franklin Bruno,94.2ø
nickname stuck,Kiss Without Makeup,Franklin Bruno,192.1ø
narrow shoulders,Kiss Without Makeup,Franklin Bruno,162.3ø
just because it's dying,Kiss Without Makeup,Franklin Bruno,235.3ø
idiots,Kiss Without Makeup,Franklin Bruno,305.6ø
dia lara,Kiss Without Makeup,Franklin Bruno,258.0ø
charlottesville,Kiss Without Makeup,Franklin Bruno,231.5ø
beautiful right now,Kiss Without Makeup,Franklin Bruno,229.1ø
a radial,Kiss Without Makeup,Franklin Bruno,59.4ø
Sleepless,Extreme On Saturdays - Volume 1,Body-shock,551.3ø
Full Moon,History of Trance Euphoria - Mixed by John 00 Fleming,Body-shock,539.8ø
Fausse monnaie,Paris Jazz Cafe Vol.3,Gus Viseur,180.0ø
Diciembre,Llego La Navidad - Al Ritmo De La Cumbia,Llego La Navidad - Al Ritmo De La Cumbia,273.4ø
Stroke my love,8 Years of Banging Beats,DJ Shoko,472.1ø
No Special Rider Blues,Juke Joint Saturday Night: Piano Blues Rags & Stomps,Little Brother Montgomery,174.0ø
Creole Belles,Creole Belles,The New Orleans Ragtime Orchestra,183.1ø
Two Empty Bottles,Emo Diaries - Chapter Five - I Guess This Is Goodbye,Kerith Ravine,403.3ø
Satan Strong,Reggae Gold 2000,Professor Nuts,203.4ø
Reset,Anomaly 2000,S.U.P,268.5ø
Ocean Of Faces,Anomaly 2000,S.U.P,196.9ø
Back To The Surface,Anomaly 2000,S.U.P,258.4ø
A Triangular Machine,Anomaly 2000,S.U.P,290.8ø
Overkill,The Ecstasy of the Agony,False Prophets,76.2ø
Pin Up Girl,Seed,Agents of Good Roots,242.5ø
Alaska,Seed,Agents of Good Roots,543.6ø
Number Nine Train,Rhythm & Blues Vol. 10,Tarheel Slim,170.8ø
Walkin' Shoes,Sweet Tooth,The Bihlman Bros.,192.1ø
Three Times,Sweet Tooth,The Bihlman Bros.,286.4ø
The Hand That Loves,Sweet Tooth,The Bihlman Bros.,266.0ø
Sweet Tooth,Sweet Tooth,The Bihlman Bros.,251.1ø
One Big Boom,Sweet Tooth,The Bihlman Bros.,438.9ø
Moonshine,Sweet Tooth,The Bihlman Bros.,297.8ø
Memphis Thang,Sweet Tooth,The Bihlman Bros.,193.6ø
Hell's Kitchen,Sweet Tooth,The Bihlman Bros.,192.2ø
Burning' In My Soul,Sweet Tooth,The Bihlman Bros.,241.1ø
Bump N' Grind,Sweet Tooth,The Bihlman Bros.,182.9ø
1:30,Sweet Tooth,The Bihlman Bros.,310.1ø
Wouldn't It Be Loverly,At Basin Street East - At the Las Vegas Thunderbird,Gloria Lynne,164.6ø
Indian Love Call,Love Songs,Gloria Lynne,178.9ø
I Know Love,Love Songs,Gloria Lynne,189.1ø
I Can't Give You Anything But Love,I Wish You Love - Go! Go! Go!,Gloria Lynne,215.7ø
There'll Be No Distinction There,Blind Alfred Reed (1927-1929),Blind Alfred Reed,181.8ø
The Cat Carol,A Winter's Night: A Nettwerk Christmas Album,Meryn Cadell,266.0ø
Welcome To Crossing Cultures,One World One People,Xcultures,50.8ø
Waterfalls,One World One People,Xcultures,262.5ø
Temptations,One World One People,Xcultures,259.1ø
Sufi Mali,One World One People,Xcultures,295.9ø
Sudanese Dance,One World One People,Xcultures,273.5ø
One World One People,One World One People,Xcultures,287.4ø
Larissa,One World One People,Xcultures,274.2ø
Help The Children,One World One People,Xcultures,307.1ø
Dreams of Happiness,One World One People,Xcultures,213.5ø
China Town,One World One People,Xcultures,224.0ø
Baganda / Dance of Life,One World One People,Xcultures,251.6ø
Tempers,Five Lives,Lichtenberg,213.3ø
Resist,Five Lives,Lichtenberg,216.7ø
Pilot Glasses,Five Lives,Lichtenberg,235.5ø
Mute As A Fish,Five Lives,Lichtenberg,315.8ø
Divine Calmness,Five Lives,Lichtenberg,205.1ø
By The Way,Five Lives,Lichtenberg,296.0ø
5 Lives,Five Lives,Lichtenberg,316.4ø
Think Dem Slick,Morgan Heritage Family & Friends Vol. 2,Edi Fitzroy,240.2ø
Well Did You Evah!,Complete Picture,Deborah Harry & Iggy Pop,207.5ø
Only Your Love Will Do,Jan Leyers,Jan Leyers,210.4ø
White Walls_ Quiet Halls,The Closest People,The Mabels,276.6ø
Tullamarine,Banter - A Candle Records Collection,The Mabels,266.2ø
The Suburb In Between,The Closest People,The Mabels,236.3ø
The Streets Of Brisbane,The Closest People,The Mabels,301.4ø
Still Finding,Banter - A Candle Records Collection,The Mabels,236.5ø
Sirens,The Closest People,The Mabels,220.0ø
She Understands,The Closest People,The Mabels,261.1ø
Lovers Time,The Closest People,The Mabels,325.9ø
I've Decided,The Closest People,The Mabels,297.9ø
Girlfriend In Disguise,The Closest People,The Mabels,205.3ø
Equal On The Weekends,The Closest People,The Mabels,194.2ø
