Life Goes To A Party,The Trumpeteer (The Essence Of Swing),Harry James And His Orchestra,181.4ø
Creo Que Tengo Posibilidades,Los Grandisimos Exitos De Los Chanlas,No Me Pises Que Llevo Chanclas,210.3ø
Canario,Los Grandisimos Exitos De Los Chanlas,No Me Pises Que Llevo Chanclas,203.9ø
Caenita En El Bolsillo,Los Grandisimos Exitos De Los Chanlas,No Me Pises Que Llevo Chanclas,189.1ø
The Theme From The Diamond In The Fish,Diamond in the Fish,Havalina Rail Company,67.6ø
The Diamond in the Fish,Diamond in the Fish,Havalina Rail Company,215.2ø
Ron,Diamond in the Fish,Havalina Rail Company,460.9ø
Prelude and Blues,Diamond in the Fish,Havalina Rail Company,556.4ø
Paper Moon,Diamond in the Fish,Havalina Rail Company,307.7ø
No Brainer,Diamond in the Fish,Havalina Rail Company,223.1ø
If I Did Not Love You,Diamond in the Fish,Havalina Rail Company,268.7ø
Hot Pants,Diamond in the Fish,Havalina Rail Company,149.8ø
Emmanuel,Diamond in the Fish,Havalina Rail Company,202.8ø
Dominiques Library,Diamond in the Fish,Havalina Rail Company,271.8ø
Banditos,Diamond in the Fish,Havalina Rail Company,274.6ø
Ballad Of A Spy,Diamond in the Fish,Havalina Rail Company,313.9ø
Liquid Desert,Live...,Earth Nation,591.5ø
Lay In,Live...,Earth Nation,496.5ø
Overtaken,Weasels,Alcohol Funnycar,184.7ø
Napoleon,Weasels,Alcohol Funnycar,218.5ø
She Can't Save Him,Lisa Brokop,Lisa Brokop,180.6ø
Zeppelindia,Made In Italy,Mau Mau,227.5ø
Venite,Viva Mamanera,Mau Mau,49.4ø
Union Pacific,Viva Mamanera,Mau Mau,120.3ø
Mezzaluna,Viva Mamanera,Mau Mau,239.9ø
Mamanera,Viva Mamanera,Mau Mau,527.5ø
Laserta,Viva Mamanera,Mau Mau,261.7ø
La Ola,Made In Italy,Mau Mau,270.2ø
Il Mambo Del Mamba,Viva Mamanera,Mau Mau,159.7ø
Fiore,Viva Mamanera,Mau Mau,318.6ø
Ellis Island,Made In Italy,Mau Mau,272.8ø
Doramantrica,Viva Mamanera,Mau Mau,69.8ø
Dammi Un Bacio,Viva Mamanera,Mau Mau,36.5ø
Corto Maltese,Viva Mamanera,Mau Mau,245.0ø
Come,Viva Mamanera,Mau Mau,183.5ø
Campeador De Vigna,Viva Mamanera,Mau Mau,259.6ø
Puppet,Suikerspin,Melys,264.6ø
Lonesome Road Blues,Sam Collins (1927-1931),Sam Collins,186.5ø
Cherry Pink And Apple Blossom White,Backline Volume 45,Eddie Calvert,141.6ø
On the Wall,Juke Joint Saturday Night: Piano Blues Rags & Stomps,Louise Johnson,183.0ø
Tum Aur Fareb Khao,Gulistan Vol. 1 - Ghazals,Farida Khanum,546.2ø
Na Ganwao Nawuk-e-Neem Kash,Gulistan Vol. 1 - Ghazals,Farida Khanum,553.1ø
Jis Tarah Chahen Karam Farmaiyeh,Gulistan Vol. 1 - Ghazals,Farida Khanum,578.1ø
My Foolish Heart,The Very Best Of John Gary,John Gary,203.3ø
The Window,Little Three,Robin Holcomb,116.0ø
The Impulse,Little Three,Robin Holcomb,167.4ø
The Graveyard Song,Little Three,Robin Holcomb,271.1ø
Processional,Little Three,Robin Holcomb,108.9ø
Little Three,Little Three,Robin Holcomb,189.5ø
Thirsty European (2006 Remastered LP Version),Horsedrawn Wishes,Rollerskate Skinny,301.4ø
Swing Boat Yawning (2006 Remastered LP Version),Horsedrawn Wishes,Rollerskate Skinny,229.0ø
Swab The Temples (2006 Remastered LP Version),Horsedrawn Wishes,Rollerskate Skinny,206.2ø
Speed To My Side (2006 Remastered LP Version),Horsedrawn Wishes,Rollerskate Skinny,413.1ø
Shimmer Son Like A Star (2006 Remastered LP Version),Horsedrawn Wishes,Rollerskate Skinny,242.7ø
Ribbon Fat (2006 Remastered LP Version),Horsedrawn Wishes,Rollerskate Skinny,373.0ø
One Thousand Couples (2006 Remastered LP Version),Horsedrawn Wishes,Rollerskate Skinny,308.5ø
Man Under Glass (2006 Remastered LP Version),Horsedrawn Wishes,Rollerskate Skinny,272.2ø
Bell Jars Away (2006 Remastered LP Version),Horsedrawn Wishes,Rollerskate Skinny,299.4ø
Angela Starling (2006 Remastered LP Version),Horsedrawn Wishes,Rollerskate Skinny,283.0ø
All Mornings Break (2006 Remastered LP Version),Horsedrawn Wishes,Rollerskate Skinny,289.1ø
We Shall Cry,Too Much Humbug,Warumpi Band,254.0ø
Wayathul,Too Much Humbug,Warumpi Band,403.4ø
Stompin Ground,Too Much Humbug,Warumpi Band,213.3ø
Never Change,Too Much Humbug,Warumpi Band,268.0ø
Marrayilyil,Too Much Humbug,Warumpi Band,234.6ø
Makes You Feel,Too Much Humbug,Warumpi Band,346.6ø
Koori Man,Too Much Humbug,Warumpi Band,296.2ø
Joining My Life,Too Much Humbug,Warumpi Band,326.9ø
Holdin You In My Arms,Too Much Humbug,Warumpi Band,254.4ø
Djulpan,Too Much Humbug,Warumpi Band,205.8ø
Cold Weather,Too Much Humbug,Warumpi Band,283.8ø
Blackfella Whitefella,Too Much Humbug,Warumpi Band,260.8ø
Landslide,Everything Is Temporary,Epic Soundtracks,405.1ø
The Dirty Dozen No. 2,Speckled Red 1929-1938,Speckled Red,181.7ø
Mele Kalikimaka (Vocal),Ki Ho'alu Christmas,Cyril Pahinui,293.4ø
Sixty Minute Man,The History of Rhythm and Blues - Disc 3,The Dominoes,148.3ø
Have Mercy Baby,The History of Rhythm & Blues_ Volume 3 - The Rocknroll Years,The Dominoes,137.3ø
You Turned The Tables On Me (Remix),Count Basie & Sarah Vaughan,COUNT BASIE & SARAH VAUGHAN,204.6ø
Until I Met You (Remix),Count Basie & Sarah Vaughan,COUNT BASIE & SARAH VAUGHAN,169.0ø
Until I Met You (Alternative Version) (Remix),Count Basie & Sarah Vaughan,COUNT BASIE & SARAH VAUGHAN,190.4ø
There Are Such Things (Remix),Count Basie & Sarah Vaughan,COUNT BASIE & SARAH VAUGHAN,192.3ø
The Gentleman Is A Dope (Allegro) (Remix),Count Basie & Sarah Vaughan,COUNT BASIE & SARAH VAUGHAN,166.6ø
Perdido (Remix),Count Basie & Sarah Vaughan,COUNT BASIE & SARAH VAUGHAN,132.9ø
Mean To Me (Remix),Count Basie & Sarah Vaughan,COUNT BASIE & SARAH VAUGHAN,171.7ø
Mean To Me,The Roulette Years,COUNT BASIE & SARAH VAUGHAN,170.7ø
Little Man You've Had A Busy Day (Remix),Count Basie & Sarah Vaughan,COUNT BASIE & SARAH VAUGHAN,293.5ø
If I Were A Bell,Music For Lovers,COUNT BASIE & SARAH VAUGHAN,163.1ø
I Cried For You (Remix),Count Basie & Sarah Vaughan,COUNT BASIE & SARAH VAUGHAN,176.2ø
Alone (Remix),Count Basie & Sarah Vaughan,COUNT BASIE & SARAH VAUGHAN,236.2ø
Trips & Traps,Sgt. Pecker,Jackie Martling,331.7ø
Stoppers & Stingers,Sgt. Pecker,Jackie Martling,447.4ø
Mismatches & Memories,The Joke Man,Jackie Martling,186.1ø
Habits & Heroes,Sgt. Pecker,Jackie Martling,307.3ø
Digits & Dweebs,Sgt. Pecker,Jackie Martling,315.5ø
Bushes & Brides,The Joke Man,Jackie Martling,290.7ø
Boats & Bowels,The Joke Man,Jackie Martling,220.4ø
Pos Cui Cui Ri,Como Tu Y Yo,Elsa Garcia,217.7ø
Oh No,Como Tu Y Yo,Elsa Garcia,217.2ø
Me Duele,Como Tu Y Yo,Elsa Garcia,224.7ø
Llevas Mi Nombre,Como Tu Y Yo,Elsa Garcia,241.1ø
Las Coplar,Como Tu Y Yo,Elsa Garcia,599.6ø
El Rodeo,Como Tu Y Yo,Elsa Garcia,219.4ø
Don't Pull Your Love,Como Tu Y Yo,Elsa Garcia,178.7ø
Como Tu Y Yo,Como Tu Y Yo,Elsa Garcia,252.3ø
Buscando Tus Huellas,Como Tu Y Yo,Elsa Garcia,146.4ø
Aventura De Mi Vida,Como Tu Y Yo,Elsa Garcia,189.2ø
Do She Love Me,Atlanta Bounce,Piano Red,208.5ø
Boogie Time,Atlanta Bounce,Piano Red,180.1ø
Heart Of Gold,Hardcore - The Classics 1994-2009,Force & Styles,410.5ø
Arms Of Loren,Floorfillers 90s Club Classics / Compilation,E'voke,345.8ø
Byzar,Memeograph,Flav-O-Pac,469.3ø
You Want This Party Started,Somethin' For The People,Somethin' For The People,284.5ø
Alley Boogie,Georgia White Vol. 3 1937-1939,Georgia White,154.8ø
Monkey Strange,Molting,Usherhouse,212.2ø
Last One Out,Sugarless,Puller,184.1ø
Tanto Desprecio,Como Tu Y Yo,Elsa Garcia,189.4ø
A Million Dollars In a Red Velvet Suit,The Lure of the Tropics,Dave Graney 'N' The Coral Snakes,204.6ø
Stories Of America,Unnatural Causes,Controlled Fusion,457.2ø
Reflecting Water,Incubation Time,Controlled Fusion,368.9ø
Random,Unnatural Causes,Controlled Fusion,350.6ø
Poison Feelings,Unnatural Causes,Controlled Fusion,395.2ø
Hidden Thoughts,Incubation Time,Controlled Fusion,324.6ø
Geometrical Symbol,Incubation Time,Controlled Fusion,420.5ø
Gemetrical Symbol,Unnatural Causes,Controlled Fusion,422.8ø
Disregards,Incubation Time,Controlled Fusion,365.2ø
Anxious,Unnatural Causes,Controlled Fusion,342.2ø
Wandering,Lounge,Quoit,499.7ø
That Way,Lounge,Quoit,418.4ø
Stranger,Lounge,Quoit,333.6ø
Set Up,Lounge,Quoit,343.0ø
Phoner,Lounge,Quoit,420.4ø
Last Time,Lounge,Quoit,466.9ø
Chase,Lounge,Quoit,425.4ø
The Fusion Formula (The Metamorphosis),In Order To Dance,Jacob's Optical Stairway,356.1ø
The Winner,Dootone Doo Wop Vol 1,The Cuff Links,133.3ø
It's Too Late Now,Dootone Doo Wop Vol 1,The Cuff Links,184.5ø
How You Lied,Dootone Doo Wop Vol 1,The Cuff Links,174.1ø
Sans Escale,Le Meilleur De Edith Lefel,Edith Lefel,240.0ø
Sanglots,Le Meilleur De Edith Lefel,Edith Lefel,291.7ø
Iche Maman,Le Meilleur De Edith Lefel,Edith Lefel;Jean-Luc Alger,536.5ø
Keeper Of My Heart,Backline Volume 60,Faye Adams,142.7ø
O Tedium,Pop American Style,Vehicle Flips,151.2ø
She's A Hum Dum Dinger,The Roots Of Rap: Classic Recordings From The 1920s & 30s,Jimmie Davis,166.0ø
Teenage Crush,US - April - 1957,Tommy Sands,146.1ø
Honky Tonkitis,Smoky Places,Billy Walker,186.1ø
Been Listening All The Day,The Half Ain't Never Been Told - Early American Rural Religious Music Vol. 2,Blind Joe Taggart,154.9ø
Goodman Coonhound,Traditional Banjo Music of the Ozarks,Billy Faer,82.4ø
Please Stay (Disco Style),Soulful,George Faith,430.5ø
Once Upon A Time,Soulful,George Faith,173.1ø
Love And Affection (Disco Style),Soulful,George Faith,357.1ø
If Loving You Is Wrong I Don't Wanna Be Right,Soulful,George Faith,277.1ø
I Won't Cry,Mums & Dads Reggae Favourites Volume 2,George Faith,225.3ø
Have I Told You Lately That I Love You,Jammin' Jamaica,George Faith,230.4ø
Bring Your Sweet Love To Me,Soulful,George Faith,211.0ø
Tottingham Frolic,When Dalliance Was In Flower Volume 2,Ed McCurdy,178.0ø
The Playhouse Saint,When Dalliance Was In Flower Volume 2,Ed McCurdy,194.5ø
Sospesa Ad Un Filo,Ricetta Antirughe,I Corvi,234.1ø
Luce,Ricetta Antirughe,I Corvi,192.6ø
Bang Bang,Ricetta Antirughe,I Corvi,227.6ø
Bambolina,Ricetta Antirughe,I Corvi,225.3ø
Amica Mia,Ricetta Antirughe,I Corvi,239.7ø
Built For Comfort,Prestige Profiles,Willie Dixon | Memphis Slim,151.4ø
You Made Me love You,Our New Nellie,Nellie Lutcher,154.0ø
Wish I Was In Walla Walla,Real Gone Gal,Nellie Lutcher,176.8ø
Three Little Words,Our New Nellie,Nellie Lutcher,149.8ø
This Can't Be Love,Our New Nellie,Nellie Lutcher,108.3ø
The Nearness Of You,Our New Nellie,Nellie Lutcher,192.5ø
Only You,Ladies of Jazz Vol. 2 - Remastered,Nellie Lutcher,147.4ø
On The Sunny Side Of The Street,Our New Nellie,Nellie Lutcher,165.7ø
Ole Buttermilk Sky,Our New Nellie,Nellie Lutcher,123.6ø
My New Papa's Got To Have Everything,Real Gone Gal,Nellie Lutcher,181.1ø
My Mother's Eyes,The Best Of Nellie Lutcher,Nellie Lutcher,195.7ø
My Man (Mon Homme),The Best Of Nellie Lutcher,Nellie Lutcher,189.4ø
Lutcher's Leap,Real Gone Gal,Nellie Lutcher,191.3ø
Let Me Love You Tonight,Valentine The Dolls,Nellie Lutcher,187.8ø
Lake Charles Boogie,Women Sing And Play Boogie Woogie,Nellie Lutcher,154.2ø
Kinda Blue And Low,The Best Of Nellie Lutcher,Nellie Lutcher,153.5ø
Hurry On Down,She Felt So Good - Oldies,Nellie Lutcher,150.1ø
He's A Real Gone Guy,The R & B Years Volume 1,Nellie Lutcher,182.1ø
He Sends Me,The Best Of Nellie Lutcher,Nellie Lutcher,176.9ø
Fine Brown Frame,And the Year Was...1948,Nellie Lutcher,173.3ø
Chi-Chi-Chi-Chicago,The Best Of Nellie Lutcher,Nellie Lutcher,179.9ø
I Can Help,De Nuevo Rock'n Roll Vol. 2,Sonny Fisher,234.8ø
Jungle Tekno,Techno Bass Phase 2,Beat Dominator,276.9ø
Your Majesty We Are Here,Tonight You Are The Special One,Earl Brutus,240.4ø
Universal Plan,Tonight You Are The Special One,Earl Brutus,272.6ø
Second Class War,Tonight You Are The Special One,Earl Brutus,268.6ø
Midland Red,Tonight You Are The Special One,Earl Brutus,251.7ø
Male Wife,Tonight You Are The Special One,Earl Brutus,175.1ø
God_ Let Me Be Kind,Tonight You Are The Special One,Earl Brutus,225.5ø
East,Tonight You Are The Special One,Earl Brutus,279.8ø
Don't Die Jim,Tonight You Are The Special One,Earl Brutus,257.6ø
Come Taste My Mind,Tonight You Are The Special One,Earl Brutus,252.3ø
99p,Tonight You Are The Special One,Earl Brutus,217.8ø
Looped,King of the Stroll,Tommy Ridgley,142.5ø
Boogie Woogie Mama,King of the Stroll,Tommy Ridgley,161.3ø
Trapped at the Pharoahs,Tides,Memory Garden,329.1ø
The Rhyme of the Elder (Bonus),Tides,Memory Garden,352.5ø
The Rhyme of the Elder,Tides,Memory Garden,357.7ø
The Innocent Sleep (Bonus),Tides,Memory Garden,305.4ø
The Innocent Sleep,Tides,Memory Garden,291.7ø
Genesis (Bonus),Tides,Memory Garden,260.9ø
Genesis,Tides,Memory Garden,269.1ø
Dream Horizons,Tides,Memory Garden,334.3ø
Blissful,Tides,Memory Garden,379.3ø
A New Dawn,Tides,Memory Garden,360.0ø
I've Never Been Out of His Care,Early Works,Dallas Holm,180.0ø
I Saw The Lord,Signature Songs,Dallas Holm,279.7ø
When My Dreamboat Comes Home,In The Mood,The King Sisters,174.1ø
Judy's Fence,Mainlanders,Ricaine,238.3ø
Eyre Overland,Mainlanders,Ricaine,418.0ø
308,Mainlanders,Ricaine,242.8ø
Cold Rain,The Quiet Side Of...,Blues Company,375.0ø
Bye Bye Baby,Jane Russell,Jane Russell,124.4ø
What A Shuffle,That Big Band Sound Vol 1,Chick Webb & His Orchestra,174.0ø
Newport Blues,Ruckus Juice & Chittlins_ Vol. 1,The Cincinnati Jug Band,175.0ø
Good Old 51 Highway,Jazz Gillum Vol. 1 1936-1938,Jazz Gillum,157.6ø
Ooh Poo Pah Doo,Crusin' The 66 Vol. 2,Jessie Hill,148.4ø
Biggest Gossip In Town,Yes It Is,Rockin' Horse,168.8ø
Last Day In Paradise,Urban Chemistry,sea of sin,284.3ø
Unwhole,Dissonance,Dissonance,201.4ø
Oh My Angel,Southland Tales,Bertha Tillman,141.7ø
A Taste Of Bass,Bass Enforcement,Power Steppers,448.3ø
Get Used To It,The Wonderful World of the 70's - 100 Hit Songs,Roger Voudouris,180.0ø
Cause n' Effect,RAM 15x15,Concept 2,319.0ø
Thrill Fit,Pop American Style,Syrup U.S.A.,136.7ø
Caribbean Dream,Bryan Savage,Bryan Savage,297.1ø
Deep Blue Sea Blues,"Tommy McClennan Vol. 2 ""Cross Cut Saw",Tommy McClennan,180.7ø
Ramblin' Mind Blues,"Big Maceo Vol. 1 ""Flying Boogie"" (1941 - 1945)",Big Maceo,178.2ø
Space Does Not Care,Space Does Not Care,Zero Gravity,152.2ø
Interferon,Space Does Not Care,Zero Gravity,212.8ø
The House I Live In,A Walk in the Sun and Other Songs and Ballads,Earl Robinson,207.4ø
Kevin Barry,Earl Robinson Sings,Earl Robinson,156.0ø
Keep On Jumpin (The Lisa Marie Experience 2007 Radio Edit),Keep On Jumpin,The Lisa Marie Experience,187.0ø
Red Apple Juice,Traditional Banjo Music of the Ozarks,Dick Rosmini,99.0ø
Tornado,Order Odonata - Experiments That Identify Change,Phreaky,455.7ø
Paranormal Activity,Dragonfly - A Voyage Into Trance,Phreaky,388.4ø
Over The Moon,Order Odonata 3 - The Technical Use Of Sound In Magick,Phreaky,585.4ø
You're Still My Baby  (Lp Version),Mother Earth Presents Tracy Nelson Country,Tracy Nelson,219.1ø
Why_ Why_ Why  (Lp Version),Mother Earth Presents Tracy Nelson Country,Tracy Nelson,118.6ø
Wait_ Wait_ Wait   (Lp Version),Mother Earth Presents Tracy Nelson Country,Tracy Nelson,167.2ø
That's All Right  (Lp Version),Mother Earth Presents Tracy Nelson Country,Tracy Nelson,142.9ø
Stay As Sweet As You Are (Lp Version),Mother Earth Presents Tracy Nelson Country,Tracy Nelson,152.9ø
Stand By Your Man (Lp Version),Mother Earth Presents Tracy Nelson Country,Tracy Nelson,154.4ø
Sad Situation (Lp Version),Mother Earth Presents Tracy Nelson Country,Tracy Nelson,223.1ø
Now You're Gone  (Lp Version),Mother Earth Presents Tracy Nelson Country,Tracy Nelson,254.8ø
I'm So Lonesome I Could Cry  (Lp Version),Mother Earth Presents Tracy Nelson Country,Tracy Nelson,188.9ø
I Wanna Be Your Mama Again  (Lp Version),Mother Earth Presents Tracy Nelson Country,Tracy Nelson,213.9ø
I Fall To Pieces (Lp Version),Mother Earth Presents Tracy Nelson Country,Tracy Nelson,180.0ø
Blue Blue Day (Lp Version),Mother Earth Presents Tracy Nelson Country,Tracy Nelson,119.3ø
Softly,I'll Shut Up When You Fuck Off,The Almighty Trigger Happy,127.0ø
Seasonal Excuse,I'll Shut Up When You Fuck Off,The Almighty Trigger Happy,138.1ø
Hernando's Hideaway,The 50's Summerparty,Archie Bleyer,154.1ø
The Beat Goes On,The Sorcerer,Gabor Szabo,296.3ø
Ashtralia,Lucky Bishops,Lucky Bishops,294.8ø
Goin' To Malibu,Malibooz Rule!,The Malibooz,193.6ø
The Californian,Miracle,Heidi Berry,197.4ø
Queen,Miracle,Heidi Berry,410.5ø
Northern Country,Miracle,Heidi Berry,426.4ø
Holy Grail,Miracle,Heidi Berry,252.1ø
Darkness_ Darkness,Miracle,Heidi Berry,238.7ø
Fair And Tender Ladies,2nd Right_ 3rd Row,Eric Von Schmidt,252.1ø
Trenes Sin Destino,Donde Acaba El Mar,Los Limones,180.4ø
Te Voy Siguiendo,Sube La Marea,Los Limones,190.6ø
Por Toda La Tierra,Musica Clasica,Los Limones,203.9ø
No Le Digas,Donde Acaba El Mar,Los Limones,196.5ø
No Esta Mal La Soledad,Donde Acaba El Mar,Los Limones,171.1ø
Inocentes,Musica Clasica,Los Limones,191.2ø
Horizontes,Los Singles,Los Limones,267.1ø
Ferrol,Musica Clasica,Los Limones,213.3ø
Es Mejor,Musica Clasica,Los Limones,168.2ø
El Tiempo Pasara,Donde Acaba El Mar,Los Limones,146.3ø
El Escenario De Un Club,Sube La Marea,Los Limones,212.6ø
El Canto De La Sirena,Musica Clasica,Los Limones,205.7ø
Dame Tu Amor,Los Singles,Los Limones,144.9ø
Cuando Aparezca El Sol,Sube La Marea,Los Limones,203.4ø
Why Me?,Eurovision Party Soundtrack,Linda Martin,208.4ø
Darling Dear,Fountain Doowop 1 - Doowop Desires,The Counts,211.1ø
Dread Dub,Jonny Greenwood Is The Controller,Lloyd's All Stars,197.8ø
Nite-Is-A-Comin',The Psychedelic Scene,Warm Sounds,178.5ø
Little Drummer Boy,A Concord Jazz Christmas_ Vol. 2,Jeff Linsky,237.5ø
Belgium Rave,Best Of EP,Dream Your Dream,246.4ø
