Turkey In The Straw,Favorites & Rarities (World),Don McLean,39.3ø
Lagrimas De Fuego Y Ceniza,Naufragios,Mikel Erentxun,228.2ø
Jugando Con El Tiempo,Exitos,Mikel Erentxun,272.7ø
Gritar Al Viento,Naufragios,Mikel Erentxun,210.8ø
Champagne,Naufragios,Mikel Erentxun,197.8ø
Caer,Naufragios,Mikel Erentxun,178.0ø
Skull Fracturing Nightmare,Epidemic Of Violence,Demolition Hammer,345.4ø
Pyroclastic Annihilation,Epidemic Of Violence,Demolition Hammer,296.9ø
Orgy Of Destruction,Epidemic Of Violence,Demolition Hammer,51.1ø
Omnivore,Epidemic Of Violence,Demolition Hammer,275.4ø
Human Dissection,Epidemic Of Violence,Demolition Hammer,305.7ø
Epidemic Of Violence,Epidemic Of Violence,Demolition Hammer,260.1ø
Envenomed,Epidemic Of Violence,Demolition Hammer,195.8ø
Carnivorous Obsession,Epidemic Of Violence,Demolition Hammer,352.2ø
Aborticide,Epidemic Of Violence,Demolition Hammer,294.8ø
