777,Danzig II-Lucifuge,Danzig,339.0ø
Teenage Warrior (LP Version),Representing The Mambo,Little Feat,293.3ø
Silver Screen (LP Version),Representing The Mambo,Little Feat,262.4ø
Representing The Mambo (LP Version),Representing The Mambo,Little Feat,355.0ø
Feelin's All Gone (LP Version),Representing The Mambo,Little Feat,300.1ø
Daily Grind (LP Version),Representing The Mambo,Little Feat,309.2ø
What The World Is Waiting For,Turns Into Stone,The Stone Roses,230.0ø
Waterfall,The Stone Roses (20th Anniversary Collector's Edition),The Stone Roses,285.1ø
This Is The One,The Stone Roses (20th Anniversary Collector's Edition),The Stone Roses,299.3ø
Standing Here,She Bangs The Drum,The Stone Roses,309.6ø
Simone,The Stone Roses (20th Anniversary Collector's Edition),The Stone Roses,265.2ø
Shoot You Down,The Stone Roses (20th Anniversary Legacy Edition),The Stone Roses,265.5ø
She Bangs The Drums,The Stone Roses (20th Anniversary Legacy Edition),The Stone Roses,226.8ø
"Sally Cinnamon (12"" Single Mix)",Sally Cinnamon,The Stone Roses,207.7ø
Mersey Paradise,The Stone Roses (20th Anniversary Collector's Edition),The Stone Roses,166.8ø
Made Of Stone,Stone Roses,The Stone Roses,256.2ø
I Wanna Be Adored,The Stone Roses (20th Anniversary Collector's Edition),The Stone Roses,292.8ø
I Am The Resurrection,The Stone Roses (20th Anniversary Collector's Edition),The Stone Roses,398.5ø
Guernica,The Stone Roses (20th Anniversary Collector's Edition),The Stone Roses,262.5ø
Going Down,The Stone Roses (20th Anniversary Collector's Edition),The Stone Roses,160.3ø
Elizabeth My Dear,The Remixes,The Stone Roses,295.8ø
Don't Stop,Stone Roses,The Stone Roses,323.1ø
Bye Bye Badman,The Stone Roses (20th Anniversary Collector's Edition),The Stone Roses,243.9ø
Bye Bye Bad Man,The Stone Roses,The Stone Roses,244.0ø
(Song For My) Sugar Spun Sister,The Stone Roses (20th Anniversary Legacy Edition),The Stone Roses,206.8ø
Summer's Gone,The Very Best Of Paul Anka,Paul Anka,142.1ø
Voodoo,Puta's Fever / Patchanka,Mano Negra,179.7ø
The Rebel Spell,Puta's Fever,Mano Negra,155.8ø
The Devil's Call,Puta's Fever,Mano Negra,117.3ø
Soledad,Puta's Fever,Mano Negra,173.0ø
Sidi H'bibi,Puta's Fever,Mano Negra,158.3ø
Roger Cageot,Puta's Fever,Mano Negra,102.2ø
Peligro,Puta's Fever,Mano Negra,120.9ø
Patchanka,Puta's Fever,Mano Negra,179.9ø
Pas Assez De Toi,Puta's Fever,Mano Negra,174.1ø
Mad House,Puta's Fever,Mano Negra,84.4ø
Guayaquil City,Puta's Fever,Mano Negra,162.7ø
Hate The Police,Live At El Sol,Mudhoney,259.2ø
Get Into Yours,Live At El Sol,Mudhoney,231.6ø
Reefer Man,Jumpin' Jive Volume 1,Cab Calloway,171.4ø
Minnie The Moocher's Wedding Day,Jukebox Hits 1930-1950,Cab Calloway,185.8ø
Bye Bye Blues,Rhapsody In Rhumba,Cab Calloway,172.8ø
The Cave (Cognito Fiesta Version),Devil's Night Out,Mighty Mighty Bosstones,132.5ø
The Bartender's Song,Devil's Night Out,Mighty Mighty Bosstones,136.8ø
Patricia,Devil's Night Out,Mighty Mighty Bosstones,168.9ø
Howwhywuz_ Howwhyam,Devil's Night Out,Mighty Mighty Bosstones,153.1ø
Hope I Never Lose My Wallet,Devil's Night Out,Mighty Mighty Bosstones,126.9ø
Haji,Devil's Night Out,Mighty Mighty Bosstones,124.7ø
Drunks And Children,Devil's Night Out,Mighty Mighty Bosstones,156.8ø
Do Somethin' Crazy,Devil's Night Out,Mighty Mighty Bosstones,147.5ø
Devil's Night Out,Devil's Night Out,Mighty Mighty Bosstones,155.3ø
A Little Bit Ugly,Devil's Night Out,Mighty Mighty Bosstones,227.8ø
Toe To Toe,33-45-78,Stereo MC's,285.2ø
This Ain't A Love Song,33-45-78,Stereo MC's,283.1ø
Sunday 19th March,33-45-78,Stereo MC's,254.9ø
On 33,Retroactive,Stereo MC's,282.0ø
Neighbourhood,33-45-78,Stereo MC's,261.8ø
Gee Street,33-45-78,Stereo MC's,261.7ø
Bring It On,33-45-78,Stereo MC's,280.2ø
Young Hearts,Boulevard of Broken Dreams,Smokie,258.8ø
Sometimes You Cry,Boulevard of Broken Dreams,Smokie,224.1ø
Northern Soul,Boulevard of Broken Dreams,Smokie,256.1ø
Tainted,Kaleidoscope World,Swing Out Sister,241.6ø
Forever Blue,Kaleidoscope World,Swing Out Sister,258.6ø
Welcome To The Terrordome,Power To The People And The Beats - Public Enemy's Greatest Hits,Public Enemy,326.4ø
Revolutionary Generation,Fear Of A Black Planet,Public Enemy,343.1ø
911 Is A Joke,Power To The People And The Beats - Public Enemy's Greatest Hits,Public Enemy,197.7ø
Vulnerability,Operation Ivy,Operation Ivy,120.5ø
Unity,Operation Ivy,Operation Ivy,133.8ø
The Crowd,Operation Ivy,Operation Ivy,131.3ø
Take Warning,Operation Ivy,Operation Ivy,164.2ø
Sound System,Operation Ivy,Operation Ivy,134.0ø
Smiling,Operation Ivy,Operation Ivy,106.6ø
Room Without a Window,Operation Ivy,Operation Ivy,92.3ø
One of These Days,Operation Ivy,Operation Ivy,67.3ø
Missionary,Operation Ivy,Operation Ivy,127.1ø
Knowledge,Operation Ivy,Operation Ivy,102.1ø
Jaded,Operation Ivy,Operation Ivy,111.3ø
Gonna Find You,Operation Ivy,Operation Ivy,114.1ø
Freeze Up,Operation Ivy,Operation Ivy,140.1ø
Caution,Operation Ivy,Operation Ivy,88.1ø
Bombshell,Operation Ivy,Operation Ivy,63.6ø
Big City,Operation Ivy,Operation Ivy,136.7ø
Bad Town,Operation Ivy,Operation Ivy,155.4ø
Artificial Life,Operation Ivy,Operation Ivy,125.1ø
Stream Of Consciousness,Extreme Aggression,Kreator,232.5ø
Some Pain Will Last,Extreme Aggression,Kreator,339.1ø
No Reason To Exist,Extreme Aggression,Kreator,276.6ø
Love Us Or Hate Us,Extreme Aggression,Kreator,222.3ø
Fatal Energy,Extreme Aggression,Kreator,297.7ø
Extreme Aggression,Extreme Aggression,Kreator,283.5ø
Don't Trust,Extreme Aggression,Kreator,222.9ø
Bringer Of Torture,Extreme Aggression,Kreator,135.4ø
Betrayer,Extreme Aggression,Kreator,239.2ø
The Boss's Car (Album Version),Flat Out,John Scofield,422.3ø
Softy (Album Version),Flat Out,John Scofield,277.3ø
Secret Love (Album Version),Flat Out,John Scofield,356.5ø
Science And Religion (Album Version),Flat Out,John Scofield,284.9ø
In The Cracks (Album Version),Flat Out,John Scofield,290.2ø
All The Things You Are (Album Version),Flat Out,John Scofield,460.0ø
Wake Up Time For Freedom,Sonic Temple,The Cult,317.9ø
Sun King,Sonic Temple,The Cult,369.2ø
Soul Asylum,Sonic Temple,The Cult,446.0ø
Soldier Blue,Sonic Temple,The Cult,276.3ø
Revolution (Full Length Remix),Love (Expanded Edition),The Cult,329.8ø
New York City,Sonic Temple,The Cult,281.4ø
Medicine Train,Sonic Temple,The Cult,280.7ø
Fire Woman,Sonic Temple,The Cult,311.1ø
Automatic Blues,Sonic Temple,The Cult,231.8ø
American Horse,Sonic Temple,The Cult,319.1ø
(Here Comes The) Rain,Love (Expanded Edition),The Cult,379.1ø
Two Years Of Torture,At Last,Lou Rawls,169.7ø
She's No Lady,At Last,Lou Rawls,180.3ø
Visions From The Dark Side,Altars Of Madness,Morbid Angel,249.9ø
Suffocation,Altars Of Madness,Morbid Angel,195.0ø
Maze Of Torment (Remix),Altars Of Madness,Morbid Angel,264.4ø
Maze Of Torment,Altars Of Madness,Morbid Angel,264.7ø
Lord Of All Fevers And Plagues,Altars Of Madness,Morbid Angel,206.4ø
Immortal Rites,Altars Of Madness,Morbid Angel,243.5ø
Evil Spells,Altars Of Madness,Morbid Angel,251.9ø
Damnation,Altars Of Madness,Morbid Angel,250.3ø
Chapel Of Ghouls (Remix),Altars Of Madness,Morbid Angel,295.6ø
Chapel Of Ghouls,Altars Of Madness,Morbid Angel,297.5ø
Blasphemy (Remix),Altars Of Madness,Morbid Angel,201.9ø
Blasphemy,Altars Of Madness,Morbid Angel,211.8ø
Torch,Book of Days,The Psychedelic Furs,291.0ø
Should God Forget,Book of Days,The Psychedelic Furs,264.5ø
Shine,Book of Days,The Psychedelic Furs,245.6ø
Mother - Son,Book of Days,The Psychedelic Furs,251.2ø
I Don't Mine,Book of Days,The Psychedelic Furs,198.9ø
House,Book of Days,The Psychedelic Furs,315.1ø
Book of Days,Book of Days,The Psychedelic Furs,315.9ø
The Thin Blue Line,The Thin Blue Line - Original Soundtrack,Philip Glass,64.7ø
Knee 1,Einstein on the Beach,Philip Glass,483.4ø
The Last Worthless Evening,The Very Best Of,Don Henley,362.3ø
New York Minute,The Very Best Of,Don Henley,395.9ø
The Youth,R.O.R.X. - The Tenth Annual Reggae On The Rocks,Burning Spear,347.5ø
Let There be Rock,In Search of Sanity,Onslaught,240.0ø
The Loving (2001 Digital Remaster),Oranges & Lemons,XTC,251.5ø
The Loving,Fossil Fuel: The XTC Singles Collection 1977 - 1992,XTC,234.3ø
Scarecrow People (2001 Digital Remaster),Oranges & Lemons,XTC,253.2ø
Poor Skeleton Steps Out (2001 Digital Remaster),Oranges & Lemons,XTC,213.5ø
Pink Thing (2001 Digital Remaster),Oranges & Lemons,XTC,228.3ø
Hold Me My Daddy (2001 Digital Remaster),Oranges & Lemons,XTC,227.9ø
Here Comes President Kill Again (2001 Digital Remaster),Oranges & Lemons,XTC,215.2ø
Rolling & Tumbling,On The Road Again,Canned Heat,128.9ø
King Kong Five,In The Hell Of Patchinko,Mano Negra,235.7ø
El Sur,Puta's Fever,Mano Negra,60.2ø
Money,Louie Louie - Live & Unreleased,The Kingsmen,184.4ø
A Brief Conversation Ending In Divorce,Camphor,David Sylvian,207.1ø
She Doesn't Have To Shave,Up The Junction,Squeeze,144.0ø
Rose I Said,Up The Junction,Squeeze,214.4ø
Peyton Place,Frank - Expanded Reissue,Squeeze,247.9ø
Melody Motel,Frank - Expanded Reissue,Squeeze,232.1ø
Love Circles,Frank - Expanded Reissue,Squeeze,334.0ø
If It's Love,Greatest Hits,Squeeze,239.4ø
(This Could Be) The Last Time,Frank - Expanded Reissue,Squeeze,229.3ø
Victim Of Circumstance,Live 1990,Ten Years After,248.8ø
Let's Shake It Up,Live 1990,Ten Years After,224.3ø
Bad Blood,Live 1990,Ten Years After,356.6ø
Rosta Man,To The Extreme,Vanilla Ice,276.0ø
Play That Funky Music,To The Extreme,Vanilla Ice,285.8ø
It's A Party,To The Extreme,Vanilla Ice,278.5ø
Ice Ice Baby,Ice Ice Baby,Vanilla Ice,301.9ø
I Love You,To The Extreme,Vanilla Ice,306.1ø
Hooked,To The Extreme,Vanilla Ice,290.8ø
Havin' A Roni,To The Extreme,Vanilla Ice,69.3ø
Go Ill,To The Extreme,Vanilla Ice,297.1ø
Dancin',To The Extreme,Vanilla Ice,299.4ø
Wait For The Sunrise,Repeat Offender,Richard Marx,255.8ø
That Was Lulu,Repeat Offender,Richard Marx,224.8ø
Satisfied,Greatest Hits,Richard Marx,253.8ø
Real World,Repeat Offender,Richard Marx,254.8ø
Nothin' You Can Do About It,Repeat Offender,Richard Marx,284.2ø
If You Don't Want My Love,Repeat Offender,Richard Marx,247.3ø
Heart On The Line,Repeat Offender,Richard Marx,283.5ø
Children Of The Night,Repeat Offender,Richard Marx,284.8ø
Through My Fingers,Are You Sitting Comfortably?,IQ,329.9ø
Drive On,Are You Sitting Comfortably?,IQ,297.8ø
They're Blind,Don't Tell A Soul [Expanded Edition],The Replacements,281.8ø
Rock 'N' Roll Ghost,Don't Tell A Soul [Expanded Edition],The Replacements,205.7ø
Date To Church,Don't Tell A Soul [Expanded Edition],The Replacements,229.3ø
Anywhere's Better Than Here,Don't Tell A Soul [Expanded Edition],The Replacements,167.8ø
Worlock,Doomsday:Back+Forth Vol.5/Live in Dresden,Skinny Puppy,313.7ø
Lindsay Jane (2003 Digital Remaster),Stronger,Cliff Richard,283.7ø
Keep Me Warm (2003 Digital Remaster),Stronger,Cliff Richard,265.9ø
Just Don't Have The Heart (Instrumental),Stronger,Cliff Richard,239.0ø
Try To Find Another Man,Gold,Righteous Brothers,142.0ø
This Little Girl Of Mine,Gold,Righteous Brothers,134.2ø
The White Cliffs Of Dover,Gold,Righteous Brothers,136.1ø
Rock And Roll Heaven,Gold,Righteous Brothers,211.9ø
On This Side Of Goodbye,Gold,Righteous Brothers,184.9ø
Give It To The People,Gold,Righteous Brothers,205.6ø
Bring Your Love To Me,For Sentimental Reasons : The Love Songs,Righteous Brothers,138.9ø
A Man Without A Dream,Gold,Righteous Brothers,165.5ø
Orochi,Kojiki,Kitaro,430.4ø
Hajimari,Kojiki,Kitaro,215.3ø
Throw Her A Line,Perfect Remedy,Status Quo,214.1ø
The Power Of Rock,Perfect Remedy,Status Quo,284.1ø
Medley: The Anniversary Waltz,Perfect Remedy,Status Quo,331.7ø
Man Overboard,Perfect Remedy,Status Quo,270.6ø
Heart On Hold,Perfect Remedy,Status Quo,217.0ø
Address Book,Perfect Remedy,Status Quo,217.9ø
Heaven Or Bliss,The EPs Collection_ Volumes 1&2,Cranes,250.7ø
Beach Mover,The EPs Collection_ Volumes 1&2,Cranes,166.6ø
Shellshock,In Search of Sanity,Onslaught,406.1ø
Powerplay,In Search of Sanity,Onslaught,384.1ø
Lightning War,In Search of Sanity,Onslaught,416.1ø
In Search of Sanity,In Search of Sanity,Onslaught,439.5ø
Blood Upon the Ice,In Search of Sanity,Onslaught,501.4ø
Asylum,In Search of Sanity,Onslaught,316.8ø
Wheels Of Fire,Ultimate L.A. Guns,L.A. Guns,297.1ø
The Ballad Of Jayne,Cocked & Re-Loaded (Millenium Edition),L.A. Guns,317.8ø
Sleazy Come Easy Go,Cocked & Re-Loaded (Millenium Edition),L.A. Guns,247.2ø
Showdown (Riot On Sunset),The Very Best Of LA Guns,LA Guns,195.1ø
Rip And Tear,A Nite On The Strip - Live,L.A. Guns,294.9ø
Never Enough,Live! A Night On The Strip,L.A. Guns,256.9ø
Malaria,Cocked & Re-Loaded (Millenium Edition),L.A. Guns,355.1ø
Magdalaine,Cocked & Re-Loaded (Millenium Edition),L.A. Guns,398.4ø
I Wanna Be Your Man,Cocked & Re-Loaded (Millenium Edition),L.A. Guns,218.0ø
Give A Little,Cocked & Re-Loaded (Millenium Edition),L.A. Guns,219.2ø
17 Crash,Cocked & Re-Loaded (Millenium Edition),L.A. Guns,216.7ø
Walking The Dog,Live At Max's Kansas City,The Troggs,163.0ø
Maximum Overdrive,Love Is All Around,The Troggs,173.9ø
Louie Louie,All The Hits Plus More,The Troggs,256.9ø
Wedding,Book of Days,The Psychedelic Furs,261.5ø
When I Fall In Love,Chronicles - The Complete Prestige Recordings 1951-1956,Miles Davis Quintet,261.2ø
Salt Peanuts,Steamin' [Rudy Van Gelder edition],Miles Davis,365.5ø
The Kirk Pride,Atlantic Realm,Clannad,80.0ø
Primeval Sun,Atlantic Realm,Clannad,71.6ø
Predator,Atlantic Realm,Clannad,183.9ø
Ocean Of Light,Atlantic Realm,Clannad,212.4ø
Moving Thru,Atlantic Realm,Clannad,191.1ø
In Flight,Atlantic Realm,Clannad,187.2ø
Atlantic Realm,Atlantic Realm,Clannad,229.5ø
Speaking Of Dreams,Rare_ Live And Classic,Joan Baez,264.8ø
Soyuz Druzuei (Circle Of Friends),Live,Joan Baez,120.4ø
Part-Time Love,At Wattstax,Isaac Hayes,355.8ø
Open The Door Richard,Rhythm Of The Time,Fairport Convention,299.8ø
London River,FROM CROPREDA TO PORTMEIRION,Fairport Convention,191.7ø
Dark Eyed Molly,Rhythm Of The Time,Fairport Convention,273.1ø
Walls Of Confinement,Death By Manipulation,Napalm Death,176.2ø
You Had Too Much To Drink,Unfinished Business (Explicit),EPMD,440.4ø
Who's Booty,Unfinished Business (Explicit),EPMD,256.9ø
Total Kaos,Unfinished Business (Explicit),EPMD,273.6ø
The Big Payback,Unfinished Business (Explicit),EPMD,290.4ø
Strictly Snappin' Necks,Unfinished Business (Explicit),EPMD,268.6ø
Please Listen To My Demo,Unfinished Business (Explicit),EPMD,181.4ø
Knick Knack Patty Wack,Unfinished Business (Explicit),EPMD,294.2ø
Jane II,Unfinished Business (Explicit),EPMD,211.0ø
Get The Bozack,Unfinished Business (Explicit),EPMD,250.4ø
Words Of Evil (Reissue) (Album Version),Slowly We Rot,Obituary,115.1ø
Suffocation (Reissue) (Album Version),Slowly We Rot,Obituary,155.3ø
Stinkupuss (Reissue) (Album Version),Slowly We Rot,Obituary,179.4ø
Like The Dead (Demo Version) (Album Version),Slowly We Rot,Obituary,156.3ø
Immortal Visions (Reissue) (Album Version),Slowly We Rot,Obituary,145.8ø
Godly Beings (Reissue) (Album Version),Slowly We Rot,Obituary,115.9ø
Gates To Hell (Reissue) (Album Version),Slowly We Rot,Obituary,168.9ø
Deadly Intentions (Reissue) (Album Version),Slowly We Rot,Obituary,129.9ø
Blood Soaked (Reissue) (Album Version),Slowly We Rot,Obituary,191.6ø
'Til Death (Reissue) (Album Version),Slowly We Rot,Obituary,236.5ø
Prelude To A Kiss,Counterpoints:  Live In Tokyo,McCoy Tyner,560.8ø
Moment's Notice,Supertrios,McCoy Tyner,350.3ø
What's The Matter,I.O.U.,Gregory Isaacs,236.1ø
Fatal Attraction,I.O.U.,Gregory Isaacs,230.6ø
Year In The Wilderness,The Scattering,Cutting Crew,284.1ø
The Scattering,The Scattering,Cutting Crew,300.7ø
The Last Thing,The Scattering,Cutting Crew,235.0ø
Reach For The Sky,The Best Of Cutting Crew,Cutting Crew,304.0ø
Handcuffs For Houdini,The Scattering,Cutting Crew,222.2ø
Feel The Wedge,The Scattering,Cutting Crew,335.2ø
Everything But My Pride,The Scattering,Cutting Crew,309.3ø
Card House,The Scattering,Cutting Crew,241.0ø
Brag,The Scattering,Cutting Crew,364.8ø
Binkies Return,The Scattering,Cutting Crew,90.6ø
Big Noise,The Scattering,Cutting Crew,240.0ø
(Between A) Rock And A Hard Place,The Scattering,Cutting Crew,257.3ø
I've Got Dreams to Remember,The Cutting Edge,Delbert McClinton,277.4ø
