Mine's A Large One Landlord,Strawberries,The Damned,75.3ø
Light My Fire (Digitally Remastered 93),Capitol Gold: The Best Of Minnie Riperton,Minnie Riperton,308.9ø
Inside My Love (Digitally Remastered 93),Capitol Gold: The Best Of Minnie Riperton,Minnie Riperton,238.7ø
Here We Go (Digitally Remastered 93),Capitol Gold: The Best Of Minnie Riperton,Minnie Riperton,245.6ø
Give Me Time (Single Version) (Digitally Remastered 93),Capitol Gold: The Best Of Minnie Riperton,Minnie Riperton,245.8ø
Adventures In Paradise (Digitally Remastered 93),Capitol Gold: The Best Of Minnie Riperton,Minnie Riperton,193.5ø
Turn Me On,So Natural,Lisa Stansfield,281.0ø
Too Much Lovemakin',So Natural,Lisa Stansfield,274.6ø
Sweet Memories,So Natural,Lisa Stansfield,333.4ø
So Natural,So Natural,Lisa Stansfield,402.5ø
She's Always There,So Natural,Lisa Stansfield,305.5ø
Never Set Me Free,So Natural,Lisa Stansfield,301.0ø
Marvellous & Mine,So Natural,Lisa Stansfield,255.1ø
Little Bit Of Heaven,So Natural,Lisa Stansfield,268.4ø
In All the Right Places,So Natural,Lisa Stansfield,363.8ø
I Give You Everything,So Natural,Lisa Stansfield,280.5ø
Goodbye,So Natural,Lisa Stansfield,275.8ø
Just Kickin' It,R&B: From Doo-Wop To Hip-Hop,Xscape,204.2ø
Macabee Version,Best Of,Max Romeo,176.4ø
Soul Brother Clifford,A Best Of...,The Equals,138.9ø
Softly Softly,A Best Of...,The Equals,132.4ø
Sunset Altar,Acoustic Highway,Craig Chaquico,325.6ø
Summers End,Acoustic Highway,Craig Chaquico,293.4ø
Sacred Ground,Acoustic Highway,Craig Chaquico,410.7ø
Return Of The Eagle,Panorama: The Best Of Craig Chaquico,Craig Chaquico,395.9ø
Mountain In The Mist,Acoustic Highway,Craig Chaquico,277.6ø
Land Of The Giants,Acoustic Highway,Craig Chaquico,289.1ø
Gypsy Nights,Panorama: The Best Of Craig Chaquico,Craig Chaquico,257.1ø
Angel Tears,Acoustic Highway,Craig Chaquico,165.9ø
Night And Day,Anything Goes: The Cole Porter Songbook,Stan Getz | Bill Evans,406.2ø
