My Way,Submission,Sex Pistols,261.0ø
Savoir Faire,Le Freak / Savior Faire [Digital 45],Chic,301.2ø
Le Freak,Greatest Hits Live In Concert 2,Chic,582.1ø
Happy Man  (LP Version),C'est Chic,Chic,266.9ø
Chic Cheer (LP Version),C'est Chic,Chic,282.8ø
At Last I Am Free  (LP Version),C'est Chic,Chic,431.4ø
At Last I Am Free,Le Freak Live,Chic,110.2ø
(Funny) Bone  (LP Version),C'est Chic,Chic,205.3ø
Sweet Georgia Brown,A La Salle Pleyel,Oscar Peterson | Joe Pass,351.0ø
Only You,Teddy Pendergrass + Life Is A Song Worth Singing,Teddy Pendergrass,307.8ø
Life Is A Song Worth Singing,Live! Coast To Coast,Teddy Pendergrass,241.6ø
It Don't Hurt Now,Can't We Try,Teddy Pendergrass,298.0ø
