Djamballa,Cinema - Anni 70,Fausto Papetti,225.3ø
A Freylekhs,A Touch Of Klez!,Klezmer Conservatory Band,308.2ø
Nadie Me Dijo Nada,Repertorio,Jaime Roos,109.0ø
Murga de la Pica,El Puente,Jaime Roos,182.1ø
Cometa de la Farola,Repertorio,Jaime Roos,205.3ø
The Animal Speaks,Visions of Excess,The Golden Palominos,246.6ø
Silver Bullet,Visions of Excess,The Golden Palominos,307.9ø
Only One Party,Visions of Excess,The Golden Palominos,326.5ø
Omaha,Visions of Excess,The Golden Palominos,189.1ø
Clustering Train,Visions of Excess,The Golden Palominos,366.1ø
Buenos Aires,Visions of Excess,The Golden Palominos,227.4ø
Boy (Go),Visions of Excess,The Golden Palominos,271.4ø
(Kind of) True,Visions of Excess,The Golden Palominos,280.2ø
