Macchine E Dollari,Ora E Per Sempre,Timoria,233.2ø
When The Sky Comes Falling Down,Love Junk,Pursuit Of Happiness,208.7ø
Walking In The Woods,Love Junk,Pursuit Of Happiness,232.6ø
Tree Of Knowledge,Love Junk,Pursuit Of Happiness,234.7ø
Ten Fingers,Love Junk,Pursuit Of Happiness,172.1ø
She's So Young,Love Junk,Pursuit Of Happiness,216.4ø
Man's Best Friend,Love Junk,Pursuit Of Happiness,158.3ø
Looking For Girls,Love Junk,Pursuit Of Happiness,171.4ø
Killed By Love,Love Junk,Pursuit Of Happiness,245.1ø
I'm An Adult Now,Love Junk,Pursuit Of Happiness,269.8ø
Hard To Laugh,Love Junk,Pursuit Of Happiness,159.6ø
Down On Him,Love Junk,Pursuit Of Happiness,151.0ø
Consciousness Raising As Social Tool,Love Junk,Pursuit Of Happiness,152.6ø
Beautiful White,Love Junk,Pursuit Of Happiness,208.8ø
Oorlog,Intiem,Raymond Van Het Groenewoud,88.3ø
Mama En Papa,Intiem,Raymond Van Het Groenewoud,121.1ø
M'n Leven Lang,Intiem,Raymond Van Het Groenewoud,158.9ø
Bostella,Intiem,Raymond Van Het Groenewoud,148.1ø
Stars,Technical Ecstacy EP,Mr. Fingers,451.1ø
The Only Way Is Up,The Only Way Is Up,Yazz,202.6ø
What Do I Have To Do To Prove My Love To You,James Brown's Original Funky Divas,Marva Whitney,148.3ø
Shark Walk,Go Bang,Shriekback,236.3ø
Over The Wire,Go Bang,Shriekback,209.9ø
Nighttown,Go Bang,Shriekback,252.6ø
New Man,Go Bang,Shriekback,228.2ø
Get Down Tonight,Go Bang,Shriekback,203.2ø
Dust And A Shadow,Go Bang,Shriekback,275.7ø
Without Love (There Is Nothing),Yes! It's Clyde McPhatter,Clyde McPhatter,185.4ø
Wishing On Another Lucky Star,Permanent Record / Music From The Motion Picture Soundtrack,J.D. Souther,225.2ø
The Way You Love Me (LP Version),Karyn White,Karyn White,294.7ø
Tell Me Tomorrow (LP Version),Karyn White,Karyn White,290.0ø
Slow Down (LP Version),Karyn White,Karyn White,273.0ø
One Wish (LP Version),Karyn White,Karyn White,261.7ø
Love Saw It (LP Version),Karyn White,Karyn White,320.5ø
Family Man (LP Version),Karyn White,Karyn White,246.3ø
Don't Mess With Me (LP Version),Karyn White,Karyn White,293.4ø
Speed Freak,Metal Blade 25th Anniversary: Live In Worcester_ MA,Hallows Eve,337.2ø
Without Love,The Best Of Fattburger,Fattburger,306.4ø
One More Time,The Best Of Fattburger,Fattburger,324.5ø
Imagine That,The Best Of Fattburger,Fattburger,271.1ø
Daydreaming,The Best Of Fattburger,Fattburger,294.9ø
United Pirate Kingdom,From the twilight zone... The Best of,Zed Yago,355.8ø
The Spell From Over Yonder,From the twilight zone... The Best of,Zed Yago,312.3ø
Stay The Course,The 20th Anniversary Of Zed Yago Live,Zed Yago,330.8ø
Queen And Priest,From the twilight zone... The Best of,Zed Yago,267.9ø
Call Me If You Need Me,Magic Sam,Magic Sam,132.0ø
The Coolest,Act A Fool,King Tee,318.9ø
Payback's A Mutha,Act A Fool,King Tee,273.9ø
Let's Dance,Act A Fool,King Tee,210.5ø
Ko Rock Stuff,Act A Fool,King Tee,231.2ø
Just Clowning,Act A Fool,King Tee,280.7ø
I Got A Cold,Act A Fool,King Tee,43.3ø
Guitar Playin',Act A Fool,King Tee,322.2ø
Flirt,More Gang Bang Groupies,King T,227.8ø
Bass (Remix) (),Act A Fool,King Tee,282.8ø
Baggin' On Moms,Act A Fool,King Tee,127.6ø
Act A Fool,Snoop Dogg Presents: The West Coast Blueprint,King Tee,257.2ø
Bring Me Edelweiss,Bring Me Edelweiss,Edelweiss,164.6ø
Addicted To You (Bonus Track),Just Coolin',Levert,232.2ø
The Boots Go Marching In,The Boots Go Marching In,Condemned 84,191.1ø
Hillbilly Girl With the Blues,American Legend,Lacy J. Dalton,155.5ø
You're the One I'm Crazy For,Teenage Head With Marky Ramone,Teenage Head,91.0ø
Full Time Fool,Teenage Head With Marky Ramone,Teenage Head,158.4ø
Second Coming,Singles Collection,Brainbombs,209.2ø
Walk Away,Secrets of The Alibi,The Northern Pikes,197.7ø
Stars In The Sky,Secrets of The Alibi,The Northern Pikes,233.2ø
One Good Reason (Extended Mix),Secrets of The Alibi,The Northern Pikes,547.9ø
One Good Reason,Secrets of The Alibi,The Northern Pikes,287.4ø
Let's Pretend,Secrets of The Alibi,The Northern Pikes,248.0ø
Hopes Go Astray,Secrets of The Alibi,The Northern Pikes,218.5ø
Hole In The Ground,Secrets of The Alibi,The Northern Pikes,223.6ø
Blood She Wants,Secrets of The Alibi,The Northern Pikes,241.7ø
Welcome To The Human Race,Eden Alley,Timbuk 3,197.7ø
Tarzan Was A Bluesman,Eden Alley,Timbuk 3,86.8ø
Sample The Dog,Eden Alley,Timbuk 3,198.8ø
Reprise (Don't Stop Now),Eden Alley,Timbuk 3,55.8ø
Reckless Driver,Eden Alley,Timbuk 3,345.8ø
Little People Make Big Mistakes,Eden Alley,Timbuk 3,127.1ø
Eden Alley,Eden Alley,Timbuk 3,209.9ø
Easy,Eden Alley,Timbuk 3,271.0ø
Dance Fever,Eden Alley,Timbuk 3,164.4ø
A Sinful Life,Eden Alley,Timbuk 3,217.4ø
Every Drop Of Your Love,The Very Best Of Stacy Lattisaw,Stacy Lattisaw,288.2ø
Who Built This Station In The Midwest,Friendloverplane,The Blue Aeroplanes,144.5ø
Veils Of Colour,Friendloverplane,The Blue Aeroplanes,182.6ø
The Couple In The Next Room,Friendloverplane,The Blue Aeroplanes,138.5ø
Shame,Friendloverplane,The Blue Aeroplanes,168.8ø
King Of The Soap Box,Friendloverplane,The Blue Aeroplanes,144.5ø
I Wanna Be Your Lover,Friendloverplane,The Blue Aeroplanes,188.6ø
Continually Torn Apart,Friendloverplane,The Blue Aeroplanes,285.2ø
Ashtrays From Mt. Etna,Friendloverplane,The Blue Aeroplanes,193.7ø
Action Painting,Friendloverplane,The Blue Aeroplanes,193.9ø
Yellow Christian,The Best Of,It Bites,391.2ø
The Old Man And The Angel (Full Length Version),Once Around The World,It Bites,560.7ø
Rose Marie,Once Around The World,It Bites,213.9ø
Plastic Dreamer,Once Around The World,It Bites,233.6ø
Midnight,Calling All The Heroes - The Best Of It Bites,It Bites,243.3ø
Kiss Like Judas,Calling All The Heroes - The Best Of It Bites,It Bites,248.9ø
Hunting The Whale,Once Around The World,It Bites,287.0ø
Seed Shack,Greatest Hits_ Vol. 1 - The Sixties,Gene Ammons,339.0ø
Exactly Like You,Greatest Hits_ Vol. 1 - The Sixties,Gene Ammons,358.9ø
Canadian Sunset,Boss Tenor,Gene Ammons,322.5ø
Blue Ammons,Boss Tenor,Gene Ammons,294.9ø
Mexico,PORTRAIT - THE LES HUMPHRIES SINGERS,The Les Humphries Singers,225.5ø
Mama Loo,Spirit Of Freedom,Les Humphries Singers,222.8ø
Kansas City,"Stars"" - Mama Loo",The Les Humphries Singers,251.7ø
Got The Feeling,Tiger,Fabian,126.0ø
Cowboy Boots,20th Century Masters: The Millennium Collection: Best Of Dave Dudley,Dave Dudley,130.1ø
Rika Flicka,Orup,Orup,206.7ø
Min Mor Sa Till Mej,Orup,Orup,241.9ø
Ingen Annan Man,Orup,Orup,280.7ø
Baby!,Orup,Orup,197.7ø
Want You By My Side,Darden Smith,Darden Smith,234.2ø
Love Me Like A Soldier,Darden Smith,Darden Smith,250.8ø
Requiem,Smash Hits 1988,London Boys,258.4ø
All Alone Am I,Timi Yuro: Legendary Sister Of Soul,Timi Yuro,155.2ø
Away In A Manger,Narada Christmas Collection Volume 1,David Darling,192.9ø
Psycho Hippy Skateboard Punx,Their Greatest Fuckin' Hits,Chaotic Dischord,182.1ø
Message In The Eyes,Mike Francis,Mike Francis,284.4ø
I Want You,Mike Francis,Mike Francis,218.3ø
I Don't Care,Mike Francis,Mike Francis,209.4ø
Fallin' On Down,Mike Francis,Mike Francis,277.2ø
Don't Start Givin' Up,Mike Francis,Mike Francis,290.4ø
Teresa,L'arca Di Noe',Sergio Endrigo,140.7ø
Mille Lire,Quando La Musica E' Poesia,Sergio Endrigo,208.0ø
Mani bucate,Io che amo solo te,Sergio Endrigo,149.6ø
Lontano Dagli Occhi,Quando La Musica E' Poesia,Sergio Endrigo,224.1ø
Io Che Amo Solo Te,L'arca Di Noe',Sergio Endrigo,186.5ø
Il Primo Bicchiere Di Vino,Quando La Musica E' Poesia,Sergio Endrigo,167.2ø
Girotondo Intorno al Mondo,ALTRE EMOZIONI,Sergio Endrigo,209.1ø
You Know It All,She Screamed,Ultra Vivid Scene,186.1ø
The Whore Of God,Ultra Vivid Scene,Ultra Vivid Scene,189.5ø
She Screamed,She Screamed,Ultra Vivid Scene,146.9ø
Not In Love (Hit By A Truck),She Screamed,Ultra Vivid Scene,160.2ø
Nausea,Ultra Vivid Scene,Ultra Vivid Scene,196.9ø
Mercy Seat,Ultra Vivid Scene,Ultra Vivid Scene,249.9ø
Lynn-Marie #2,Ultra Vivid Scene,Ultra Vivid Scene,200.3ø
Lynn-Marie #1,Ultra Vivid Scene,Ultra Vivid Scene,157.3ø
How Did It Feel,Ultra Vivid Scene,Ultra Vivid Scene,176.6ø
Hail Mary,Ultra Vivid Scene,Ultra Vivid Scene,281.7ø
Crash,Staring At The Sun,Ultra Vivid Scene,249.9ø
Blood Line,Ultra Vivid Scene,Ultra Vivid Scene,243.0ø
A Kiss And A Slap,Ultra Vivid Scene,Ultra Vivid Scene,156.2ø
A Dream Of Love,Ultra Vivid Scene,Ultra Vivid Scene,244.6ø
On Top Of Old Smoky,On Top of Old Smoky,The Weavers,165.4ø
Sombras,Javier Solis con Trio,Javier Solis,206.9ø
Payaso,Javier Solis con Trio,Javier Solis,196.2ø
Tell Me Why,The Best Of Karla Bonoff: All My Life,Karla Bonoff,216.5ø
Goodbye My Friend,The Best Of Karla Bonoff: All My Life,Karla Bonoff,227.6ø
All My Life,The Best Of Karla Bonoff: All My Life,Karla Bonoff,230.8ø
Harvest For The World,Classic 80's,The Christians,239.0ø
Violente Passion,Solo Girls,Charlelie Couture,294.5ø
Suria Devi,Solo Girls,Charlelie Couture,310.0ø
Solo Girl,Solo Girls,Charlelie Couture,249.3ø
Rachel,Solo Girls,Charlelie Couture,137.8ø
Le Sens De Sa Vie,Solo Girls,Charlelie Couture,237.2ø
Golden Fish,Solo Girls,Charlelie Couture,257.7ø
Cindy Fait Semblant,Solo Girls,Charlelie Couture,234.7ø
Aime Moi Encore Au Moins,Solo Girls,Charlelie Couture,223.3ø
Key To The Highway,Key To The Highway_ Sittin In With Sessions,Sonny Terry_ Brownie McGhee,137.0ø
My Advice,Radio Luxembourg Sessions/The Sound Of Fury Demos,Billy Fury | The Tornados,76.4ø
Don't Knock Upon My Door,Great British Rock 'n' Roll - Just About As Good As It Gets!_ Vol. 4,Billy Fury,106.4ø
Two Occasions,Two Occasions / Body Talk,The Deele,240.9ø
Wanna Be,Tracie Spencer,Tracie Spencer,320.9ø
Symptoms Of True Love,Tracie Spencer,Tracie Spencer,304.8ø
My Heart Beats Only 4 U,Tracie Spencer,Tracie Spencer,261.6ø
My First Broken Heart,Tracie Spencer,Tracie Spencer,272.5ø
Lullaby Child,Tracie Spencer,Tracie Spencer,188.8ø
Imagine,Tracie Spencer,Tracie Spencer,269.0ø
Hide And Seek,Tracie Spencer,Tracie Spencer,273.2ø
Some Enchanted Evening,Come A Little Bit Closer,Jay & The Americans,137.2ø
Tribute (Right On),To Whom It May Concern,The Pasadenas,310.9ø
Something Else,To Whom It May Concern,The Pasadenas,346.7ø
Riding On A Train,Definitive Collection / Definitive Collection Bonus CD,The Pasadenas,394.8ø
New Love,Definitive Collection / Definitive Collection Bonus CD,The Pasadenas,226.9ø
Living In The Footsteps Of Another Man,To Whom It May Concern,The Pasadenas,224.8ø
Justice For The World,To Whom It May Concern,The Pasadenas,344.9ø
I Really Miss You,To Whom It May Concern,The Pasadenas,278.5ø
Give A Little Peace,To Whom It May Concern,The Pasadenas,259.9ø
Funny Feeling,To Whom It May Concern,The Pasadenas,275.0ø
Enchanted Lady,Definitive Collection / Definitive Collection Bonus CD,The Pasadenas,224.5ø
A Little Love,Definitive Collection / Definitive Collection Bonus CD,The Pasadenas,293.5ø
Tough Shit Wilson,In Search Of The Seven Golden Gussetts,Splodgenessabounds,217.8ø
Pathetique,In Search Of The Seven Golden Gussetts,Splodgenessabounds,132.6ø
Crabs,In Search Of The Seven Golden Gussetts,Splodgenessabounds,147.9ø
Street Dreams 4 (Album Version),Street Dreams,Lyle Mays,290.6ø
Street Dreams 3 (Album Version),Street Dreams,Lyle Mays,188.2ø
Street Dreams 1 (Album Version),Street Dreams,Lyle Mays,103.4ø
Possible Straight (Album Version),Street Dreams,Lyle Mays,200.3ø
Newborn (Album Version),Street Dreams,Lyle Mays,98.5ø
Hangtime (Album Version),Street Dreams,Lyle Mays,259.3ø
Feet First (Album Version),Street Dreams,Lyle Mays,263.0ø
Chorinho (Album Version),Street Dreams,Lyle Mays,257.0ø
Before You Go (Album Version),Street Dreams,Lyle Mays,413.2ø
August (Album Version),Street Dreams,Lyle Mays,300.0ø
Wohin? Wohin?,85555,Spliff,247.8ø
S.O.S.,85555,Spliff,225.8ø
Herr Kennedy,Alles Gute (Best Of),Spliff,178.1ø
Glaspalast,Alles Gute (Best Of),Spliff,349.2ø
Es Ist Soweit,85555,Spliff,263.9ø
Die Maurer,85555,Spliff,249.4ø
Das Blech,The Best Of,Spliff,281.5ø
Augen zu!,85555,Spliff,208.9ø
Roll On Columbia,The Best of Country Joe McDonald,Country Joe McDonald,206.1ø
Words On Power,Headache Rhetoric,Close Lobsters,200.4ø
Skyscrapers,Headache Rhetoric,Close Lobsters,250.9ø
Nature Thing,Headache Rhetoric,Close Lobsters,298.0ø
My Days Are Numbered,Headache Rhetoric,Close Lobsters,182.5ø
Lovely Little Swan,Headache Rhetoric,Close Lobsters,226.9ø
Knee Trembler,Headache Rhetoric,Close Lobsters,282.1ø
Gutache,Headache Rhetoric,Close Lobsters,183.7ø
Gunpowderkeg,Headache Rhetoric,Close Lobsters,173.7ø
Gulp,Headache Rhetoric,Close Lobsters,129.5ø
Got Apprehension,Headache Rhetoric,Close Lobsters,218.1ø
The Wedding,Bird Wood Cage,The Wolfgang Press,230.7ø
The Holey Man,Bird Wood Cage,The Wolfgang Press,256.5ø
The Heat,Bird Wood Cage,The Wolfgang Press,263.2ø
The Great Leveller,Bird Wood Cage,The Wolfgang Press,271.3ø
Swing Like a Baby,Bird Wood Cage,The Wolfgang Press,245.6ø
Shut That Door,Bird Wood Cage,The Wolfgang Press,339.9ø
See My Wife,Bird Wood Cage,The Wolfgang Press,234.6ø
Raintime,Bird Wood Cage,The Wolfgang Press,279.6ø
King of Soul,Bird Wood Cage,The Wolfgang Press,241.7ø
Kansas,Bird Wood Cage,The Wolfgang Press,233.0ø
Hang on Me (for papa),Bird Wood Cage,The Wolfgang Press,308.0ø
God's Number,Bird Wood Cage,The Wolfgang Press,278.7ø
Bottom Drawer,Bird Wood Cage,The Wolfgang Press,282.4ø
When The Curtain Falls (Album Version),Ghost Stories,The Dream Syndicate,299.0ø
Whatever You Please (Album Version),Ghost Stories,The Dream Syndicate,202.7ø
Weathered And Torn (Album Version),Ghost Stories,The Dream Syndicate,190.8ø
The Side I'll Never Show (Album Version),Ghost Stories,Steve Wynn,232.3ø
Spill The Wine (Album Version),Ghost Stories,The Dream Syndicate,338.9ø
Someplace Better Than This (Album Version),Ghost Stories,The Dream Syndicate,217.5ø
See That My Grave Is Kept Clean (Album Version),Ghost Stories,The Dream Syndicate,242.6ø
Never Ending Rain (Album Version),Ghost Stories,The Dream Syndicate,382.2ø
My Old Haunts (Album Version),Ghost Stories,Steve Wynn,188.0ø
Loving The Sinner  Hating The Sin (Album Version),Ghost Stories,The Dream Syndicate,270.3ø
If You Should Ever Need A Fool (Album Version),Ghost Stories,The Dream Syndicate,193.6ø
I Have Faith (Album Version),Ghost Stories,The Dream Syndicate,227.9ø
I Ain't Living Long Like This (Album Version),Ghost Stories,The Dream Syndicate,341.4ø
Darlin' They Know (Album Version),Ghost Stories,The Dream Syndicate,177.8ø
Carolyn (Album Version),Ghost Stories,The Dream Syndicate,215.8ø
Black (Album Version),Ghost Stories,The Dream Syndicate,275.1ø
Wanting,Nettwerk Sound Sampler (Food For Thought),Moev,383.9ø
Slide,Yeah_ Whatever,Moev,271.6ø
Open Mind,Yeah_ Whatever,Moev,300.0ø
Crucify Me,Yeah_ Whatever,Moev,319.6ø
Capital Heaven,Yeah_ Whatever,Moev,288.0ø
How Long Has This Been Going On,Rhapsody In Blue (Blue Note Plays Music of George and Ira Gershwin),Ike Quebec,360.5ø
But Not For Me,Blue Gershwin,Ike Quebec,225.0ø
The Immoral Wasteland,Mind Wars,Holy Terror,316.8ø
No Resurrection,Mind Wars,Holy Terror,241.4ø
Judas Reward,Mind Wars,Holy Terror,269.8ø
Debt of Pain,Mind Wars,Holy Terror,153.9ø
Damned By Judges,Mind Wars,Holy Terror,395.8ø
Christian Resistance,Mind Wars,Holy Terror,276.5ø
Swallow,In Gut's House,Ut,220.0ø
Shut Fog,In Gut's House,Ut,338.0ø
Mosquito Botticelli,In Gut's House,Ut,240.8ø
Landscape,In Gut's House,Ut,317.2ø
I.D.,In Gut's House,Ut,313.9ø
Hotel,In Gut's House,Ut,277.6ø
Homebled,In Gut's House,Ut,432.9ø
Evangelist,In Gut's House,Ut,170.2ø
Dirty Net,In Gut's House,Ut,80.4ø
Big Wing,In Gut's House,Ut,261.5ø
Goody Goody Gumdrops,The Best of the 1910 Fruitgum Co.,1910 Fruitgum Company,136.6ø
Rock 'n Roll,Back To 19 Mistakes,Gruppo Sportivo,149.3ø
One Way Love,Back To 19 Mistakes,Gruppo Sportivo,187.5ø
Mexican Radio,Back To 19 Mistakes,Gruppo Sportivo,227.3ø
Ukranian Carol,Narada Christmas Collection Volume 1,Spencer Brewer,220.7ø
Tomorrow's Child,Narada Decade (The Anniversary Collection),Spencer Brewer,290.9ø
Time Will Rearrange,Complete History_ Volume Two,Government Issue,259.9ø
Another Day,Complete History_ Volume Two,Government Issue,198.0ø
Looking For Lot 49,The Jazz Butcher's Free Lunch,The Jazz Butcher,216.2ø
Seasons in the Sun,From All of Us to Both of You,Too Much Joy,198.5ø
Gameroom,Live Bootleg,Rez Band,266.9ø
2000,Between Heaven 'N Hell,Rez Band,296.9ø
Skylark,Live At Maybeck Recital Hall_ Volume 10,Kenny Barron,507.8ø
On The Road Again,If...,Bernard Lavilliers,232.3ø
Bad Side,Live,Bernard Lavilliers,263.7ø
Touch,Some Lyres,Lyres,217.7ø
Here's A Heart,Some Lyres,Lyres,207.0ø
Marina,Prljavo Kazaliste - Radio Dubrava Special Edition,Prljavo Kazaliste,352.4ø
Love Struck,Ultimate Collection: Jesse Johnson,Jesse Johnson,321.2ø
You Were An Optimist,Hope Against Hope,Band Of Susans,199.5ø
Throne Of Blood,Hope Against Hope,Band Of Susans,194.8ø
Not Even Close,Hope Against Hope,Band Of Susans,297.1ø
No God,Hope Against Hope,Band Of Susans,299.4ø
Learning To Sin,Hope Against Hope,Band Of Susans,182.8ø
I The Jury,Hope Against Hope,Band Of Susans,266.6ø
Hope Against Hope,Wired For Sound 1986-1993,Band Of Susans,299.9ø
Elliott Abrams In Hell,Hope Against Hope,Band Of Susans,139.4ø
All The Wrong Reasons,Hope Against Hope,Band Of Susans,325.7ø
The Sun Falls Into the Sea,Sixty Nine,A.R. Kane,345.1ø
The Madonna Is With Child,Sixty Nine,A.R. Kane,229.8ø
Sulliday,Sixty Nine,A.R. Kane,393.2ø
Suicide Kiss,Sixty Nine,A.R. Kane,216.0ø
Scab,Sixty Nine,A.R. Kane,205.0ø
Dizzy,Sixty Nine,A.R. Kane,227.1ø
Crazy Blue,Sixty Nine,A.R. Kane,206.5ø
Baby Milk Snatcher,Sixty Nine,A.R. Kane,196.5ø
Harlem On My Mind,Stormy Weather,Ethel Waters,207.7ø
Remember The Night,Street Rock N Roll,Section 5,177.0ø
The Witch,The Greatest Hits,The Rattles,150.5ø
Mashed Potatoes,The Rattles_Vol.5,The Rattles,99.5ø
La La La,Rock Masters,The Rattles,176.6ø
Geraldine,Rock Masters,The Rattles,168.0ø
Devil's On The Loose,Rock Masters,The Rattles,176.5ø
Come On And Sing,The Greatest Hits,The Rattles,131.8ø
After Tea,Rock Masters,The Rattles,182.2ø
You're My rainbow,The Very Best Of Hazel Dean,Hazel Dean,315.0ø
Who's Leaving Who,Greatest Hits,Hazell Dean,225.1ø
Walk In My Shoes,Always,Hazell Dean,255.8ø
Turn It Into Love,Greatest Hits,Hazell Dean,216.3ø
They Say It's Gonna Rain (The Zulu Mix),Greatest Hits,Hazell Dean,427.9ø
Nothing In My Life,Always,Hazell Dean,227.4ø
Danger,Always,Hazell Dean,299.1ø
