She Acts Like a Woman Should,My Heart Belongs To Daddy,Marilyn Monroe,164.5ø
Beds Are Burning,Diesel And Dust,Midnight Oil,255.7ø
How Men Are,The Best Of Aztec Camera,Aztec Camera,221.6ø
When Poets Dreamed Of Angels (2003 Digital Remaster),Secrets Of The Beehive,David Sylvian,287.5ø
When Poets Dreamed Of Angels,Secrets Of The Beehive,David Sylvian,287.4ø
Waterfront,Secrets Of The Beehive,David Sylvian,203.2ø
The Devil's Own,Secrets Of The Beehive,David Sylvian,192.4ø
The Boy With The Gun (2003 Digital Remaster),Secrets Of The Beehive,David Sylvian,318.4ø
The Boy With The Gun,Everything & Nothing,David Sylvian,315.0ø
September (2003 Digital Remaster),Secrets Of The Beehive,David Sylvian,78.9ø
September,Secrets Of The Beehive,David Sylvian,78.0ø
Promise (The Cult Of Eurydice) (2003 Digital Remaster),Secrets Of The Beehive,David Sylvian,207.0ø
Orpheus (2003 Digital Remaster),Secrets Of The Beehive,David Sylvian,291.5ø
Orpheus,Everything & Nothing,David Sylvian,288.7ø
Mother And Child (2003 Digital Remaster),Secrets Of The Beehive,David Sylvian,194.7ø
Mother And Child,Secrets Of The Beehive,David Sylvian,195.1ø
Maria (2003 Digital Remaster),Secrets Of The Beehive,David Sylvian,170.0ø
Maria,Secrets Of The Beehive,David Sylvian,170.0ø
Let The Happiness In,Everything & Nothing,David Sylvian,335.8ø
Forbidden Colours,Secrets Of The Beehive,David Sylvian,361.9ø
Trust Me To Open My Mouth,Trust Me To Open My Mouth,Squeeze,194.0ø
Hourglass,The Complete BBC Sessions,Squeeze,239.4ø
Footprints,Greatest Hits,Squeeze,229.6ø
So Many Times,The Glenn Miller Story Vol. 5-6,Glenn Miller,182.2ø
The Flame Of Love,Richard Marx,Richard Marx,217.2ø
Should've Known Better,Greatest Hits,Richard Marx,252.5ø
Rhythm Of Life,Richard Marx,Richard Marx,285.1ø
Remember Manhattan,Richard Marx,Richard Marx,257.3ø
Lonely Heart,Richard Marx,Richard Marx,236.9ø
Hold On To The Nights,What Love Can Do,Richard Marx,294.0ø
Heaven Only Knows,Richard Marx,Richard Marx,338.4ø
Have Mercy,Richard Marx,Richard Marx,272.3ø
Don't Mean Nothing,Greatest Hits,Richard Marx,282.2ø
Still Life,Nomzamo,IQ,358.0ø
Common Ground,Nomzamo,IQ,419.9ø
Skyway,Pleased To Meet Me [Expanded Edition],The Replacements,126.5ø
Never Mind,Pleased To Meet Me [Expanded Edition],The Replacements,170.6ø
I Don't Know,Pleased To Meet Me [Expanded Edition],The Replacements,202.9ø
Can't Hardly Wait,Pleased To Meet Me [Expanded Edition],The Replacements,186.2ø
Traudl,City,City,192.9ø
Nachts um halb eins,City,City,231.4ø
Der King vom Prenzlauer Berg,Der King vom Prenzlauer Berg,City,137.0ø
Social deception,Doomsday:Back+Forth Vol.5/Live in Dresden,Skinny Puppy,178.8ø
First aid,Doomsday:Back+Forth Vol.5/Live in Dresden,Skinny Puppy,351.9ø
Deep down trauma hounds,Doomsday:Back+Forth Vol.5/Live in Dresden,Skinny Puppy,286.2ø
Livin' Lovin' Doll,Early Hits - The Essential Collection,Cliff Richard,126.2ø
You've Lost That Lovin' Feeling,Top Gun - Motion Picture Soundtrack (Special Expanded Edition),The Righteous Brothers,228.2ø
The Light Of The Spirit,The Light Of The Spirit,Kitaro,449.6ø
Moondance,The Light Of The Spirit,Kitaro,284.1ø
Journey To A Fantasy,The Light Of The Spirit,Kitaro,433.0ø
In The Beginning,The Light Of The Spirit,Kitaro,355.0ø
Sweet Soul Music,The Soul Man_ Vol. 1,Sam & Dave,141.3ø
Soul Sister Brown Sugar,Soul Explosion,Sam and Dave,147.9ø
Respect,20 Greatest Hits,Sam & Dave,155.6ø
Mustang Sally,Mustang Sally,Sam & Dave,233.5ø
How Sweet It Is (To Be Loved By You),Love Songs We Used to Share,Sam & Dave,177.3ø
Good Lovin',100 Timeless Love Songs,Sam & Dave,177.4ø
Funky Broadway,Funky Street,Sam & Dave,171.4ø
Noctunal Obeisance (intro),Under The Sign Of The Black Mark,bathory,86.7ø
Equimanthorn,Gummo (Soundtrack),bathory,218.5ø
Enter The Enternal Fire,Under The Sign Of The Black Mark,bathory,415.0ø
Chariot Of Fire,Under The Sign Of The Black Mark,bathory,163.8ø
Call From The Grave,Under The Sign Of The Black Mark,bathory,292.0ø
13 Candles,Under The Sign Of The Black Mark,bathory,311.8ø
Pompa Bye Bye,Ciudad De Pobres Corazones,Fito Paez,83.6ø
Dando Vueltas En El Aire,Musicos Poetas Y Locos,Fito Paez,264.6ø
A Las Piedras De Belen,Ciudad De Pobres Corazones,Fito Paez,217.4ø
Young Girl Be Wise,Blueberry Hill,Yellowman,243.4ø
Who Say Yellow Don't Go Hotel,Blueberry Hill,Yellowman,259.9ø
The Little Drummer Boy,The Christmas Album,Air Supply,184.8ø
The First Noel,The Christmas Album,Air Supply,200.9ø
The Eyes Of A Child,The Christmas Album,Air Supply,271.0ø
Sleigh Ride,Christmas Hits,Air Supply,142.1ø
O Come All Ye Faithful,The Christmas Album,Air Supply,194.5ø
Love Is All,The Christmas Album,Air Supply,271.9ø
Walkin' In The Rain With The One I Love,Barry White - Universal Masters Collection,Love Unlimited,288.2ø
Barcelona,The Freddie Mercury Album,Freddie Mercury And Montserrat Caballe,337.2ø
Another Saturday Night,Blueberry Hill,Yellowman,241.2ø
Influence Of Atmosphere,Ozma / Gluey Porch Treatments,Melvins,111.7ø
Bitten Into Sympathy,Ozma / Gluey Porch Treatments,Melvins,48.5ø
Big As A Mountain,Ozma / Gluey Porch Treatments,Melvins,186.5ø
As Was It,Ozma / Gluey Porch Treatments,Melvins,278.5ø
One More Word,Midnight To Midnight,The Psychedelic Furs,318.7ø
World Of Difference,Sirius,Clannad,245.7ø
Stepping Stone,Sirius,Clannad,232.0ø
Something To Believe In,Greatest Hits,Clannad,283.1ø
Skellig,Sirius,Clannad,287.0ø
Second Nature,Sirius,Clannad,199.7ø
Many Roads,Greatest Hits,Clannad,204.2ø
Little Egypt,Yakety Yak & Other Hits (Digitally Remastered),The Coasters,202.6ø
Tried So Hard,Live At The BBC,Fairport Convention,174.7ø
The Widow Of Westmorland's Daughter,XXXV,Fairport Convention,281.6ø
Suzanne,Live At The BBC,Fairport Convention,325.3ø
Some Sweet Day,Live At The BBC,Fairport Convention,136.2ø
I Still Miss Someone,Live At The BBC,Fairport Convention,143.6ø
Stigmatised,Grind Madness at the BBC,Napalm Death,52.8ø
Scum,Grind Madness at the BBC,Napalm Death,147.0ø
Prison Without Walls,Grind Madness at the BBC,Napalm Death,34.1ø
Moral Crusade,Grind Madness at the BBC,Napalm Death,85.9ø
MAD,Scum,Napalm Death,94.1ø
Deceiver,Grind Madness at the BBC,Napalm Death,36.3ø
CS,Scum,Napalm Death,74.5ø
Too Late,Gaudi,The Alan Parsons Project,251.2ø
The Turn Of A Friendly Card,The Turn Of A Friendly Card,The Alan Parsons Project,164.7ø
Standing On Higher Ground / Losing Proposition,Gaudi,The Alan Parsons Project,236.5ø
Standing On Higher Ground,The Essential Alan Parsons Project,The Alan Parsons Project,349.5ø
Money Talks,Gaudi,The Alan Parsons Project,35.3ø
La Sagrada Familia,Gaudi,The Alan Parsons Project,445.3ø
Closer To Heaven,Gaudi,The Alan Parsons Project,47.5ø
(The System Of) Doctor Tarr And Professor Fether,Tales Of Mystery And Imagination,The Alan Parsons Project,261.4ø
Inner Flight No. 2,Other Aspects,Eric Dolphy,245.6ø
Dolphy-N,Other Aspects,Eric Dolphy,408.6ø
Rocky Road Blues,Rebel Heart Vol. 8,Gene Vincent And His Blue Caps,139.2ø
Baby Blue,Rebel Heart Vol. 8,Gene Vincent And His Blue Caps,163.5ø
(I Just) Died In Your Arms (Extended Remix),The Best Of Cutting Crew,Cutting Crew,286.0ø
Love Is Weird,The Lost Recordings,Daniel Johnston,105.1ø
If You Were Here Today,The Lost Recordings,Daniel Johnston,174.1ø
Summertime Blues,La Bamba,Brian Setzer,163.2ø
Loving You,The Lovin' Spoonful Volume 2,The Lovin' Spoonful,150.5ø
Four Eyes,The Lovin' Spoonful Volume 2,The Lovin' Spoonful,180.3ø
Let's Fall In Love,A Norman Granz Legacy: Songbooks Etcetera - Volumes 3 & 4,Oscar Peterson,215.3ø
